client_name,Company,industry_code,industry_name,Item,Financial_Year,quarter,Actual_Announcement_Quarter,Reported_Revenue,YoY_Reported_Revenue_growth_L1,YoY_Reported_Revenue_growth_L2
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2014,2015-06-30,2015-03-31,4048.0,0.0,0.03959251817314491
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2014,2015-09-30,2015-03-31,4048.0,0.0,0.0
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2014,2015-12-31,2015-03-31,4048.0,0.0,0.0
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2015,2016-03-31,2016-03-31,4038.0,-0.0024703557312253377,-0.0024703557312253377
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2015,2016-06-30,2016-03-31,4038.0,0.0,-0.0024703557312253377
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2015,2016-09-30,2016-03-31,4038.0,0.0,0.0
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2015,2016-12-31,2016-03-31,4038.0,0.0,0.0
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2016,2017-03-31,2017-03-31,4202.0,0.040614165428429994,0.040614165428429994
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2016,2017-06-30,2017-03-31,4202.0,0.0,0.040614165428429994
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2016,2017-09-30,2017-03-31,4202.0,0.0,0.0
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2016,2017-12-31,2017-03-31,4202.0,0.0,0.0
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2017,2018-03-31,2018-03-31,4472.0,0.06425511661113759,0.06425511661113759
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2017,2018-06-30,2018-03-31,4472.0,0.0,0.06425511661113759
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2017,2018-09-30,2018-03-31,4472.0,0.0,0.0
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2017,2018-12-31,2018-03-31,4472.0,0.0,0.0
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2018,2019-03-31,2019-03-31,4914.0,0.09883720930232553,0.09883720930232553
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2018,2019-06-30,2019-03-31,4914.0,0.0,0.09883720930232553
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2018,2019-09-30,2019-03-31,4914.0,0.0,0.0
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2019,2019-12-31,2019-12-31,5163.0,0.050671550671550714,0.050671550671550714
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2019,2020-03-31,2019-12-31,5163.0,0.0,0.050671550671550714
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2019,2020-06-30,2019-12-31,5163.0,0.0,0.0
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2019,2020-09-30,2019-12-31,5163.0,0.0,0.0
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2019,2020-12-31,2019-12-31,5163.0,0.0,0.0
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2019,2021-03-31,2019-12-31,5163.0,0.0,0.0
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2019,2021-06-30,2019-12-31,5163.0,0.0,0.0
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2020,2021-09-30,2021-09-30,5339.0,0.03408870811543685,0.03408870811543685
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2020,2021-12-31,2021-09-30,5339.0,0.0,0.03408870811543685
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2020,2022-03-31,2021-09-30,5339.0,0.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2013,2014-06-30,2014-06-30,2.1,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2013,2014-09-30,2014-06-30,2.0625,-0.017857142857142905,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2013,2014-12-31,2014-06-30,2.0625,0.0,-0.017857142857142905
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2013,2015-03-31,2014-06-30,2.0625,0.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2014,2015-06-30,2015-06-30,5.75,1.787878787878788,1.787878787878788
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2014,2015-09-30,2015-06-30,5.75,0.0,1.787878787878788
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2014,2015-12-31,2015-06-30,5.75,0.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2014,2016-03-31,2015-06-30,5.75,0.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2015,2016-06-30,2016-06-30,910.5,157.34782608695653,157.34782608695653
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2015,2016-09-30,2016-06-30,910.5,0.0,157.34782608695653
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2015,2016-12-31,2016-06-30,910.5,0.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2016,2017-03-31,2017-03-31,1256.15,0.37962657880285566,0.37962657880285566
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2016,2017-06-30,2017-03-31,1256.15,0.0,0.37962657880285566
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2016,2017-09-30,2017-03-31,1256.15,0.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2016,2017-12-31,2017-03-31,1255.025,-0.0008955936790988606,-0.0008955936790988606
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2017,2018-03-31,2018-03-31,1458.05,0.16176968586283125,0.16072921227560388
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2017,2018-06-30,2018-03-31,1458.05,0.0,0.16176968586283125
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2017,2018-09-30,2018-03-31,1458.05,0.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2017,2018-12-31,2018-03-31,1458.05,0.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2018,2019-03-31,2019-03-31,1588.2,0.08926305682246838,0.08926305682246838
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2018,2019-06-30,2019-03-31,1588.2,0.0,0.08926305682246838
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2018,2019-09-30,2019-03-31,1588.2,0.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,MedTech & Healthcare Supply,2018,2019-12-31,2019-03-31,1588.2,0.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2010,2011-03-31,2011-03-31,1661.01696,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2010,2011-06-30,2011-03-31,1660.24196,-0.0004665816296058889,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2010,2011-09-30,2011-03-31,1740.85167,0.048552989228148435,0.048063753665706255
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2010,2011-12-31,2011-03-31,1743.149369,0.0013198706355033174,0.049936943528399835
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2010,2012-03-31,2011-03-31,1758.275003,0.008677187548578935,0.010008510949126359
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2011,2012-06-30,2012-06-30,2716.411671,0.5449299264137919,0.5583355731346966
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2011,2012-09-30,2012-06-30,2731.780004,0.005657586132496117,0.5536705005411491
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2011,2012-12-31,2012-06-30,2759.159221,0.010022482396060406,0.015736771585973752
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2011,2013-03-31,2012-06-30,2772.861753,0.00496619836061285,0.01503845439231788
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2012,2013-06-30,2013-06-30,3218.933808,0.16087064366529935,0.1666357575527535
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2012,2013-09-30,2013-06-30,3252.016483,0.01027752571916185,0.17280152156218942
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2012,2013-12-31,2013-06-30,3303.485683,0.015826857049789478,0.02626704369933397
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2012,2014-03-31,2013-06-30,3292.234973,-0.0034057087209116155,0.012367246663798737
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2013,2014-06-30,2014-06-30,4147.288371,0.25971821726346733,0.25542798394504196
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2013,2014-09-30,2014-06-30,4796.34114,0.15650051574385704,0.45686476795713227
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2013,2014-12-31,2014-06-30,4796.81265,9.830618511830203e-05,0.15661420689764727
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2013,2015-03-31,2014-06-30,4791.782884,-0.0010485641960603642,-0.0009503610912880989
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2014,2015-06-30,2015-06-30,8715.196679,0.8187795419739223,0.8168724348656813
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2014,2015-09-30,2015-06-30,8587.216296,-0.014684738361485206,0.7920712402628132
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2014,2015-12-31,2015-06-30,8566.062098,-0.0024634523308623146,-0.01711201553940289
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2014,2016-03-31,2015-06-30,8179.987758,-0.045070224285455596,-0.0474226482672494
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2015,2016-06-30,2016-06-30,14482.54604,0.770485050645231,0.6906888923186041
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2015,2016-09-30,2016-06-30,13946.57611,-0.037007990757956466,0.7049629562538522
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2015,2016-12-31,2016-06-30,14510.92373,0.04046495824845153,0.0019594406896152883
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2016,2017-03-31,2017-03-31,14813.28489,0.020836796169970695,0.06214491450547155
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2016,2017-06-30,2017-03-31,14916.07022,0.006938726336748413,0.02792010333307693
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2016,2017-09-30,2017-03-31,15112.79865,0.013189025467057691,0.020219266842170347
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2016,2017-12-31,2017-03-31,15138.45166,0.0016974360999642002,0.01490884909497292
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2017,2018-03-31,2018-03-31,12620.48433,-0.1663292512703377,-0.16491414844595986
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2017,2018-06-30,2018-03-31,12700.18597,0.006315260010310686,-0.16106440372911957
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2017,2018-09-30,2018-03-31,13744.30764,0.08221310085272715,0.0890475579711767
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2017,2018-12-31,2018-03-31,13737.16597,-0.0005196092947756803,0.08165077286659606
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2018,2019-03-31,2019-03-31,13427.91276,-0.022512155030765868,-0.02302006680054214
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2018,2019-06-30,2019-03-31,13427.95221,2.937910061229232e-06,-0.022509283259391277
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2018,2019-09-30,2019-03-31,13430.29021,0.00017411441174619569,0.00017705283334001898
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2018,2019-12-31,2019-03-31,13396.8819,-0.0024875344819521583,-0.0023138531858090117
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2010,2011-03-31,2011-03-31,14660.0,,
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2010,2011-06-30,2011-03-31,14660.0,0.0,
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2010,2011-09-30,2011-03-31,14660.0,0.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2010,2011-12-31,2011-03-31,14660.0,0.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2011,2012-03-31,2012-03-31,15237.0,0.03935879945429743,0.03935879945429743
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2011,2012-06-30,2012-03-31,15237.0,0.0,0.03935879945429743
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2011,2012-09-30,2012-03-31,15237.0,0.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2011,2012-12-31,2012-03-31,15237.0,0.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2012,2013-03-31,2013-03-31,16466.0,0.08065892236004468,0.08065892236004468
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2012,2013-06-30,2013-03-31,16466.0,0.0,0.08065892236004468
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2012,2013-09-30,2013-03-31,16466.0,0.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2012,2013-12-31,2013-03-31,16466.0,0.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2013,2014-03-31,2014-03-31,17946.0,0.08988218146483673,0.08988218146483673
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2013,2014-06-30,2014-03-31,17946.0,0.0,0.08988218146483673
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2013,2014-09-30,2014-03-31,17946.0,0.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2013,2014-12-31,2014-03-31,17946.0,0.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2014,2015-03-31,2015-03-31,19118.0,0.06530703220773426,0.06530703220773426
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2014,2015-06-30,2015-03-31,19118.0,0.0,0.06530703220773426
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2014,2015-09-30,2015-03-31,19118.0,0.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2014,2015-12-31,2015-03-31,19118.0,0.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2015,2016-03-31,2016-03-31,20756.875,0.0857241866304006,0.0857241866304006
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2015,2016-06-30,2016-03-31,20722.0,-0.0016801662099906745,0.08389998953865474
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2015,2016-09-30,2016-03-31,20722.0,0.0,-0.0016801662099906745
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2015,2016-12-31,2016-03-31,20752.0,0.0014477367049512413,0.0014477367049512413
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2016,2017-03-31,2017-03-31,21741.375,0.04767612760215889,0.04919288678698974
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2016,2017-06-30,2017-03-31,21679.25,-0.002857454967774564,0.04468244024672319
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2016,2017-09-30,2017-03-31,21682.8,0.0001637510522733976,-0.0026941718267589065
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2016,2017-12-31,2017-03-31,21682.8,0.0,0.0001637510522733976
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2017,2018-03-31,2018-03-31,21657.39584,-0.0011716272806094885,-0.0011716272806094885
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2017,2018-06-30,2018-03-31,21676.57125,0.0008853977708891403,-0.00028726686590285766
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2017,2018-09-30,2018-03-31,21655.20625,-0.0009856263591504488,-0.00010110125964257755
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2017,2018-12-31,2018-03-31,21637.625,-0.0008118717410044995,-0.0017966978979667703
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2018,2019-03-31,2019-03-31,22324.20515,0.031730846153401826,0.030893213035087186
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2018,2019-06-30,2019-03-31,22324.24111,1.6108076303922303e-06,0.031732508073321286
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2018,2019-09-30,2019-03-31,22349.19196,0.0011176572532547446,0.0011192698612161323
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2018,2019-12-31,2019-03-31,22370.95062,0.0009735770330732141,0.0020923224117606054
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2019,2020-03-31,2020-03-31,21993.66667,-0.016864904688614457,-0.015907746939411105
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2019,2020-06-30,2020-03-31,21987.66667,-0.0002728058076911788,-0.01713310965236048
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2019,2020-09-30,2020-03-31,21987.66667,0.0,-0.0002728058076911788
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2019,2020-12-31,2020-03-31,21987.66667,0.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2020,2021-03-31,2021-03-31,23917.0,0.08774616056156548,0.08774616056156548
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2020,2021-06-30,2021-03-31,23924.16667,0.0002996475310448332,0.08807210101298124
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2020,2021-09-30,2021-03-31,23916.83334,-0.00030652394715147135,-6.968265250595351e-06
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2017,2018-06-30,2018-06-30,361.0221485,,
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2017,2018-09-30,2018-06-30,361.0221485,0.0,
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2017,2018-12-31,2018-06-30,361.0221485,0.0,0.0
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2017,2019-03-31,2018-06-30,361.0221485,0.0,0.0
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2018,2019-06-30,2019-06-30,1031.359141,1.8567752568233353,1.8567752568233353
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2018,2019-09-30,2019-06-30,1143.845148,0.1090657972846727,2.1683517278718982
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2018,2019-12-31,2019-06-30,1143.772267,-6.371579241082337e-05,0.10899513227856295
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2018,2020-03-31,2019-06-30,1143.772267,0.0,-6.371579241082337e-05
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2019,2020-06-30,2020-06-30,1206.16842,0.05455295149239703,0.05455295149239703
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,Rx Sales from Products module,2019,2020-09-30,2020-06-30,1208.071718,0.0015779703467944106,0.05621700477897651
