client_name,Company,industry_code,industry_name,Item,Quarter,Forecasted_Financial_Year,Reported_Financial_Year,Forecasted_Revenue,Actual_Revenue,pct_change_actual_vs_forecasted,QoQ_actual_vs_forecast_L1,QoQ_actual_vs_forecast_L2,QoQ_actual_vs_forecast_L3,QoQ_actual_vs_forecast_L4
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2015-06-30,2015,2014,4038.0,4048.0,0.0024764735017335313,0.0024764735017335313,-0.03566121842496285,-0.04442077909940996,-0.04442077909940996
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2015-09-30,2015,2014,4038.0,4048.0,0.0024764735017335313,0.0024764735017335313,0.0024764735017335313,-0.03566121842496285,-0.04442077909940996
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2015-12-31,2015,2014,4038.0,4048.0,0.0024764735017335313,0.0024764735017335313,0.0024764735017335313,0.0024764735017335313,-0.03566121842496285
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2016-03-31,2016,2015,4166.958379,4038.0,-0.030947844271712537,0.0024764735017335313,0.0024764735017335313,0.0024764735017335313,0.0024764735017335313
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2016-06-30,2016,2015,4166.958379,4038.0,-0.030947844271712537,-0.030947844271712537,0.0024764735017335313,0.0024764735017335313,0.0024764735017335313
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2016-09-30,2016,2015,4166.958379,4038.0,-0.030947844271712537,-0.030947844271712537,-0.030947844271712537,0.0024764735017335313,0.0024764735017335313
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2016-12-31,2017,2015,4406.149451,4038.0,-0.08355355511521441,-0.030947844271712537,-0.030947844271712537,-0.030947844271712537,0.0024764735017335313
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2017-03-31,2017,2016,4406.149451,4202.0,-0.04633284759636725,-0.08355355511521441,-0.030947844271712537,-0.030947844271712537,-0.030947844271712537
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2017-06-30,2017,2016,4406.149451,4202.0,-0.04633284759636725,-0.04633284759636725,-0.08355355511521441,-0.030947844271712537,-0.030947844271712537
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2017-09-30,2017,2016,4406.149451,4202.0,-0.04633284759636725,-0.04633284759636725,-0.04633284759636725,-0.08355355511521441,-0.030947844271712537
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2017-12-31,2018,2016,4877.419319,4202.0,-0.13847882964847863,-0.04633284759636725,-0.04633284759636725,-0.04633284759636725,-0.08355355511521441
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2018-03-31,2018,2017,4877.419319,4472.0,-0.08312168638457793,-0.13847882964847863,-0.04633284759636725,-0.04633284759636725,-0.04633284759636725
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2018-06-30,2018,2017,4877.419319,4472.0,-0.08312168638457793,-0.08312168638457793,-0.13847882964847863,-0.04633284759636725,-0.04633284759636725
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2018-09-30,2018,2017,4877.419319,4472.0,-0.08312168638457793,-0.08312168638457793,-0.08312168638457793,-0.13847882964847863,-0.04633284759636725
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2018-12-31,2019,2017,5120.865534,4472.0,-0.12671012931151096,-0.08312168638457793,-0.08312168638457793,-0.08312168638457793,-0.13847882964847863
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2019-03-31,2019,2018,5120.865534,4914.0,-0.04039659558067193,-0.12671012931151096,-0.08312168638457793,-0.08312168638457793,-0.08312168638457793
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2019-06-30,2019,2018,5120.865534,4914.0,-0.04039659558067193,-0.04039659558067193,-0.12671012931151096,-0.08312168638457793,-0.08312168638457793
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2019-09-30,2019,2018,5120.865534,4914.0,-0.04039659558067193,-0.04039659558067193,-0.04039659558067193,-0.12671012931151096,-0.08312168638457793
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2019-12-31,2020,2019,5339.0,5163.0,-0.032964974714365984,-0.04039659558067193,-0.04039659558067193,-0.04039659558067193,-0.12671012931151096
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2020-03-31,2020,2019,5339.0,5163.0,-0.032964974714365984,-0.032964974714365984,-0.04039659558067193,-0.04039659558067193,-0.04039659558067193
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2020-06-30,2020,2019,5339.0,5163.0,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.04039659558067193,-0.04039659558067193
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2020-09-30,2020,2019,5339.0,5163.0,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.04039659558067193
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2020-12-31,2020,2019,5339.0,5163.0,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2021-03-31,2020,2019,5339.0,5163.0,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2021-06-30,2020,2019,5339.0,5163.0,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2021-09-30,2021,2020,5924.459034,5339.0,-0.09882067386070145,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2021-12-31,2021,2020,5924.459034,5339.0,-0.09882067386070145,-0.09882067386070145,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,MedTech & Healthcare Supply,2022-03-31,2022,2020,6730.66715,5339.0,-0.20676511243019946,-0.09882067386070145,-0.09882067386070145,-0.032964974714365984,-0.032964974714365984
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Other Sales,2012-12-31,2013,2012,2900.9,3315.0,0.14274880209590124,,,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Other Sales,2013-03-31,2013,2012,2900.9,3315.0,0.14274880209590124,0.14274880209590124,,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Other Sales,2013-06-30,2013,2012,2900.9,3315.0,0.14274880209590124,0.14274880209590124,0.14274880209590124,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Other Sales,2013-09-30,2013,2012,2900.9,3315.0,0.14274880209590124,0.14274880209590124,0.14274880209590124,0.14274880209590124,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Other Sales,2013-12-31,2013,2012,2900.9,3315.0,0.14274880209590124,0.14274880209590124,0.14274880209590124,0.14274880209590124,0.14274880209590124
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Other Sales,2014-03-31,2014,2013,2927.0138,2888.0,-0.013328874636669008,0.14274880209590124,0.14274880209590124,0.14274880209590124,0.14274880209590124
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Other Sales,2014-06-30,2014,2013,2927.0138,2888.0,-0.013328874636669008,-0.013328874636669008,0.14274880209590124,0.14274880209590124,0.14274880209590124
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Other Sales,2014-09-30,2014,2013,2927.0138,2888.0,-0.013328874636669008,-0.013328874636669008,-0.013328874636669008,0.14274880209590124,0.14274880209590124
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Other Sales,2014-12-31,2015,2013,3009.607154,2888.0,-0.04040632141586138,-0.013328874636669008,-0.013328874636669008,-0.013328874636669008,0.14274880209590124
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2012-12-31,2013,2012,6778.35,6858.0,0.011750647281417989,,,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2013-03-31,2013,2012,6778.35,6858.0,0.011750647281417989,0.011750647281417989,,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2013-06-30,2013,2012,6778.35,6858.0,0.011750647281417989,0.011750647281417989,0.011750647281417989,,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2013-09-30,2013,2012,6778.35,6858.0,0.011750647281417989,0.011750647281417989,0.011750647281417989,0.011750647281417989,
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2013-12-31,2013,2012,6778.35,6858.0,0.011750647281417989,0.011750647281417989,0.011750647281417989,0.011750647281417989,0.011750647281417989
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2014-03-31,2014,2013,7002.029157,6782.0,-0.031423627646570786,0.011750647281417989,0.011750647281417989,0.011750647281417989,0.011750647281417989
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2014-06-30,2014,2013,7002.029157,6782.0,-0.031423627646570786,-0.031423627646570786,0.011750647281417989,0.011750647281417989,0.011750647281417989
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2014-09-30,2014,2013,7002.029157,6782.0,-0.031423627646570786,-0.031423627646570786,-0.031423627646570786,0.011750647281417989,0.011750647281417989
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2014-12-31,2015,2013,4038.0,6782.0,0.6795443288756811,-0.031423627646570786,-0.031423627646570786,-0.031423627646570786,0.011750647281417989
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2015-03-31,2015,2014,4038.0,6981.0,0.7288261515601783,0.6795443288756811,-0.031423627646570786,-0.031423627646570786,-0.031423627646570786
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2015-06-30,2015,2014,4038.0,6981.0,0.7288261515601783,0.7288261515601783,0.6795443288756811,-0.031423627646570786,-0.031423627646570786
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2015-09-30,2015,2014,4038.0,6981.0,0.7288261515601783,0.7288261515601783,0.7288261515601783,0.6795443288756811,-0.031423627646570786
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2015-12-31,2015,2014,4038.0,6981.0,0.7288261515601783,0.7288261515601783,0.7288261515601783,0.7288261515601783,0.6795443288756811
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2016-03-31,2016,2015,4166.958379,4038.0,-0.030947844271712537,0.7288261515601783,0.7288261515601783,0.7288261515601783,0.7288261515601783
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2016-06-30,2016,2015,4166.958379,4038.0,-0.030947844271712537,-0.030947844271712537,0.7288261515601783,0.7288261515601783,0.7288261515601783
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2016-09-30,2016,2015,4166.958379,4038.0,-0.030947844271712537,-0.030947844271712537,-0.030947844271712537,0.7288261515601783,0.7288261515601783
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2016-12-31,2017,2015,4406.149451,4038.0,-0.08355355511521441,-0.030947844271712537,-0.030947844271712537,-0.030947844271712537,0.7288261515601783
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2017-03-31,2017,2016,4406.149451,4202.0,-0.04633284759636725,-0.08355355511521441,-0.030947844271712537,-0.030947844271712537,-0.030947844271712537
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2017-06-30,2017,2016,4406.149451,4202.0,-0.04633284759636725,-0.04633284759636725,-0.08355355511521441,-0.030947844271712537,-0.030947844271712537
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2017-09-30,2017,2016,4406.149451,4202.0,-0.04633284759636725,-0.04633284759636725,-0.04633284759636725,-0.08355355511521441,-0.030947844271712537
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2017-12-31,2018,2016,4877.419319,4202.0,-0.13847882964847863,-0.04633284759636725,-0.04633284759636725,-0.04633284759636725,-0.08355355511521441
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2018-03-31,2018,2017,4877.419319,4472.0,-0.08312168638457793,-0.13847882964847863,-0.04633284759636725,-0.04633284759636725,-0.04633284759636725
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2018-06-30,2018,2017,4877.419319,4472.0,-0.08312168638457793,-0.08312168638457793,-0.13847882964847863,-0.04633284759636725,-0.04633284759636725
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2018-09-30,2018,2017,4877.419319,4472.0,-0.08312168638457793,-0.08312168638457793,-0.08312168638457793,-0.13847882964847863,-0.04633284759636725
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2018-12-31,2019,2017,5120.865534,4472.0,-0.12671012931151096,-0.08312168638457793,-0.08312168638457793,-0.08312168638457793,-0.13847882964847863
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2019-03-31,2019,2018,5120.865534,4914.0,-0.04039659558067193,-0.12671012931151096,-0.08312168638457793,-0.08312168638457793,-0.08312168638457793
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2019-06-30,2019,2018,5120.865534,4914.0,-0.04039659558067193,-0.04039659558067193,-0.12671012931151096,-0.08312168638457793,-0.08312168638457793
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2019-09-30,2019,2018,5120.865534,4914.0,-0.04039659558067193,-0.04039659558067193,-0.04039659558067193,-0.12671012931151096,-0.08312168638457793
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2019-12-31,2020,2019,5339.0,5163.0,-0.032964974714365984,-0.04039659558067193,-0.04039659558067193,-0.04039659558067193,-0.12671012931151096
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2020-03-31,2020,2019,5339.0,5163.0,-0.032964974714365984,-0.032964974714365984,-0.04039659558067193,-0.04039659558067193,-0.04039659558067193
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2020-06-30,2020,2019,5339.0,5163.0,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.04039659558067193,-0.04039659558067193
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2020-09-30,2020,2019,5339.0,5163.0,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.04039659558067193
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2020-12-31,2020,2019,5339.0,5163.0,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2021-03-31,2020,2019,5339.0,5163.0,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2021-06-30,2020,2019,5339.0,5163.0,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2021-09-30,2021,2020,5924.459034,5339.0,-0.09882067386070145,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2021-12-31,2021,2020,5924.459034,5339.0,-0.09882067386070145,-0.09882067386070145,-0.032964974714365984,-0.032964974714365984,-0.032964974714365984
AGILENT TECHNOLOGIES INC,Agilent Technologies,42345,Medical Dental and Hospital Equipment and Supplies Merchant,Total WW Revenues,2022-03-31,2022,2020,6730.66715,5339.0,-0.20676511243019946,-0.09882067386070145,-0.09882067386070145,-0.032964974714365984,-0.032964974714365984
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2011-03-31,2011,2010,79.20931753,81.5,0.028919356225136167,,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2011-06-30,2011,2010,79.20931753,81.5,0.028919356225136167,0.028919356225136167,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2011-09-30,2011,2010,79.20931753,81.5,0.028919356225136167,0.028919356225136167,0.028919356225136167,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2011-12-31,2011,2010,79.20931753,81.5,0.028919356225136167,0.028919356225136167,0.028919356225136167,0.028919356225136167,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2012-03-31,2012,2010,71.79905622,81.5,0.1351124135987982,0.028919356225136167,0.028919356225136167,0.028919356225136167,0.028919356225136167
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2012-06-30,2012,2011,71.79905622,76.1,0.05990251134808019,0.1351124135987982,0.028919356225136167,0.028919356225136167,0.028919356225136167
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2012-09-30,2012,2011,71.79905622,76.1,0.05990251134808019,0.05990251134808019,0.1351124135987982,0.028919356225136167,0.028919356225136167
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2012-12-31,2012,2011,71.79905622,76.1,0.05990251134808019,0.05990251134808019,0.05990251134808019,0.1351124135987982,0.028919356225136167
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2013-03-31,2013,2011,67.43678576,76.1,0.1284642223434462,0.05990251134808019,0.05990251134808019,0.05990251134808019,0.1351124135987982
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2013-06-30,2013,2012,67.43678576,70.8,0.0498721017334559,0.1284642223434462,0.05990251134808019,0.05990251134808019,0.05990251134808019
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2013-09-30,2013,2012,67.43678576,70.8,0.0498721017334559,0.0498721017334559,0.1284642223434462,0.05990251134808019,0.05990251134808019
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2013-12-31,2013,2012,67.43678576,70.8,0.0498721017334559,0.0498721017334559,0.0498721017334559,0.1284642223434462,0.05990251134808019
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2014-03-31,2013,2012,67.43678576,70.8,0.0498721017334559,0.0498721017334559,0.0498721017334559,0.0498721017334559,0.1284642223434462
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2014-06-30,2014,2013,62.47716667,82.2,0.31568066193165606,0.0498721017334559,0.0498721017334559,0.0498721017334559,0.0498721017334559
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2014-09-30,2014,2013,62.47716667,82.2,0.31568066193165606,0.31568066193165606,0.0498721017334559,0.0498721017334559,0.0498721017334559
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2014-12-31,2014,2013,62.47716667,82.2,0.31568066193165606,0.31568066193165606,0.31568066193165606,0.0498721017334559,0.0498721017334559
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2015-03-31,2015,2013,69.2726,82.2,0.18661635336337898,0.31568066193165606,0.31568066193165606,0.31568066193165606,0.0498721017334559
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,Alliance/ Co-promotion Revenue,2015-06-30,2015,2014,69.2726,63.4,-0.08477522137179777,0.18661635336337898,0.31568066193165606,0.31568066193165606,0.31568066193165606
