year,state_code,state_name,measure_id,measure_short_desc,measure_desc,total_population,value
2013,KY,Kentucky,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,893140,75.56752222495913
2013,KY,Kentucky,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,893140,35.397433325122606
2013,LA,Louisiana,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,1031951,40.92893034649901
2013,LA,Louisiana,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,1031951,68.37866138993033
2013,LA,Louisiana,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,1031951,73.80720460564503
2013,LA,Louisiana,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1031951,33.52946341444506
2013,MA,Massachusetts,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,1860996,30.439708038061337
2013,MA,Massachusetts,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,1860996,59.48441710782828
2013,MA,Massachusetts,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,1860996,78.72132734299268
2013,MA,Massachusetts,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1860996,32.80770012401961
2013,MD,Maryland,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,620961,38.8
2013,MD,Maryland,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,620961,67.4
2013,MD,Maryland,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,620961,76.4
2013,MD,Maryland,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,620961,33.0
2013,ME,Maine,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,66194,28.3
2013,ME,Maine,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,66194,59.1
2013,ME,Maine,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,66194,75.9
2013,ME,Maine,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,66194,30.7
2013,MI,Michigan,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,2225267,37.15286767835051
2013,MI,Michigan,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,2225267,60.61391033076031
2013,MI,Michigan,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,2225267,75.41879311561264
2013,MI,Michigan,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,2225267,35.35436367860576
2013,MN,Minnesota,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,1089930,26.86252474929583
2013,MN,Minnesota,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,1089930,58.15234537997853
2013,MN,Minnesota,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,1089930,75.05606470140283
2013,MN,Minnesota,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1089930,31.200764361014013
2013,MO,Missouri,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,1411382,31.58008420115886
2013,MO,Missouri,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,1411382,65.13408248085918
2013,MO,Missouri,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,1411382,71.28874153135011
2013,MO,Missouri,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1411382,32.61829887301949
2013,MS,Mississippi,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,241307,43.93576605734604
2013,MS,Mississippi,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,241307,71.14480102110589
2013,MS,Mississippi,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,241307,72.00668277339655
2013,MS,Mississippi,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,241307,36.552846788530786
2013,MT,Montana,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,170958,26.939066905321774
2013,MT,Montana,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,170958,52.66559856806935
2013,MT,Montana,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,170958,70.6437323787129
2013,MT,Montana,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,170958,30.051602147895974
2013,NC,North Carolin,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,2798473,34.16654375439749
2013,NC,North Carolin,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,2798473,62.174476973692435
2013,NC,North Carolin,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,2798473,76.89252120710115
2013,NC,North Carolin,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,2798473,34.11842654905014
2013,ND,North Dakota,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,105549,30.399999999999995
2013,ND,North Dakota,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,105549,60.5
2013,ND,North Dakota,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,105549,72.6
2013,ND,North Dakota,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,105549,30.8
2013,NE,Nebraska,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,667337,28.2707699408245
2013,NE,Nebraska,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,667337,60.10948785995681
2013,NE,Nebraska,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,667337,71.40641040433843
2013,NE,Nebraska,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,667337,31.942050867852373
2013,NH,New Hampshire,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,196059,28.091185816514415
2013,NH,New Hampshire,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,196059,59.079418440367434
2013,NH,New Hampshire,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,196059,76.83234893577954
2013,NH,New Hampshire,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,196059,31.111767376146975
2013,NJ,New Jersey,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,1178534,34.56577612525392
2013,NJ,New Jersey,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,1178534,60.960874781720335
2013,NJ,New Jersey,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,1178534,73.75620754259104
2013,NJ,New Jersey,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1178534,35.61123073241841
2013,NM,New Mexico,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,798938,25.96161842345714
2013,NM,New Mexico,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,798938,54.30178987606047
2013,NM,New Mexico,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,798938,69.84069777629803
2013,NM,New Mexico,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,798938,29.5431796960465
2013,NV,Nevada,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,1373931,29.22438914326848
2013,NV,Nevada,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,1373931,54.49030278813128
2013,NV,Nevada,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,1373931,71.49152126271261
2013,NV,Nevada,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1373931,32.88438837175957
2013,NY,New York,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,9296499,31.101043543381223
2013,NY,New York,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,9296499,59.41871683092743
2013,NY,New York,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,9296499,77.00643632619118
2013,NY,New York,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,9296499,34.07424457314522
2013,OH,Ohio,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,2330226,36.053353365725044
2013,OH,Ohio,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,2330226,65.42865249980045
2013,OH,Ohio,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,2330226,73.35907688782119
2013,OH,Ohio,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,2330226,33.267940448694674
2013,OK,Oklahoma,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,1359952,34.95193955374896
2013,OK,Oklahoma,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,1359952,62.29137146016919
2013,OK,Oklahoma,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,1359952,71.59034760050353
2013,OK,Oklahoma,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1359952,34.73746882242902
2013,OR,Oregon,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,1333152,28.09251915760543
2013,OR,Oregon,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,1333152,52.31276006036821
2013,OR,Oregon,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,1333152,70.56609606406471
2013,OR,Oregon,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1333152,31.544920534192656
2013,PA,Pennsylvania,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,2290681,34.071358430091315
2013,PA,Pennsylvania,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,2290681,65.68817338599307
2013,PA,Pennsylvania,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,2290681,72.7407286304815
2013,PA,Pennsylvania,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,2290681,32.94296765896255
2013,RI,Rhode Island,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,412249,33.38275993392343
2013,RI,Rhode Island,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,412249,62.16177213286146
2013,RI,Rhode Island,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,412249,78.6303670839711
2013,RI,Rhode Island,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,412249,33.77371151900915
2013,SC,South Carolin,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,480823,35.16588474345029
2013,SC,South Carolin,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,480823,65.33364314935018
2013,SC,South Carolin,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,480823,77.52424156082384
2013,SC,South Carolin,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,480823,35.770435066542156
2013,SD,South Dakota,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,221844,28.49822037107156
2013,SD,South Dakota,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,221844,60.83063233623628
2013,SD,South Dakota,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,221844,71.98735327527451
2013,SD,South Dakota,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,221844,29.47925028398334
2013,TN,Tennessee,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,1836343,38.62685538594914
2013,TN,Tennessee,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,1836343,67.6498956349658
2013,TN,Tennessee,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,1836343,76.64144095084635
2013,TN,Tennessee,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1836343,32.36603853419541
2013,TX,Texas,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,12325490,32.30623641737569
2013,TX,Texas,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,12325490,61.01788400298893
2013,TX,Texas,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,12325490,72.41101168391683
2013,TX,Texas,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,12325490,33.49763397641798
2013,US,US,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,103020808,31.253532056358946
2013,US,US,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,103020808,58.79904031329282
2013,US,US,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,103020808,73.81460120658343
2013,US,US,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,103020808,33.24140007133316
2013,UT,Utah,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,930942,26.554115723643363
2013,UT,Utah,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,930942,52.90905921099274
2013,UT,Utah,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,930942,68.7742908795607
2013,UT,Utah,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,930942,32.076638286810564
2013,VA,Virginia,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,1918061,33.53680185353855
2013,VA,Virginia,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,1918061,63.86776082721039
2013,VA,Virginia,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,1918061,77.93697603986526
2013,VA,Virginia,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1918061,33.16796196784148
2013,VT,Vermont,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,42417,27.900000000000002
2013,VT,Vermont,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,42417,54.0
2013,VT,Vermont,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,42417,73.2
2013,VT,Vermont,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,42417,26.5
2013,WA,Washington,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,2081594,28.81177909813345
2013,WA,Washington,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,2081594,51.61554179153091
2013,WA,Washington,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,2081594,71.15619467581094
2013,WA,Washington,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,2081594,31.3604492518714
2013,WI,Wisconsin,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,1253518,33.51615222118869
2013,WI,Wisconsin,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,1253518,61.22589783313842
2013,WI,Wisconsin,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,1253518,72.8737668705196
2013,WI,Wisconsin,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1253518,32.73179348042868
2013,WV,West Virginia,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,51400,37.6
2013,WV,West Virginia,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,51400,63.2
2013,WV,West Virginia,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,51400,75.3
2013,WV,West Virginia,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,51400,35.1
2013,WY,Wyoming,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years,59466,28.7
2013,WY,Wyoming,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,59466,57.2
2013,WY,Wyoming,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years,59466,71.3
2013,WY,Wyoming,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,59466,30.7
2014,AK,Alaska,COLON_SCREEN,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years",291826,60.300000000000004
2014,AK,Alaska,COREM,Core preventive services for older men,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",291826,33.4
2014,AK,Alaska,COREW,Core preventive services for older women,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",291826,29.0
2014,AK,Alaska,DENTAL,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 Years,291826,66.0
2014,AK,Alaska,MAMMOUSE,Mammography,Mammography use among women aged 50–74 Years,291826,70.4
2014,AK,Alaska,PAPTEST,Pap Smear Test,Papanicolaou smear use among adult women aged 21–65 Years,291826,79.9
2014,AK,Alaska,SLEEP,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 Years,291826,33.4
