first_date_of_quarter,client_name,country_code,industry_name_level_1,industry_name_level_2,industry_code,industry_name,NAICS 2 Digit,NAICS 3 Digit,NAICS 4 Digit,gdp_naics_2,gdp_naics_3,gdp_naics_4
2021-10-01,CARILLON DIALYSIS LLC,US,Not Assigned,Not Assigned,56149,Other Business Support Services,56,561,5614,810.0,743.5,
2021-10-01,CARLTON POOLS INC,US,Transp & Indust,Capital Goods,23899,All Other Specialty Trade Contractors,23,238,2389,991.9,,
2021-10-01,CATO RESEARCH LLC,US,Not Assigned,Not Assigned,54171,Research and Development in the Physical Engineering and Lif,54,541,5417,405.8,405.8,
2021-10-01,CCC&D HOLDINGS LLC,US,Not Assigned,Not Assigned,42447,Meat and Meat Product Merchant Wholesalers,42,424,4244,1444.6,,
2021-10-01,CCL AVIATION INC,US,Cons Retail & Health,Retailing & Services,61151,Technical and Trade Schools,61,611,6115,266.8,,
2021-10-01,CELINE INC,US,Cons Retail & Health,Consumer Durables & Apparel,44832,Luggage and Leather Goods Stores - DO NOT USE,44,448,4483,310.9,,
2021-10-01,CENTRAL CALIFORNIA HEALTHCARE HOLDINGS LLC,US,Cons Retail & Health,Health Care Equipment & Services,55111,Management of Companies and Enterprises,55,551,5511,435.7,,
2021-10-01,CERNER CORP,US,Not Assigned,Not Assigned,54151,Computer Systems Design and Related Services,54,541,5415,405.8,405.8,405.8
2021-10-01,CHARLES RIVER LABORATORIES INTERNATIONAL INC,US,Not Assigned,Not Assigned,54171,Research and Development in the Physical Engineering and Lif,54,541,5417,405.8,405.8,
2021-10-01,CHARLES RIVER NEDERLAND BV,US,Not Assigned,Not Assigned,11299,All Other Animal Production,11,112,1129,46.4,,
2021-10-01,CHEFS CHOICE CASH & CARRY FOOD DISTRIBUTOR INC,US,Not Assigned,Not Assigned,42441,General Line Grocery Merchant Wholesalers,42,424,4244,1444.6,,
2021-10-01,CHINA VITAMINS LLC,US,Real Estate,Commercial Real Estate,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,99.8,476.0,
2021-10-01,CHIPOTLE MEXICAN GRILL INC,US,Not Assigned,Not Assigned,44529,Other Specialty Food Retailers,44,445,4452,310.9,194.2,
2021-10-01,CHRISTIAN DIOR INC,US,Cons Retail & Health,Consumer Durables & Apparel,53311,Lessors of Nonfinancial Intangible Assets (except Copyrighte,53,533,5331,554.0,304.2,
2021-10-01,CHRISTOPHER DESIGNS INC,US,Not Assigned,Not Assigned,33991,Jewelry and Silverware Manufacturing,33,339,3399,97.0,113.1,
2021-10-01,CHS INC,US,Cons Retail & Health,Food Beverage & Tobacco,42451,Grain and Field Bean Merchant Wholesalers,42,424,4245,1444.6,,
2021-10-01,CHURCH & DWIGHT CO INC,US,Cons Retail & Health,Household & Personal Products,32561,Soap and Cleaning Compound Manufacturing,32,325,3256,99.8,476.0,
2021-10-01,CLINICAL SERVICES CORPORATE OPERATIONS INC,US,Not Assigned,Not Assigned,55111,Management of Companies and Enterprises,55,551,5511,435.7,,
2021-10-01,CMB PROPERTIES LLC,US,Not Assigned,Not Assigned,42499,Other Miscellaneous Nondurable Goods Merchant Wholesalers,42,424,4249,1444.6,,
2021-10-01,COALINGA FEED YARD INCORPORATED,US,Not Assigned,Not Assigned,11211,Beef Cattle Ranching and Farming including Feedlots,11,112,1121,46.4,,
2021-10-01,COCA-COLA BEVERAGES FLORIDA LLC,US,Cons Retail & Health,Food Beverage & Tobacco,31211,Soft Drink and Ice Manufacturing,31,312,3121,324.2,,
2021-10-01,COCA-COLA BOTTLING CO UNITED INC,US,Not Assigned,Not Assigned,31211,Soft Drink and Ice Manufacturing,31,312,3121,324.2,,
2021-10-01,COCO 1215 REALTY LLC,US,Transp & Indust,Capital Goods,44221,Floor Covering Stores - DO NOT USE,44,442,4422,310.9,,
2021-10-01,COLOR BRANDS LLC,US,Cons Retail & Health,Retailing & Services,42449,Other Grocery and Related Products Merchant Wholesalers,42,424,4244,1444.6,,
2021-10-01,COMPASS INDUSTRIES INC,US,Not Assigned,Not Assigned,42391,Sporting and Recreational Goods and Supplies Merchant Wholes,42,423,4239,1444.6,,
2021-10-01,CONDOR FARMS A GENERAL PARTNERSHIP,US,Not Assigned,Not Assigned,11199,All Other Crop Farming,11,111,1119,46.4,,
2021-10-01,CONSTANCE 415 LLC,US,Transp & Indust,Capital Goods,23622,Commercial and Institutional Building Construction,23,236,2362,991.9,,
2021-10-01,COTTONWOOD CREEK RANCH LLC,US,Not Assigned,Not Assigned,11133,Noncitrus Fruit and Tree Nut Farming,11,111,1113,46.4,,
2021-10-01,COTTONWOOD FARMS INC,US,Not Assigned,Not Assigned,11199,All Other Crop Farming,11,111,1119,46.4,,
2021-10-01,COURISTAN INC,US,Not Assigned,Not Assigned,31411,Carpet and Rug Mills,31,314,3141,324.2,,
2021-10-01,CRAVINGS COMPS LLC,US,Cons Retail & Health,Consumer Durables & Apparel,44314,Electronics and Appliance Stores - DO NOT USE,44,443,4431,310.9,,
2021-10-01,CREATIVE BEAUTY GROUP LLC,US,Not Assigned,Not Assigned,32561,Soap and Cleaning Compound Manufacturing,32,325,3256,99.8,476.0,
2021-10-01,CRISTINA FOODS INC,US,Not Assigned,Not Assigned,42441,General Line Grocery Merchant Wholesalers,42,424,4244,1444.6,,
2021-10-01,CROCS INC,US,Not Assigned,Not Assigned,31621,Footwear Manufacturing,31,316,3162,324.2,,
2021-10-01,CUISINE SOLUTIONS INC,US,Not Assigned,Not Assigned,31199,All Other Food Manufacturing,31,311,3119,324.2,324.2,
2021-10-01,DANIEL STREET HOLDINGS LLC,US,Cons Retail & Health,Consumer Durables & Apparel,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),53,531,5311,554.0,554.0,
2021-10-01,DARIK ENTERPRISES INC,US,Not Assigned,Not Assigned,42442,Packaged Frozen Food Merchant Wholesalers,42,424,4244,1444.6,,
2021-10-01,DAVID MODLIN & RYAN LONDRY DDS LLC,US,Cons Retail & Health,Health Care Equipment & Services,62121,Offices of Dentists,62,621,6212,837.9,837.9,
2021-10-01,DAVID MODLIN & RYAN LONDRY II DDS PLLC,US,Cons Retail & Health,Health Care Equipment & Services,62121,Offices of Dentists,62,621,6212,837.9,837.9,
2021-10-01,DAVID PEYSER SPORTSWEAR INC,US,Cons Retail & Health,Consumer Durables & Apparel,31522,Men's and Boys' Cut and Sew Apparel Manufacturing - DO NOT U,31,315,3152,324.2,12.0,
2021-10-01,DB SPECIAL INSTRUMENTS INC,US,Cons Retail & Health,Health Care Equipment & Services,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,97.0,113.1,
2021-10-01,DECKERS OUTDOOR CORP,US,Not Assigned,Not Assigned,31621,Footwear Manufacturing,31,316,3162,324.2,,
2021-10-01,DEFINITIVE MEDIA CORP,US,Not Assigned,Not Assigned,51121,Software Publishers - DO NOT USE,51,511,5112,481.6,366.4,
2021-10-01,DELTA BRANDS INC,US,Cons Retail & Health,Household & Personal Products,42499,Other Miscellaneous Nondurable Goods Merchant Wholesalers,42,424,4249,1444.6,,
2021-10-01,DENTAL EXPERTS LLC,US,Cons Retail & Health,Health Care Equipment & Services,62121,Offices of Dentists,62,621,6212,837.9,837.9,
2021-10-01,DENTAL EXPERTS PA,US,Cons Retail & Health,Health Care Equipment & Services,62121,Offices of Dentists,62,621,6212,837.9,837.9,
2021-10-01,DENTCARE DELIVERY SYSTEMS INC,US,Not Assigned,Not Assigned,52429,Other Insurance Related Activities,52,524,5242,866.0,694.4,
2021-10-01,DENTSPLY SIRONA INC,US,Cons Retail & Health,Health Care Equipment & Services,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,97.0,113.1,
2021-10-01,DIAGEO INC,US,Cons Retail & Health,Food Beverage & Tobacco,31212,Breweries,31,312,3121,324.2,,
2021-10-01,DINE BRANDS GLOBAL INC,US,Cons Retail & Health,Retailing & Services,72251,Restaurants and Other Eating Places,72,722,7225,713.9,522.9,
2021-10-01,DIRECT FARMS LLC,US,Not Assigned,Not Assigned,42493,Flower Nursery Stock and Florists' Supplies Merchant Wholesa,42,424,4249,1444.6,,
2021-10-01,DOJO 17 LLC,US,Cons Retail & Health,Consumer Durables & Apparel,45111,Sporting Goods Stores - DO NOT USE,45,451,4511,756.9,,
2021-10-01,DOMAINE CHANDON INC,US,Cons Retail & Health,Consumer Durables & Apparel,31213,Wineries,31,312,3121,324.2,,
2021-10-01,DOWN EAST & SEAFOOD INC,US,Cons Retail & Health,Retailing & Services,31171,Seafood Product Preparation and Packaging,31,311,3117,324.2,324.2,
2021-10-01,DOWN EAST REALTY LLC,US,Cons Retail & Health,Retailing & Services,31171,Seafood Product Preparation and Packaging,31,311,3117,324.2,324.2,
2021-10-01,DOYNA LTD,US,Not Assigned,Not Assigned,42482,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,42,424,4248,1444.6,,
2021-10-01,DREAM ON ME INDUSTRIES INC,US,Cons Retail & Health,Consumer Durables & Apparel,33712,Household and Institutional Furniture Manufacturing,33,337,3371,97.0,30.8,
