item_code,area_code,year,month,CPI,item_name,region_name
SAH31,0300,2022,03,100.009,Household furnishings and supplies,South
SAH3,0300,2022,03,141.153,Household furnishings and operations,South
SAH21,0300,2022,03,217.196,Household energy,South
SAH2,0300,2022,03,267.919,Fuels and utilities,South
SAH1,0300,2022,03,311.085,Shelter,South
SAH,0300,2022,03,270.537,Housing,South
SAGS,0300,2022,03,137.518,Other personal services,South
SAGC,0300,2022,03,120.953,Other goods,South
SAG,0300,2022,03,477.312,Other goods and services,South
SAF116,0300,2022,03,253.443,Alcoholic beverages,South
SAF115,0300,2022,03,240.239,Other food at home,South
SAF114,0300,2022,03,189.062,Nonalcoholic beverages and beverage materials,South
SAF113,0300,2022,03,320.082,Fruits and vegetables,South
SAF112,0300,2022,03,297.929,"Meats, poultry, fish, and eggs",South
SAF111,0300,2022,03,318.757,Cereals and bakery products,South
SAF11,0300,2022,03,275.222,Food at home,South
SAF1,0300,2022,03,291.883,Food,South
SAF,0300,2022,03,289.302,Food and beverages,South
SAES,0300,2022,03,116.405,Education and communication services,South
SAEC,0300,2022,03,69.455,Education and communication commodities,South
SAE,0300,2022,03,138.955,Education and communication,South
SAD,0300,2022,03,131.359,Durables,South
SACL1E,0300,2022,03,167.121,Commodities less food and energy commodities,South
SACL11,0300,2022,03,183.927,Commodities less food and beverages,South
SACL1,0300,2022,03,186.262,Commodities less food,South
SACE,0300,2022,03,357.393,Energy commodities,South
SAC,0300,2022,03,218.696,Commodities,South
SAA,0300,2022,03,136.594,Apparel,South
SA0LE,0300,2022,03,280.614,All items less energy,South
SA0L5,0300,2022,03,265.725,All items less medical care,South
SA0L2,0300,2022,03,267.114,All items less shelter,South
SA0L1E,0300,2022,03,279.164,All items less food and energy,South
SA0L1,0300,2022,03,276.264,All items less food,South
SA0E,0300,2022,03,274.544,Energy,South
SA0,0300,2022,03,278.598,All items,South
AA0,0300,2022,03,451.925,All items - old base,South
SS47016,0200,2022,03,369.407,"Gasoline, unleaded premium",Midwest
SS47015,0200,2022,03,403.804,"Gasoline, unleaded midgrade",Midwest
SS47014,0200,2022,03,349.752,"Gasoline, unleaded regular",Midwest
SS4501A,0200,2022,03,113.510,New cars and trucks,Midwest
SS45011,0200,2022,03,157.143,New cars,Midwest
SETB01,0200,2022,03,357.348,Gasoline (all types),Midwest
SETB,0200,2022,03,359.560,Motor fuel,Midwest
SETA02,0200,2022,03,207.335,Used cars and trucks,Midwest
SETA01,0200,2022,03,160.582,New vehicles,Midwest
SETA,0200,2022,03,124.732,New and used motor vehicles,Midwest
SEMC,0200,2022,03,441.545,Professional services,Midwest
SEHF02,0200,2022,03,203.997,Utility (piped) gas service,Midwest
SEHF01,0200,2022,03,211.991,Electricity,Midwest
SEHF,0200,2022,03,214.235,Energy services,Midwest
SEHC01,0200,2022,03,311.032,Owners' equivalent rent of primary residence,Midwest
SEHC,0200,2022,03,311.127,Owners' equivalent rent of residences,Midwest
SEHA,0200,2022,03,306.249,Rent of primary residence,Midwest
SEFV,0200,2022,03,316.829,Food away from home,Midwest
SEFJ,0200,2022,03,226.265,Dairy and related products,Midwest
SEEB,0200,2022,03,1226.718,"Tuition, other school fees, and childcare",Midwest
SATCLTB,0200,2022,03,134.489,Transportation commodities less motor fuel,Midwest
SAT1,0200,2022,03,254.075,Private transportation,Midwest
SAT,0200,2022,03,255.194,Transportation,Midwest
SASLE,0200,2022,03,337.906,Services less energy services,Midwest
SASL5,0200,2022,03,304.232,Services less medical care services,Midwest
SASL2RS,0200,2022,03,353.216,Services less rent of shelter,Midwest
SAS4,0200,2022,03,332.784,Transportation services,Midwest
SAS367,0200,2022,03,367.867,Other services,Midwest
SAS2RS,0200,2022,03,314.280,Rent of shelter,Midwest
SAS,0200,2022,03,323.807,Services,Midwest
SARS,0200,2022,03,133.260,Recreation services,Midwest
SARC,0200,2022,03,87.169,Recreation commodities,Midwest
SAR,0200,2022,03,131.349,Recreation,Midwest
SANL13,0200,2022,03,296.919,Nondurables less food and apparel,Midwest
SANL113,0200,2022,03,302.143,"Nondurables less food, beverages, and apparel",Midwest
SANL11,0200,2022,03,229.328,Nondurables less food and beverages,Midwest
SANL1,0200,2022,03,231.061,Nondurables less food,Midwest
SAN,0200,2022,03,255.873,Nondurables,Midwest
SAM2,0200,2022,03,586.374,Medical care services,Midwest
SAM1,0200,2022,03,376.595,Medical care commodities,Midwest
SAM,0200,2022,03,534.114,Medical care,Midwest
SAH31,0200,2022,03,106.185,Household furnishings and supplies,Midwest
SAH3,0200,2022,03,133.561,Household furnishings and operations,Midwest
SAH21,0200,2022,03,209.458,Household energy,Midwest
SAH2,0200,2022,03,255.742,Fuels and utilities,Midwest
SAH1,0200,2022,03,305.136,Shelter,Midwest
SAH,0200,2022,03,257.919,Housing,Midwest
SAGS,0200,2022,03,139.945,Other personal services,Midwest
SAGC,0200,2022,03,124.233,Other goods,Midwest
SAG,0200,2022,03,479.494,Other goods and services,Midwest
SAF116,0200,2022,03,266.416,Alcoholic beverages,Midwest
SAF115,0200,2022,03,225.938,Other food at home,Midwest
SAF114,0200,2022,03,188.710,Nonalcoholic beverages and beverage materials,Midwest
SAF113,0200,2022,03,308.709,Fruits and vegetables,Midwest
SAF112,0200,2022,03,297.971,"Meats, poultry, fish, and eggs",Midwest
SAF111,0200,2022,03,295.390,Cereals and bakery products,Midwest
SAF11,0200,2022,03,263.145,Food at home,Midwest
SAF1,0200,2022,03,283.955,Food,Midwest
SAF,0200,2022,03,282.806,Food and beverages,Midwest
SAES,0200,2022,03,114.016,Education and communication services,Midwest
SAEC,0200,2022,03,62.906,Education and communication commodities,Midwest
SAE,0200,2022,03,141.202,Education and communication,Midwest
SAD,0200,2022,03,125.337,Durables,Midwest
SACL1E,0200,2022,03,163.182,Commodities less food and energy commodities,Midwest
SACL11,0200,2022,03,176.146,Commodities less food and beverages,Midwest
SACL1,0200,2022,03,179.173,Commodities less food,Midwest
SACE,0200,2022,03,359.193,Energy commodities,Midwest
SAC,0200,2022,03,211.636,Commodities,Midwest
SAA,0200,2022,03,117.961,Apparel,Midwest
SA0LE,0200,2022,03,270.226,All items less energy,Midwest
SA0L5,0200,2022,03,254.749,All items less medical care,Midwest
SA0L2,0200,2022,03,256.186,All items less shelter,Midwest
SA0L1E,0200,2022,03,268.639,All items less food and energy,Midwest
SA0L1,0200,2022,03,264.499,All items less food,Midwest
SA0E,0200,2022,03,275.376,Energy,Midwest
SA0,0200,2022,03,267.312,All items,Midwest
AA0,0200,2022,03,434.932,All items - old base,Midwest
SS47016,0100,2022,03,355.314,"Gasoline, unleaded premium",Northeast
SS47015,0100,2022,03,371.363,"Gasoline, unleaded midgrade",Northeast
SS47014,0100,2022,03,354.027,"Gasoline, unleaded regular",Northeast
SS4501A,0100,2022,03,113.060,New cars and trucks,Northeast
SS45011,0100,2022,03,154.520,New cars,Northeast
SETB01,0100,2022,03,356.041,Gasoline (all types),Northeast
SETB,0100,2022,03,357.632,Motor fuel,Northeast
SETA02,0100,2022,03,219.614,Used cars and trucks,Northeast
SETA01,0100,2022,03,163.078,New vehicles,Northeast
SETA,0100,2022,03,121.692,New and used motor vehicles,Northeast
SEMC,0100,2022,03,423.664,Professional services,Northeast
SEHF02,0100,2022,03,219.386,Utility (piped) gas service,Northeast
SEHF01,0100,2022,03,235.572,Electricity,Northeast
SEHF,0100,2022,03,236.042,Energy services,Northeast
SEHC01,0100,2022,03,394.084,Owners' equivalent rent of primary residence,Northeast
SEHC,0100,2022,03,394.432,Owners' equivalent rent of residences,Northeast
SEHA,0100,2022,03,382.076,Rent of primary residence,Northeast
SEFV,0100,2022,03,325.521,Food away from home,Northeast
SEFJ,0100,2022,03,253.603,Dairy and related products,Northeast
SEEB,0100,2022,03,1342.234,"Tuition, other school fees, and childcare",Northeast
SATCLTB,0100,2022,03,132.823,Transportation commodities less motor fuel,Northeast
SAT1,0100,2022,03,251.301,Private transportation,Northeast
SAT,0100,2022,03,252.063,Transportation,Northeast
SASLE,0100,2022,03,383.585,Services less energy services,Northeast
SASL5,0100,2022,03,353.256,Services less medical care services,Northeast
SASL2RS,0100,2022,03,371.135,Services less rent of shelter,Northeast
SAS4,0100,2022,03,302.194,Transportation services,Northeast
SAS367,0100,2022,03,417.582,Other services,Northeast
SAS2RS,0100,2022,03,398.922,Rent of shelter,Northeast
SAS,0100,2022,03,370.184,Services,Northeast
SARS,0100,2022,03,135.551,Recreation services,Northeast
SARC,0100,2022,03,81.010,Recreation commodities,Northeast
SAR,0100,2022,03,135.923,Recreation,Northeast
SANL13,0100,2022,03,308.722,Nondurables less food and apparel,Northeast
SANL113,0100,2022,03,315.308,"Nondurables less food, beverages, and apparel",Northeast
SANL11,0100,2022,03,236.826,Nondurables less food and beverages,Northeast
SANL1,0100,2022,03,238.860,Nondurables less food,Northeast
SAN,0100,2022,03,266.941,Nondurables,Northeast
SAM2,0100,2022,03,616.008,Medical care services,Northeast
SAM1,0100,2022,03,383.644,Medical care commodities,Northeast
SAM,0100,2022,03,563.166,Medical care,Northeast
SAH31,0100,2022,03,102.721,Household furnishings and supplies,Northeast
SAH3,0100,2022,03,137.074,Household furnishings and operations,Northeast
SAH21,0100,2022,03,251.512,Household energy,Northeast
SAH2,0100,2022,03,279.655,Fuels and utilities,Northeast
SAH1,0100,2022,03,380.887,Shelter,Northeast
SAH,0100,2022,03,313.196,Housing,Northeast
SAGS,0100,2022,03,141.015,Other personal services,Northeast
SAGC,0100,2022,03,131.874,Other goods,Northeast
SAG,0100,2022,03,552.074,Other goods and services,Northeast
SAF116,0100,2022,03,273.704,Alcoholic beverages,Northeast
SAF115,0100,2022,03,252.079,Other food at home,Northeast
SAF114,0100,2022,03,192.256,Nonalcoholic beverages and beverage materials,Northeast
SAF113,0100,2022,03,345.908,Fruits and vegetables,Northeast
SAF112,0100,2022,03,297.267,"Meats, poultry, fish, and eggs",Northeast
SAF111,0100,2022,03,335.526,Cereals and bakery products,Northeast
SAF11,0100,2022,03,282.730,Food at home,Northeast
SAF1,0100,2022,03,298.883,Food,Northeast
SAF,0100,2022,03,297.203,Food and beverages,Northeast
SAES,0100,2022,03,119.243,Education and communication services,Northeast
SAEC,0100,2022,03,71.433,Education and communication commodities,Northeast
SAE,0100,2022,03,152.753,Education and communication,Northeast
SAD,0100,2022,03,123.348,Durables,Northeast
SACL1E,0100,2022,03,166.301,Commodities less food and energy commodities,Northeast
SACL11,0100,2022,03,182.158,Commodities less food and beverages,Northeast
SACL1,0100,2022,03,185.784,Commodities less food,Northeast
SACE,0100,2022,03,377.260,Energy commodities,Northeast
SAC,0100,2022,03,223.384,Commodities,Northeast
SAA,0100,2022,03,134.447,Apparel,Northeast
SA0LE,0100,2022,03,302.683,All items less energy,Northeast
SA0L5,0100,2022,03,286.740,All items less medical care,Northeast
SA0L2,0100,2022,03,270.076,All items less shelter,Northeast
SA0L1E,0100,2022,03,305.285,All items less food and energy,Northeast
SA0L1,0100,2022,03,298.852,All items less food,Northeast
SA0E,0100,2022,03,293.911,Energy,Northeast
SA0,0100,2022,03,298.403,All items,Northeast
AA0,0100,2022,03,469.894,All items - old base,Northeast
SSFV031A,0000,2022,03,48.509,Food at elementary and secondary schools,US
SSEE041,0000,2022,03,66.480,Smartphones,US
SSEA011,0000,2022,03,241.622,College textbooks,US
SS68021,0000,2022,03,171.710,Checking account and other bank services,US
SS62055,0000,2022,03,144.925,Rental of video discs and other media,US
SS62054,0000,2022,03,311.775,Veterinarian services,US
SS62053,0000,2022,03,219.626,Pet services,US
SS62032,0000,2022,03,222.163,Admission to sporting events,US
SS62031,0000,2022,03,202.214,"Admission to movies, theaters, and concerts",US
SS61032,0000,2022,03,124.618,"Purchase of pets, pet supplies, accessories",US
SS61031,0000,2022,03,164.706,Pet food,US
SS61023,0000,2022,03,24.935,Photographic equipment,US
SS61011,0000,2022,03,39.550,"Toys, games, hobbies and playground equipment",US
SS5703,0000,2022,03,809.201,Outpatient hospital services,US
SS5702,0000,2022,03,361.318,Inpatient hospital services,US
SS53031,0000,2022,03,128.228,Intracity mass transit,US
SS53023,0000,2022,03,63.738,Ship fare,US
SS52051,0000,2022,03,253.125,Parking fees and tolls,US
SS48021,0000,2022,03,187.364,Vehicle parts and equipment other than tires,US
SS47021,0000,2022,03,438.826,"Motor oil, coolant, and fluids",US
SS47016,0000,2022,03,372.147,"Gasoline, unleaded premium",US
SS47015,0000,2022,03,388.592,"Gasoline, unleaded midgrade",US
SS47014,0000,2022,03,361.265,"Gasoline, unleaded regular",US
SS45021,0000,2022,03,179.030,New trucks,US
SS4501A,0000,2022,03,116.523,New cars and trucks,US
SS45011,0000,2022,03,163.753,New cars,US
SS33032,0000,2022,03,181.009,"Stationery, stationery supplies, gift wrap",US
SS31022,0000,2022,03,31.283,Video discs and other media,US
SS30021,0000,2022,03,122.155,Laundry equipment,US
SS20053,0000,2022,03,213.540,Distilled spirits away from home,US
SS20052,0000,2022,03,208.617,Wine away from home,US
SS20051,0000,2022,03,189.846,"Beer, ale, and other malt beverages away from home",US
SS20022,0000,2022,03,198.900,"Distilled spirits, excluding whiskey, at home",US
SS20021,0000,2022,03,216.655,Whiskey at home,US
SS18064,0000,2022,03,143.303,Prepared salads,US
SS1804B,0000,2022,03,303.791,Other condiments,US
SS18043,0000,2022,03,158.019,Sauces and gravies,US
SS18042,0000,2022,03,164.812,"Olives, pickles, relishes",US
SS18041,0000,2022,03,177.007,Salt and other seasonings and spices,US
SS17032,0000,2022,03,197.843,Instant coffee,US
SS17031,0000,2022,03,228.747,Roasted coffee,US
SS16014,0000,2022,03,181.644,Peanut butter,US
SS16011,0000,2022,03,357.309,Margarine,US
SS14022,0000,2022,03,217.391,"Dried beans, peas, and lentils",US
SS14021,0000,2022,03,206.633,Canned vegetables,US
SS14011,0000,2022,03,218.656,Frozen vegetables,US
SS13031,0000,2022,03,179.609,Canned fruits,US
SS11031,0000,2022,03,573.894,"Oranges, including tangerines",US
SS10011,0000,2022,03,281.247,Butter,US
SS09021,0000,2022,03,171.695,Fresh milk other than whole,US
SS09011,0000,2022,03,244.452,Fresh whole milk,US
SS07021,0000,2022,03,354.388,Frozen fish and seafood,US
SS07011,0000,2022,03,235.855,Shelf stable fish and seafood,US
SS06021,0000,2022,03,271.491,Fresh and frozen chicken parts,US
SS06011,0000,2022,03,290.162,Fresh whole chicken,US
SS0501A,0000,2022,03,170.444,Lunchmeats,US
SS05011,0000,2022,03,274.794,Frankfurters,US
SS04031,0000,2022,03,271.360,"Ham, excluding canned",US
SS04012,0000,2022,03,174.693,Breakfast sausage and related products,US
SS04011,0000,2022,03,378.406,Bacon and related products,US
SS0206B,0000,2022,03,298.140,"Frozen and refrigerated bakery products, pies, tarts, turnovers",US
SS0206A,0000,2022,03,365.888,"Crackers, bread, and cracker products",US
SS02063,0000,2022,03,354.845,"Fresh sweetrolls, coffeecakes, doughnuts",US
SS02042,0000,2022,03,301.355,Cookies,US
SS02041,0000,2022,03,343.367,Fresh cakes and cupcakes,US
SS02021,0000,2022,03,402.862,Bread other than white,US
SS02011,0000,2022,03,369.642,White bread,US
SS01031,0000,2022,03,179.757,Rice,US
SETG03,0000,2022,03,335.348,Intracity transportation,US
SETG02,0000,2022,03,159.391,Other intercity transportation,US
SETG01,0000,2022,03,243.689,Airline fares,US
SETG,0000,2022,03,250.489,Public transportation,US
SETF03,0000,2022,03,219.555,Parking and other fees,US
SETF01,0000,2022,03,187.158,State motor vehicle registration and license fees,US
SETF,0000,2022,03,199.703,Motor vehicle fees,US
SETE,0000,2022,03,589.143,Motor vehicle insurance,US
SETD03,0000,2022,03,204.698,Motor vehicle repair,US
SETD02,0000,2022,03,293.847,Motor vehicle maintenance and servicing,US
SETD01,0000,2022,03,375.119,Motor vehicle body work,US
SETD,0000,2022,03,329.992,Motor vehicle maintenance and repair,US
SETC02,0000,2022,03,200.727,Vehicle accessories other than tires,US
SETC01,0000,2022,03,146.719,Tires,US
SETC,0000,2022,03,170.323,Motor vehicle parts and equipment,US
SETB02,0000,2022,03,350.825,Other motor fuels,US
SETB01,0000,2022,03,366.499,Gasoline (all types),US
SETB,0000,2022,03,368.440,Motor fuel,US
SETA04,0000,2022,03,198.632,Car and truck rental,US
SETA02,0000,2022,03,208.216,Used cars and trucks,US
SETA01,0000,2022,03,168.056,New vehicles,US
SETA,0000,2022,03,126.417,New and used motor vehicles,US
SERG02,0000,2022,03,98.116,Recreational books,US
SERG01,0000,2022,03,210.152,Newspapers and magazines,US
SERG,0000,2022,03,276.223,Recreational reading materials,US
SERF03,0000,2022,03,345.041,Fees for lessons or instructions,US
SERF02,0000,2022,03,408.404,Admissions,US
SERF01,0000,2022,03,149.578,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees",US
SERF,0000,2022,03,180.940,Other recreation services,US
SERE03,0000,2022,03,113.171,Music instruments and accessories,US
SERE02,0000,2022,03,98.739,"Sewing machines, fabric and supplies",US
SERE01,0000,2022,03,29.780,Toys,US
SERE,0000,2022,03,34.474,Other recreational goods,US
SERD02,0000,2022,03,127.398,Photographers and photo processing,US
SERD01,0000,2022,03,59.412,Photographic equipment and supplies,US
SERD,0000,2022,03,79.189,Photography,US
SERC02,0000,2022,03,86.446,Sports equipment,US
SERC01,0000,2022,03,175.074,Sports vehicles including bicycles,US
SERC,0000,2022,03,126.733,Sporting goods,US
SERB02,0000,2022,03,293.950,Pet services including veterinary,US
SERB01,0000,2022,03,216.289,Pets and pet products,US
SERB,0000,2022,03,196.819,"Pets, pet products and services",US
SERAS,0000,2022,03,141.159,Video and audio services,US
SERAC,0000,2022,03,35.808,Video and audio products,US
SERA06,0000,2022,03,78.819,Recorded music and music subscriptions,US
SERA05,0000,2022,03,25.002,Audio equipment,US
SERA04,0000,2022,03,65.888,"Video discs and other media, including rental of video",US
SERA03,0000,2022,03,9.529,Other video equipment,US
SERA02,0000,2022,03,537.930,Cable and satellite television service,US
SERA01,0000,2022,03,1.354,Televisions,US
SERA,0000,2022,03,112.236,Video and audio,US
SEMG,0000,2022,03,98.274,Medical equipment and supplies,US
SEMF02,0000,2022,03,98.422,Nonprescription drugs,US
SEMF01,0000,2022,03,532.722,Prescription drugs,US
SEMF,0000,2022,03,126.307,Medicinal drugs,US
SEME,0000,2022,03,187.599,Health insurance,US
SEMD03,0000,2022,03,141.863,Care of invalids and elderly at home,US
SEMD02,0000,2022,03,257.247,Nursing homes and adult day services,US
SEMD01,0000,2022,03,373.307,Hospital services,US
SEMD,0000,2022,03,976.121,Hospital and related services,US
SEMC04,0000,2022,03,257.988,Services by other medical professionals,US
SEMC03,0000,2022,03,196.839,Eyeglasses and eye care,US
SEMC02,0000,2022,03,532.022,Dental services,US
SEMC01,0000,2022,03,409.998,Physicians' services,US
SEMC,0000,2022,03,408.052,Professional services,US
SEHP03,0000,2022,03,195.642,"Moving, storage, freight expense",US
SEHP01,0000,2022,03,201.327,Domestic services,US
SEHN03,0000,2022,03,124.884,Miscellaneous household products,US
SEHN02,0000,2022,03,205.968,Household paper products,US
SEHN01,0000,2022,03,136.873,Household cleaning products,US
SEHN,0000,2022,03,211.063,Housekeeping supplies,US
SEHM02,0000,2022,03,99.991,Outdoor equipment and supplies,US
SEHM01,0000,2022,03,112.130,"Tools, hardware and supplies",US
SEHM,0000,2022,03,103.766,"Tools, hardware, outdoor equipment and supplies",US
SEHL04,0000,2022,03,85.900,Nonelectric cookware and tableware,US
SEHL03,0000,2022,03,49.684,Dishes and flatware,US
SEHL02,0000,2022,03,151.831,Indoor plants and flowers,US
SEHL01,0000,2022,03,42.276,"Clocks, lamps, and decorator items",US
SEHL,0000,2022,03,56.777,Other household equipment and furnishings,US
SEHK02,0000,2022,03,74.079,Other appliances,US
SEHK01,0000,2022,03,107.550,Major appliances,US
SEHK,0000,2022,03,90.029,Appliances,US
SEHJ03,0000,2022,03,85.848,Other furniture,US
SEHJ02,0000,2022,03,107.245,"Living room, kitchen, and dining room furniture",US
SEHJ01,0000,2022,03,147.278,Bedroom furniture,US
SEHJ,0000,2022,03,135.635,Furniture and bedding,US
SEHH03,0000,2022,03,44.231,Other linens,US
SEHH02,0000,2022,03,73.304,Window coverings,US
SEHH01,0000,2022,03,122.387,Floor coverings,US
SEHH,0000,2022,03,60.338,Window and floor coverings and other linens,US
SEHG02,0000,2022,03,540.719,Garbage and trash collection,US
SEHG01,0000,2022,03,621.920,Water and sewerage maintenance,US
SEHG,0000,2022,03,269.621,Water and sewer and trash collection services,US
SEHF02,0000,2022,03,225.679,Utility (piped) gas service,US
SEHF01,0000,2022,03,240.558,Electricity,US
SEHF,0000,2022,03,237.825,Energy services,US
SEHE02,0000,2022,03,475.011,"Propane, kerosene, and firewood",US
SEHE01,0000,2022,03,469.743,Fuel oil,US
SEHE,0000,2022,03,445.388,Fuel oil and other fuels,US
SEHD,0000,2022,03,149.886,Tenants' and household insurance,US
SEHC01,0000,2022,03,354.980,Owners' equivalent rent of primary residence,US
SEHC,0000,2022,03,354.968,Owners' equivalent rent of residences,US
SEHB02,0000,2022,03,380.905,Other lodging away from home including hotels and motels,US
SEHB01,0000,2022,03,592.353,"Housing at school, excluding board",US
SEHB,0000,2022,03,184.463,Lodging away from home,US
SEHA,0000,2022,03,361.083,Rent of primary residence,US
SEGE,0000,2022,03,83.330,Miscellaneous personal goods,US
