client_name,item_name,quarter,consumer_spend
145 WEST 86TH STREET LLC,Housing and utilities,2016-07-01,2056337
145 WEST 86TH STREET LLC,Housing and utilities,2016-04-01,2050422
145 WEST 86TH STREET LLC,Housing and utilities,2016-01-01,2041986
145 WEST 86TH STREET LLC,Housing and utilities,2015-10-01,2035352
145 WEST 86TH STREET LLC,Housing and utilities,2015-07-01,2039677
145 WEST 86TH STREET LLC,Housing and utilities,2015-04-01,2036207
145 WEST 86TH STREET LLC,Housing and utilities,2015-01-01,2047283
145 WEST 86TH STREET LLC,Housing and utilities,2014-10-01,2039362
145 WEST 86TH STREET LLC,Housing and utilities,2014-07-01,2028085
145 WEST 86TH STREET LLC,Housing and utilities,2014-04-01,2038119
145 WEST 86TH STREET LLC,Housing and utilities,2014-01-01,2051671
145 WEST 86TH STREET LLC,Housing and utilities,2013-10-01,2041145
145 WEST 86TH STREET LLC,Housing and utilities,2013-07-01,2027920
145 WEST 86TH STREET LLC,Housing and utilities,2013-04-01,2031788
145 WEST 86TH STREET LLC,Housing and utilities,2013-01-01,2033436
145 WEST 86TH STREET LLC,Housing and utilities,2012-10-01,2018556
145 WEST 86TH STREET LLC,Housing and utilities,2012-07-01,2024501
145 WEST 86TH STREET LLC,Housing and utilities,2012-04-01,2017045
145 WEST 86TH STREET LLC,Housing and utilities,2012-01-01,1998856
145 WEST 86TH STREET LLC,Housing and utilities,2011-10-01,2016832
145 WEST 86TH STREET LLC,Housing and utilities,2011-07-01,2025162
145 WEST 86TH STREET LLC,Housing and utilities,2011-04-01,2016894
145 WEST 86TH STREET LLC,Housing and utilities,2011-01-01,2017667
145 WEST 86TH STREET LLC,Housing and utilities,2010-10-01,2026720
145 WEST 86TH STREET LLC,Housing and utilities,2010-07-01,2018725
145 WEST 86TH STREET LLC,Housing and utilities,2010-04-01,2004937
145 WEST 86TH STREET LLC,Housing and utilities,2010-01-01,1994951
1485 BANCROFT LLC,Other durable goods,2022-01-01,348969
1485 BANCROFT LLC,Other durable goods,2021-10-01,346724
1485 BANCROFT LLC,Other durable goods,2021-07-01,336656
1485 BANCROFT LLC,Other durable goods,2021-04-01,332601
1485 BANCROFT LLC,Other durable goods,2021-01-01,316992
1485 BANCROFT LLC,Other durable goods,2020-10-01,285713
1485 BANCROFT LLC,Other durable goods,2020-07-01,276599
1485 BANCROFT LLC,Other durable goods,2020-04-01,196890
1485 BANCROFT LLC,Other durable goods,2020-01-01,248100
1485 BANCROFT LLC,Other durable goods,2019-10-01,258851
1485 BANCROFT LLC,Other durable goods,2019-07-01,257861
1485 BANCROFT LLC,Other durable goods,2019-04-01,252659
1485 BANCROFT LLC,Other durable goods,2019-01-01,252764
1485 BANCROFT LLC,Other durable goods,2018-10-01,249242
1485 BANCROFT LLC,Other durable goods,2018-07-01,244905
1485 BANCROFT LLC,Other durable goods,2018-04-01,244718
1485 BANCROFT LLC,Other durable goods,2018-01-01,239479
1485 BANCROFT LLC,Other durable goods,2017-10-01,237243
1485 BANCROFT LLC,Other durable goods,2017-07-01,235139
1485 BANCROFT LLC,Other durable goods,2017-04-01,228999
1485 BANCROFT LLC,Other durable goods,2017-01-01,227808
1485 BANCROFT LLC,Other durable goods,2016-10-01,227111
1485 BANCROFT LLC,Other durable goods,2016-07-01,226278
1485 BANCROFT LLC,Other durable goods,2016-04-01,224060
1485 BANCROFT LLC,Other durable goods,2016-01-01,225568
1485 BANCROFT LLC,Other durable goods,2015-10-01,226503
1485 BANCROFT LLC,Other durable goods,2015-07-01,224162
1485 BANCROFT LLC,Other durable goods,2015-04-01,221752
1485 BANCROFT LLC,Other durable goods,2015-01-01,217269
1485 BANCROFT LLC,Other durable goods,2014-10-01,213498
1485 BANCROFT LLC,Other durable goods,2014-07-01,208301
1485 BANCROFT LLC,Other durable goods,2014-04-01,204710
1485 BANCROFT LLC,Other durable goods,2014-01-01,199107
1485 BANCROFT LLC,Other durable goods,2013-10-01,196128
1485 BANCROFT LLC,Other durable goods,2013-07-01,189869
1485 BANCROFT LLC,Other durable goods,2013-04-01,188227
1485 BANCROFT LLC,Other durable goods,2013-01-01,188719
1485 BANCROFT LLC,Other durable goods,2012-10-01,185400
1485 BANCROFT LLC,Other durable goods,2012-07-01,183529
1485 BANCROFT LLC,Other durable goods,2012-04-01,179862
1485 BANCROFT LLC,Other durable goods,2012-01-01,178624
1485 BANCROFT LLC,Other durable goods,2011-10-01,174969
1485 BANCROFT LLC,Other durable goods,2011-07-01,176736
1485 BANCROFT LLC,Other durable goods,2011-04-01,174527
1485 BANCROFT LLC,Other durable goods,2011-01-01,172776
1485 BANCROFT LLC,Other durable goods,2010-10-01,171500
1485 BANCROFT LLC,Other durable goods,2010-07-01,168677
1485 BANCROFT LLC,Other durable goods,2010-04-01,166041
1485 BANCROFT LLC,Other durable goods,2010-01-01,165858
1770 CENTEREACH REALTY LLC,Housing and utilities,2022-01-01,2171075
1770 CENTEREACH REALTY LLC,Housing and utilities,2021-10-01,2152803
1770 CENTEREACH REALTY LLC,Housing and utilities,2021-07-01,2152520
1770 CENTEREACH REALTY LLC,Housing and utilities,2021-04-01,2143924
1770 CENTEREACH REALTY LLC,Housing and utilities,2021-01-01,2142439
1770 CENTEREACH REALTY LLC,Housing and utilities,2020-10-01,2132483
1770 CENTEREACH REALTY LLC,Housing and utilities,2020-07-01,2130740
1770 CENTEREACH REALTY LLC,Housing and utilities,2020-04-01,2128938
1770 CENTEREACH REALTY LLC,Housing and utilities,2020-01-01,2104891
1770 CENTEREACH REALTY LLC,Housing and utilities,2019-10-01,2111835
1770 CENTEREACH REALTY LLC,Housing and utilities,2019-07-01,2105859
1770 CENTEREACH REALTY LLC,Housing and utilities,2019-04-01,2095269
1770 CENTEREACH REALTY LLC,Housing and utilities,2019-01-01,2095944
1770 CENTEREACH REALTY LLC,Housing and utilities,2018-10-01,2096253
1770 CENTEREACH REALTY LLC,Housing and utilities,2018-07-01,2082081
1770 CENTEREACH REALTY LLC,Housing and utilities,2018-04-01,2080192
1770 CENTEREACH REALTY LLC,Housing and utilities,2018-01-01,2071671
1770 CENTEREACH REALTY LLC,Housing and utilities,2017-10-01,2067647
1770 CENTEREACH REALTY LLC,Housing and utilities,2017-07-01,2052707
1770 CENTEREACH REALTY LLC,Housing and utilities,2017-04-01,2054145
1770 CENTEREACH REALTY LLC,Housing and utilities,2017-01-01,2036651
1770 CENTEREACH REALTY LLC,Housing and utilities,2016-10-01,2049002
1770 CENTEREACH REALTY LLC,Housing and utilities,2016-07-01,2056337
1770 CENTEREACH REALTY LLC,Housing and utilities,2016-04-01,2050422
1770 CENTEREACH REALTY LLC,Housing and utilities,2016-01-01,2041986
1770 CENTEREACH REALTY LLC,Housing and utilities,2015-10-01,2035352
1770 CENTEREACH REALTY LLC,Housing and utilities,2015-07-01,2039677
1770 CENTEREACH REALTY LLC,Housing and utilities,2015-04-01,2036207
1770 CENTEREACH REALTY LLC,Housing and utilities,2015-01-01,2047283
1770 CENTEREACH REALTY LLC,Housing and utilities,2014-10-01,2039362
1770 CENTEREACH REALTY LLC,Housing and utilities,2014-07-01,2028085
1770 CENTEREACH REALTY LLC,Housing and utilities,2014-04-01,2038119
1770 CENTEREACH REALTY LLC,Housing and utilities,2014-01-01,2051671
1770 CENTEREACH REALTY LLC,Housing and utilities,2013-10-01,2041145
1770 CENTEREACH REALTY LLC,Housing and utilities,2013-07-01,2027920
1770 CENTEREACH REALTY LLC,Housing and utilities,2013-04-01,2031788
1770 CENTEREACH REALTY LLC,Housing and utilities,2013-01-01,2033436
1770 CENTEREACH REALTY LLC,Housing and utilities,2012-10-01,2018556
1770 CENTEREACH REALTY LLC,Housing and utilities,2012-07-01,2024501
1770 CENTEREACH REALTY LLC,Housing and utilities,2012-04-01,2017045
1770 CENTEREACH REALTY LLC,Housing and utilities,2012-01-01,1998856
1770 CENTEREACH REALTY LLC,Housing and utilities,2011-10-01,2016832
1770 CENTEREACH REALTY LLC,Housing and utilities,2011-07-01,2025162
1770 CENTEREACH REALTY LLC,Housing and utilities,2011-04-01,2016894
1770 CENTEREACH REALTY LLC,Housing and utilities,2011-01-01,2017667
1770 CENTEREACH REALTY LLC,Housing and utilities,2010-10-01,2026720
1770 CENTEREACH REALTY LLC,Housing and utilities,2010-07-01,2018725
1770 CENTEREACH REALTY LLC,Housing and utilities,2010-04-01,2004937
1770 CENTEREACH REALTY LLC,Housing and utilities,2010-01-01,1994951
1G4B LLC,Clothing and footwear,2022-01-01,495170
1G4B LLC,Clothing and footwear,2021-10-01,501415
1G4B LLC,Clothing and footwear,2021-07-01,504261
1G4B LLC,Clothing and footwear,2021-04-01,505161
1G4B LLC,Clothing and footwear,2021-01-01,466189
1G4B LLC,Clothing and footwear,2020-10-01,431760
1G4B LLC,Clothing and footwear,2020-07-01,428578
1G4B LLC,Clothing and footwear,2020-04-01,322805
1G4B LLC,Clothing and footwear,2020-01-01,377524
1G4B LLC,Clothing and footwear,2019-10-01,415107
1G4B LLC,Clothing and footwear,2019-07-01,406536
1G4B LLC,Clothing and footwear,2019-04-01,406087
1G4B LLC,Clothing and footwear,2019-01-01,398751
1G4B LLC,Clothing and footwear,2018-10-01,398963
1G4B LLC,Clothing and footwear,2018-07-01,399861
1G4B LLC,Clothing and footwear,2018-04-01,391766
1G4B LLC,Clothing and footwear,2018-01-01,388983
1G4B LLC,Clothing and footwear,2017-10-01,389648
1G4B LLC,Clothing and footwear,2017-07-01,384320
1G4B LLC,Clothing and footwear,2017-04-01,382758
1G4B LLC,Clothing and footwear,2017-01-01,380169
1G4B LLC,Clothing and footwear,2016-10-01,375443
1G4B LLC,Clothing and footwear,2016-07-01,378935
1G4B LLC,Clothing and footwear,2016-04-01,375388
1G4B LLC,Clothing and footwear,2016-01-01,376615
1G4B LLC,Clothing and footwear,2015-10-01,370586
1G4B LLC,Clothing and footwear,2015-07-01,370164
1G4B LLC,Clothing and footwear,2015-04-01,368060
1G4B LLC,Clothing and footwear,2015-01-01,365231
1G4B LLC,Clothing and footwear,2014-10-01,363707
1G4B LLC,Clothing and footwear,2014-07-01,357726
1G4B LLC,Clothing and footwear,2014-04-01,355562
1G4B LLC,Clothing and footwear,2014-01-01,347440
1G4B LLC,Clothing and footwear,2013-10-01,347041
1G4B LLC,Clothing and footwear,2013-07-01,346052
1G4B LLC,Clothing and footwear,2013-04-01,347746
1G4B LLC,Clothing and footwear,2013-01-01,347607
1G4B LLC,Clothing and footwear,2012-10-01,344160
1G4B LLC,Clothing and footwear,2012-07-01,346931
1G4B LLC,Clothing and footwear,2012-04-01,341757
1G4B LLC,Clothing and footwear,2012-01-01,348030
1G4B LLC,Clothing and footwear,2011-10-01,343776
1G4B LLC,Clothing and footwear,2011-07-01,342350
1G4B LLC,Clothing and footwear,2011-04-01,347258
1G4B LLC,Clothing and footwear,2011-01-01,345058
1G4B LLC,Clothing and footwear,2010-10-01,341927
1G4B LLC,Clothing and footwear,2010-07-01,333427
1G4B LLC,Clothing and footwear,2010-04-01,331631
1G4B LLC,Clothing and footwear,2010-01-01,326835
21 EAST 87TH STREET LLC,Housing and utilities,2022-01-01,2171075
21 EAST 87TH STREET LLC,Housing and utilities,2021-10-01,2152803
21 EAST 87TH STREET LLC,Housing and utilities,2021-07-01,2152520
21 EAST 87TH STREET LLC,Housing and utilities,2021-04-01,2143924
21 EAST 87TH STREET LLC,Housing and utilities,2021-01-01,2142439
21 EAST 87TH STREET LLC,Housing and utilities,2020-10-01,2132483
21 EAST 87TH STREET LLC,Housing and utilities,2020-07-01,2130740
21 EAST 87TH STREET LLC,Housing and utilities,2020-04-01,2128938
21 EAST 87TH STREET LLC,Housing and utilities,2020-01-01,2104891
21 EAST 87TH STREET LLC,Housing and utilities,2019-10-01,2111835
21 EAST 87TH STREET LLC,Housing and utilities,2019-07-01,2105859
21 EAST 87TH STREET LLC,Housing and utilities,2019-04-01,2095269
21 EAST 87TH STREET LLC,Housing and utilities,2019-01-01,2095944
21 EAST 87TH STREET LLC,Housing and utilities,2018-10-01,2096253
21 EAST 87TH STREET LLC,Housing and utilities,2018-07-01,2082081
21 EAST 87TH STREET LLC,Housing and utilities,2018-04-01,2080192
21 EAST 87TH STREET LLC,Housing and utilities,2018-01-01,2071671
21 EAST 87TH STREET LLC,Housing and utilities,2017-10-01,2067647
21 EAST 87TH STREET LLC,Housing and utilities,2017-07-01,2052707
21 EAST 87TH STREET LLC,Housing and utilities,2017-04-01,2054145
21 EAST 87TH STREET LLC,Housing and utilities,2017-01-01,2036651
21 EAST 87TH STREET LLC,Housing and utilities,2016-10-01,2049002
21 EAST 87TH STREET LLC,Housing and utilities,2016-07-01,2056337
21 EAST 87TH STREET LLC,Housing and utilities,2016-04-01,2050422
21 EAST 87TH STREET LLC,Housing and utilities,2016-01-01,2041986
21 EAST 87TH STREET LLC,Housing and utilities,2015-10-01,2035352
21 EAST 87TH STREET LLC,Housing and utilities,2015-07-01,2039677
21 EAST 87TH STREET LLC,Housing and utilities,2015-04-01,2036207
21 EAST 87TH STREET LLC,Housing and utilities,2015-01-01,2047283
21 EAST 87TH STREET LLC,Housing and utilities,2014-10-01,2039362
21 EAST 87TH STREET LLC,Housing and utilities,2014-07-01,2028085
21 EAST 87TH STREET LLC,Housing and utilities,2014-04-01,2038119
21 EAST 87TH STREET LLC,Housing and utilities,2014-01-01,2051671
21 EAST 87TH STREET LLC,Housing and utilities,2013-10-01,2041145
21 EAST 87TH STREET LLC,Housing and utilities,2013-07-01,2027920
21 EAST 87TH STREET LLC,Housing and utilities,2013-04-01,2031788
21 EAST 87TH STREET LLC,Housing and utilities,2013-01-01,2033436
21 EAST 87TH STREET LLC,Housing and utilities,2012-10-01,2018556
21 EAST 87TH STREET LLC,Housing and utilities,2012-07-01,2024501
21 EAST 87TH STREET LLC,Housing and utilities,2012-04-01,2017045
21 EAST 87TH STREET LLC,Housing and utilities,2012-01-01,1998856
21 EAST 87TH STREET LLC,Housing and utilities,2011-10-01,2016832
21 EAST 87TH STREET LLC,Housing and utilities,2011-07-01,2025162
21 EAST 87TH STREET LLC,Housing and utilities,2011-04-01,2016894
21 EAST 87TH STREET LLC,Housing and utilities,2011-01-01,2017667
21 EAST 87TH STREET LLC,Housing and utilities,2010-10-01,2026720
21 EAST 87TH STREET LLC,Housing and utilities,2010-07-01,2018725
21 EAST 87TH STREET LLC,Housing and utilities,2010-04-01,2004937
21 EAST 87TH STREET LLC,Housing and utilities,2010-01-01,1994951
225 CROSSWAYS REALTY LLC,Other services,2022-01-01,1122954
225 CROSSWAYS REALTY LLC,Other services,2021-10-01,1107893
225 CROSSWAYS REALTY LLC,Other services,2021-07-01,1107199
225 CROSSWAYS REALTY LLC,Other services,2021-04-01,1064397
225 CROSSWAYS REALTY LLC,Other services,2021-01-01,1031817
225 CROSSWAYS REALTY LLC,Other services,2020-10-01,1015493
225 CROSSWAYS REALTY LLC,Other services,2020-07-01,986345
225 CROSSWAYS REALTY LLC,Other services,2020-04-01,913366
225 CROSSWAYS REALTY LLC,Other services,2020-01-01,1100668
225 CROSSWAYS REALTY LLC,Other services,2019-10-01,1132570
225 CROSSWAYS REALTY LLC,Other services,2019-07-01,1123874
225 CROSSWAYS REALTY LLC,Other services,2019-04-01,1105081
225 CROSSWAYS REALTY LLC,Other services,2019-01-01,1095725
225 CROSSWAYS REALTY LLC,Other services,2018-10-01,1090586
225 CROSSWAYS REALTY LLC,Other services,2018-07-01,1077854
225 CROSSWAYS REALTY LLC,Other services,2018-04-01,1071347
225 CROSSWAYS REALTY LLC,Other services,2018-01-01,1038203
225 CROSSWAYS REALTY LLC,Other services,2017-10-01,1038901
225 CROSSWAYS REALTY LLC,Other services,2017-07-01,1031713
225 CROSSWAYS REALTY LLC,Other services,2017-04-01,1033811
225 CROSSWAYS REALTY LLC,Other services,2017-01-01,1026010
225 CROSSWAYS REALTY LLC,Other services,2016-10-01,1004128
225 CROSSWAYS REALTY LLC,Other services,2016-07-01,1000537
225 CROSSWAYS REALTY LLC,Other services,2016-04-01,995503
225 CROSSWAYS REALTY LLC,Other services,2016-01-01,987341
225 CROSSWAYS REALTY LLC,Other services,2015-10-01,972992
225 CROSSWAYS REALTY LLC,Other services,2015-07-01,967949
225 CROSSWAYS REALTY LLC,Other services,2015-04-01,962701
225 CROSSWAYS REALTY LLC,Other services,2015-01-01,952709
225 CROSSWAYS REALTY LLC,Other services,2014-10-01,962197
225 CROSSWAYS REALTY LLC,Other services,2014-07-01,947865
225 CROSSWAYS REALTY LLC,Other services,2014-04-01,932136
225 CROSSWAYS REALTY LLC,Other services,2014-01-01,928792
225 CROSSWAYS REALTY LLC,Other services,2013-10-01,918981
225 CROSSWAYS REALTY LLC,Other services,2013-07-01,913396
225 CROSSWAYS REALTY LLC,Other services,2013-04-01,906484
225 CROSSWAYS REALTY LLC,Other services,2013-01-01,899555
225 CROSSWAYS REALTY LLC,Other services,2012-10-01,918589
