item_code,demographics_code,year,value,item_text,demographics_text
HHOPER,LB06,2020,1465,Household operations,Composition of consumer unit
HHOPER,LB07,2020,1465,Household operations,Number of earners
HHOPER,LB09,2020,1465,Household operations,Race of reference person
HHOPER,LB10,2020,1465,Household operations,Hispanic or Latino origin of reference person
HHOPER,LB11,2020,1465,Household operations,Region of residence
HHOPER,LB12,2020,1465,Household operations,Occupation of reference person
HHOPER,LB14,2020,1465,Household operations,Highest education level of any member
HHOPER,LB15,2020,1465,Household operations,Deciles of income before taxes
HHOPER,LB16,2020,1465,Household operations,Generation of reference person
HHOPER,LB17,2020,1465,Household operations,Housing tenure
HHOPER,LB18,2020,1465,Household operations,Type of area
HHOTHXPN,LB01,2020,1118,Other household expenses,Quintiles of income before taxes
HHOTHXPN,LB02,2020,1118,Other household expenses,Income before taxes
HHTXTILE,LB02,2020,116,Household textiles,Income before taxes
HHTXTILE,LB05,2020,116,Household textiles,Size of consumer unit
HHFURNSH,LB07,2020,2346,Household furnishings and equipment,Number of earners
HKPGSUPP,LB04,2020,837,Housekeeping supplies,Age of reference person
HKPGSUPP,LB06,2020,837,Housekeeping supplies,Composition of consumer unit
HKPGSUPP,LB07,2020,837,Housekeeping supplies,Number of earners
HKPGSUPP,LB09,2020,837,Housekeeping supplies,Race of reference person
HKPGSUPP,LB10,2020,837,Housekeeping supplies,Hispanic or Latino origin of reference person
HKPGSUPP,LB11,2020,837,Housekeeping supplies,Region of residence
HKPGSUPP,LB12,2020,837,Housekeeping supplies,Occupation of reference person
HKPGSUPP,LB14,2020,837,Housekeeping supplies,Highest education level of any member
HKPGSUPP,LB15,2020,837,Housekeeping supplies,Deciles of income before taxes
HKPGSUPP,LB16,2020,837,Housekeeping supplies,Generation of reference person
HKPGSUPP,LB17,2020,837,Housekeeping supplies,Housing tenure
HKPGSUPP,LB18,2020,837,Housekeeping supplies,Type of area
HOUSING,LB01,2020,21409,Housing,Quintiles of income before taxes
HOUSING,LB02,2020,21409,Housing,Income before taxes
HOUSING,LB04,2020,21409,Housing,Age of reference person
HOUSING,LB05,2020,21409,Housing,Size of consumer unit
HOUSING,LB06,2020,21409,Housing,Composition of consumer unit
HOUSING,LB07,2020,21409,Housing,Number of earners
HOUSING,LB09,2020,21409,Housing,Race of reference person
HOUSING,LB10,2020,21409,Housing,Hispanic or Latino origin of reference person
HOUSING,LB11,2020,21409,Housing,Region of residence
HOUSING,LB12,2020,21409,Housing,Occupation of reference person
HOUSING,LB14,2020,21409,Housing,Highest education level of any member
HOUSING,LB15,2020,21409,Housing,Deciles of income before taxes
HOUSING,LB16,2020,21409,Housing,Generation of reference person
HOUSING,LB17,2020,21409,Housing,Housing tenure
HKPGSUPP,LB05,2020,837,Housekeeping supplies,Size of consumer unit
HKPGSUPP,LB02,2020,837,Housekeeping supplies,Income before taxes
HHTXTILE,LB06,2020,116,Household textiles,Composition of consumer unit
HKPGSUPP,LB01,2020,837,Housekeeping supplies,Quintiles of income before taxes
HHTXTILE,LB07,2020,116,Household textiles,Number of earners
HHTXTILE,LB09,2020,116,Household textiles,Race of reference person
HHTXTILE,LB10,2020,116,Household textiles,Hispanic or Latino origin of reference person
HHTXTILE,LB11,2020,116,Household textiles,Region of residence
HHTXTILE,LB12,2020,116,Household textiles,Occupation of reference person
HHTXTILE,LB14,2020,116,Household textiles,Highest education level of any member
HHTXTILE,LB15,2020,116,Household textiles,Deciles of income before taxes
HHTXTILE,LB16,2020,116,Household textiles,Generation of reference person
HHTXTILE,LB17,2020,116,Household textiles,Housing tenure
HHTXTILE,LB18,2020,116,Household textiles,Type of area
HKPGOTHR,LB01,2020,536,Other household products,Quintiles of income before taxes
HKPGOTHR,LB02,2020,536,Other household products,Income before taxes
HKPGOTHR,LB04,2020,536,Other household products,Age of reference person
HKPGOTHR,LB05,2020,536,Other household products,Size of consumer unit
HKPGOTHR,LB06,2020,536,Other household products,Composition of consumer unit
HKPGOTHR,LB07,2020,536,Other household products,Number of earners
HKPGOTHR,LB09,2020,536,Other household products,Race of reference person
HKPGOTHR,LB10,2020,536,Other household products,Hispanic or Latino origin of reference person
HKPGOTHR,LB11,2020,536,Other household products,Region of residence
HKPGOTHR,LB12,2020,536,Other household products,Occupation of reference person
HKPGOTHR,LB14,2020,536,Other household products,Highest education level of any member
HKPGOTHR,LB15,2020,536,Other household products,Deciles of income before taxes
HKPGOTHR,LB16,2020,536,Other household products,Generation of reference person
HKPGOTHR,LB17,2020,536,Other household products,Housing tenure
HKPGOTHR,LB18,2020,536,Other household products,Type of area
HHFURNSH,LB09,2020,2346,Household furnishings and equipment,Race of reference person
HHFURNSH,LB06,2020,2346,Household furnishings and equipment,Composition of consumer unit
PETS,LB16,2020,690,Pets,Generation of reference person
MEDSUPPL,LB11,2020,170,Medical supplies,Region of residence
MEDSUPPL,LB14,2020,170,Medical supplies,Highest education level of any member
MEDSUPPL,LB15,2020,170,Medical supplies,Deciles of income before taxes
MEDSUPPL,LB16,2020,170,Medical supplies,Generation of reference person
MEDSUPPL,LB17,2020,170,Medical supplies,Housing tenure
MEDSUPPL,LB18,2020,170,Medical supplies,Type of area
220211,LB01,2020,2353,Property taxes,Quintiles of income before taxes
220211,LB02,2020,2353,Property taxes,Income before taxes
220211,LB04,2020,2353,Property taxes,Age of reference person
220211,LB05,2020,2353,Property taxes,Size of consumer unit
220211,LB06,2020,2353,Property taxes,Composition of consumer unit
220211,LB07,2020,2353,Property taxes,Number of earners
220211,LB09,2020,2353,Property taxes,Race of reference person
220211,LB10,2020,2353,Property taxes,Hispanic or Latino origin of reference person
220211,LB11,2020,2353,Property taxes,Region of residence
220211,LB12,2020,2353,Property taxes,Occupation of reference person
220211,LB14,2020,2353,Property taxes,Highest education level of any member
220211,LB15,2020,2353,Property taxes,Deciles of income before taxes
220211,LB16,2020,2353,Property taxes,Generation of reference person
220211,LB17,2020,2353,Property taxes,Housing tenure
220211,LB18,2020,2353,Property taxes,Type of area
270102,LB01,2020,1253,Cellular phone service,Quintiles of income before taxes
270102,LB02,2020,1253,Cellular phone service,Income before taxes
270102,LB04,2020,1253,Cellular phone service,Age of reference person
270102,LB05,2020,1253,Cellular phone service,Size of consumer unit
270102,LB06,2020,1253,Cellular phone service,Composition of consumer unit
MEDSUPPL,LB12,2020,170,Medical supplies,Occupation of reference person
MEDSUPPL,LB10,2020,170,Medical supplies,Hispanic or Latino origin of reference person
270102,LB09,2020,1253,Cellular phone service,Race of reference person
MEDSUPPL,LB09,2020,170,Medical supplies,Race of reference person
HLTHINSR,LB15,2020,3667,Health insurance,Deciles of income before taxes
HLTHINSR,LB16,2020,3667,Health insurance,Generation of reference person
HLTHINSR,LB17,2020,3667,Health insurance,Housing tenure
HLTHINSR,LB18,2020,3667,Health insurance,Type of area
MEDSERVS,LB01,2020,864,Medical services,Quintiles of income before taxes
MEDSERVS,LB02,2020,864,Medical services,Income before taxes
MEDSERVS,LB04,2020,864,Medical services,Age of reference person
MEDSERVS,LB05,2020,864,Medical services,Size of consumer unit
MEDSERVS,LB06,2020,864,Medical services,Composition of consumer unit
MEDSERVS,LB07,2020,864,Medical services,Number of earners
MEDSERVS,LB09,2020,864,Medical services,Race of reference person
MEDSERVS,LB10,2020,864,Medical services,Hispanic or Latino origin of reference person
MEDSERVS,LB11,2020,864,Medical services,Region of residence
MEDSERVS,LB12,2020,864,Medical services,Occupation of reference person
MEDSERVS,LB14,2020,864,Medical services,Highest education level of any member
MEDSERVS,LB15,2020,864,Medical services,Deciles of income before taxes
MEDSERVS,LB16,2020,864,Medical services,Generation of reference person
MEDSERVS,LB17,2020,864,Medical services,Housing tenure
MEDSERVS,LB18,2020,864,Medical services,Type of area
MEDSUPPL,LB01,2020,170,Medical supplies,Quintiles of income before taxes
MEDSUPPL,LB02,2020,170,Medical supplies,Income before taxes
MEDSUPPL,LB04,2020,170,Medical supplies,Age of reference person
MEDSUPPL,LB05,2020,170,Medical supplies,Size of consumer unit
MEDSUPPL,LB06,2020,170,Medical supplies,Composition of consumer unit
MEDSUPPL,LB07,2020,170,Medical supplies,Number of earners
270102,LB07,2020,1253,Cellular phone service,Number of earners
270102,LB10,2020,1253,Cellular phone service,Hispanic or Latino origin of reference person
HHFURNSH,LB05,2020,2346,Household furnishings and equipment,Size of consumer unit
FLOORCOV,LB09,2020,30,Floor coverings,Race of reference person
FLOORCOV,LB11,2020,30,Floor coverings,Region of residence
FLOORCOV,LB12,2020,30,Floor coverings,Occupation of reference person
FLOORCOV,LB14,2020,30,Floor coverings,Highest education level of any member
FLOORCOV,LB15,2020,30,Floor coverings,Deciles of income before taxes
FLOORCOV,LB16,2020,30,Floor coverings,Generation of reference person
FLOORCOV,LB17,2020,30,Floor coverings,Housing tenure
FLOORCOV,LB18,2020,30,Floor coverings,Type of area
FURNITUR,LB01,2020,534,Furniture,Quintiles of income before taxes
FURNITUR,LB02,2020,534,Furniture,Income before taxes
FURNITUR,LB04,2020,534,Furniture,Age of reference person
FURNITUR,LB05,2020,534,Furniture,Size of consumer unit
FURNITUR,LB06,2020,534,Furniture,Composition of consumer unit
FURNITUR,LB07,2020,534,Furniture,Number of earners
FURNITUR,LB09,2020,534,Furniture,Race of reference person
FURNITUR,LB10,2020,534,Furniture,Hispanic or Latino origin of reference person
FURNITUR,LB11,2020,534,Furniture,Region of residence
FURNITUR,LB12,2020,534,Furniture,Occupation of reference person
FURNITUR,LB14,2020,534,Furniture,Highest education level of any member
FURNITUR,LB15,2020,534,Furniture,Deciles of income before taxes
FURNITUR,LB16,2020,534,Furniture,Generation of reference person
FURNITUR,LB17,2020,534,Furniture,Housing tenure
FURNITUR,LB18,2020,534,Furniture,Type of area
HHFURNSH,LB01,2020,2346,Household furnishings and equipment,Quintiles of income before taxes
HHFURNSH,LB02,2020,2346,Household furnishings and equipment,Income before taxes
HHFURNSH,LB04,2020,2346,Household furnishings and equipment,Age of reference person
FLOORCOV,LB10,2020,30,Floor coverings,Hispanic or Latino origin of reference person
FLOORCOV,LB07,2020,30,Floor coverings,Number of earners
270102,LB11,2020,1253,Cellular phone service,Region of residence
FLOORCOV,LB06,2020,30,Floor coverings,Composition of consumer unit
270102,LB12,2020,1253,Cellular phone service,Occupation of reference person
270102,LB14,2020,1253,Cellular phone service,Highest education level of any member
270102,LB15,2020,1253,Cellular phone service,Deciles of income before taxes
270102,LB16,2020,1253,Cellular phone service,Generation of reference person
270102,LB17,2020,1253,Cellular phone service,Housing tenure
270102,LB18,2020,1253,Cellular phone service,Type of area
ELECTRIC,LB01,2020,1516,Electricity,Quintiles of income before taxes
ELECTRIC,LB02,2020,1516,Electricity,Income before taxes
ELECTRIC,LB04,2020,1516,Electricity,Age of reference person
ELECTRIC,LB05,2020,1516,Electricity,Size of consumer unit
ELECTRIC,LB06,2020,1516,Electricity,Composition of consumer unit
ELECTRIC,LB07,2020,1516,Electricity,Number of earners
ELECTRIC,LB09,2020,1516,Electricity,Race of reference person
ELECTRIC,LB10,2020,1516,Electricity,Hispanic or Latino origin of reference person
ELECTRIC,LB11,2020,1516,Electricity,Region of residence
ELECTRIC,LB12,2020,1516,Electricity,Occupation of reference person
ELECTRIC,LB14,2020,1516,Electricity,Highest education level of any member
ELECTRIC,LB15,2020,1516,Electricity,Deciles of income before taxes
ELECTRIC,LB16,2020,1516,Electricity,Generation of reference person
ELECTRIC,LB17,2020,1516,Electricity,Housing tenure
ELECTRIC,LB18,2020,1516,Electricity,Type of area
FLOORCOV,LB01,2020,30,Floor coverings,Quintiles of income before taxes
FLOORCOV,LB02,2020,30,Floor coverings,Income before taxes
FLOORCOV,LB04,2020,30,Floor coverings,Age of reference person
FLOORCOV,LB05,2020,30,Floor coverings,Size of consumer unit
HOUSING,LB18,2020,21409,Housing,Type of area
LAUNDRY,LB01,2020,170,Laundry and cleaning supplies,Quintiles of income before taxes
LAUNDRY,LB02,2020,170,Laundry and cleaning supplies,Income before taxes
PHONE,LB15,2020,1441,Telephone services,Deciles of income before taxes
PHONE,LB17,2020,1441,Telephone services,Housing tenure
PHONE,LB18,2020,1441,Telephone services,Type of area
POSTAGE,LB01,2020,130,Postage and stationery,Quintiles of income before taxes
POSTAGE,LB02,2020,130,Postage and stationery,Income before taxes
POSTAGE,LB04,2020,130,Postage and stationery,Age of reference person
POSTAGE,LB05,2020,130,Postage and stationery,Size of consumer unit
POSTAGE,LB06,2020,130,Postage and stationery,Composition of consumer unit
POSTAGE,LB07,2020,130,Postage and stationery,Number of earners
POSTAGE,LB09,2020,130,Postage and stationery,Race of reference person
POSTAGE,LB10,2020,130,Postage and stationery,Hispanic or Latino origin of reference person
POSTAGE,LB11,2020,130,Postage and stationery,Region of residence
POSTAGE,LB12,2020,130,Postage and stationery,Occupation of reference person
POSTAGE,LB14,2020,130,Postage and stationery,Highest education level of any member
POSTAGE,LB15,2020,130,Postage and stationery,Deciles of income before taxes
POSTAGE,LB16,2020,130,Postage and stationery,Generation of reference person
POSTAGE,LB17,2020,130,Postage and stationery,Housing tenure
POSTAGE,LB18,2020,130,Postage and stationery,Type of area
RESPHONE,LB01,2020,188,"Residential phone service, VOIP, and phone cards",Quintiles of income before taxes
RESPHONE,LB02,2020,188,"Residential phone service, VOIP, and phone cards",Income before taxes
RESPHONE,LB04,2020,188,"Residential phone service, VOIP, and phone cards",Age of reference person
RESPHONE,LB05,2020,188,"Residential phone service, VOIP, and phone cards",Size of consumer unit
RESPHONE,LB06,2020,188,"Residential phone service, VOIP, and phone cards",Composition of consumer unit
RESPHONE,LB07,2020,188,"Residential phone service, VOIP, and phone cards",Number of earners
RESPHONE,LB09,2020,188,"Residential phone service, VOIP, and phone cards",Race of reference person
RESPHONE,LB10,2020,188,"Residential phone service, VOIP, and phone cards",Hispanic or Latino origin of reference person
PHONE,LB16,2020,1441,Telephone services,Generation of reference person
PHONE,LB14,2020,1441,Telephone services,Highest education level of any member
RESPHONE,LB12,2020,188,"Residential phone service, VOIP, and phone cards",Occupation of reference person
PHONE,LB12,2020,1441,Telephone services,Occupation of reference person
OWNEXPEN,LB18,2020,2158,"Maintenance, rep., ins., oth. exp., owned dwelling",Type of area
OWNMORTG,LB01,2020,2962,Mortgage interest and charges,Quintiles of income before taxes
OWNMORTG,LB02,2020,2962,Mortgage interest and charges,Income before taxes
OWNMORTG,LB04,2020,2962,Mortgage interest and charges,Age of reference person
OWNMORTG,LB05,2020,2962,Mortgage interest and charges,Size of consumer unit
OWNMORTG,LB06,2020,2962,Mortgage interest and charges,Composition of consumer unit
OWNMORTG,LB07,2020,2962,Mortgage interest and charges,Number of earners
OWNMORTG,LB09,2020,2962,Mortgage interest and charges,Race of reference person
OWNMORTG,LB10,2020,2962,Mortgage interest and charges,Hispanic or Latino origin of reference person
OWNMORTG,LB11,2020,2962,Mortgage interest and charges,Region of residence
OWNMORTG,LB12,2020,2962,Mortgage interest and charges,Occupation of reference person
OWNMORTG,LB14,2020,2962,Mortgage interest and charges,Highest education level of any member
OWNMORTG,LB15,2020,2962,Mortgage interest and charges,Deciles of income before taxes
OWNMORTG,LB16,2020,2962,Mortgage interest and charges,Generation of reference person
OWNMORTG,LB17,2020,2962,Mortgage interest and charges,Housing tenure
OWNMORTG,LB18,2020,2962,Mortgage interest and charges,Type of area
PHONE,LB01,2020,1441,Telephone services,Quintiles of income before taxes
PHONE,LB02,2020,1441,Telephone services,Income before taxes
PHONE,LB04,2020,1441,Telephone services,Age of reference person
PHONE,LB05,2020,1441,Telephone services,Size of consumer unit
PHONE,LB06,2020,1441,Telephone services,Composition of consumer unit
PHONE,LB07,2020,1441,Telephone services,Number of earners
PHONE,LB09,2020,1441,Telephone services,Race of reference person
PHONE,LB10,2020,1441,Telephone services,Hispanic or Latino origin of reference person
PHONE,LB11,2020,1441,Telephone services,Region of residence
RESPHONE,LB11,2020,188,"Residential phone service, VOIP, and phone cards",Region of residence
RESPHONE,LB14,2020,188,"Residential phone service, VOIP, and phone cards",Highest education level of any member
LAUNDRY,LB04,2020,170,Laundry and cleaning supplies,Age of reference person
SHELTER,LB12,2020,12604,Shelter,Occupation of reference person
SHELTER,LB15,2020,12604,Shelter,Deciles of income before taxes
SHELTER,LB16,2020,12604,Shelter,Generation of reference person
SHELTER,LB17,2020,12604,Shelter,Housing tenure
SHELTER,LB18,2020,12604,Shelter,Type of area
SMAPPHWR,LB01,2020,135,"Small appliances, misc. housewares",Quintiles of income before taxes
SMAPPHWR,LB02,2020,135,"Small appliances, misc. housewares",Income before taxes
SMAPPHWR,LB04,2020,135,"Small appliances, misc. housewares",Age of reference person
SMAPPHWR,LB05,2020,135,"Small appliances, misc. housewares",Size of consumer unit
SMAPPHWR,LB06,2020,135,"Small appliances, misc. housewares",Composition of consumer unit
SMAPPHWR,LB07,2020,135,"Small appliances, misc. housewares",Number of earners
SMAPPHWR,LB09,2020,135,"Small appliances, misc. housewares",Race of reference person
SMAPPHWR,LB10,2020,135,"Small appliances, misc. housewares",Hispanic or Latino origin of reference person
SMAPPHWR,LB11,2020,135,"Small appliances, misc. housewares",Region of residence
SMAPPHWR,LB12,2020,135,"Small appliances, misc. housewares",Occupation of reference person
SMAPPHWR,LB14,2020,135,"Small appliances, misc. housewares",Highest education level of any member
SMAPPHWR,LB15,2020,135,"Small appliances, misc. housewares",Deciles of income before taxes
SMAPPHWR,LB16,2020,135,"Small appliances, misc. housewares",Generation of reference person
SMAPPHWR,LB17,2020,135,"Small appliances, misc. housewares",Housing tenure
SMAPPHWR,LB18,2020,135,"Small appliances, misc. housewares",Type of area
UTILS,LB01,2020,4158,"Utilities, fuels, and public services",Quintiles of income before taxes
UTILS,LB02,2020,4158,"Utilities, fuels, and public services",Income before taxes
UTILS,LB04,2020,4158,"Utilities, fuels, and public services",Age of reference person
UTILS,LB05,2020,4158,"Utilities, fuels, and public services",Size of consumer unit
UTILS,LB06,2020,4158,"Utilities, fuels, and public services",Composition of consumer unit
UTILS,LB07,2020,4158,"Utilities, fuels, and public services",Number of earners
SHELTER,LB14,2020,12604,Shelter,Highest education level of any member
SHELTER,LB11,2020,12604,Shelter,Region of residence
RESPHONE,LB15,2020,188,"Residential phone service, VOIP, and phone cards",Deciles of income before taxes
SHELTER,LB10,2020,12604,Shelter,Hispanic or Latino origin of reference person
RESPHONE,LB16,2020,188,"Residential phone service, VOIP, and phone cards",Generation of reference person
RESPHONE,LB17,2020,188,"Residential phone service, VOIP, and phone cards",Housing tenure
RESPHONE,LB18,2020,188,"Residential phone service, VOIP, and phone cards",Type of area
RNTDWELL,LB01,2020,4408,Rented dwellings,Quintiles of income before taxes
RNTDWELL,LB02,2020,4408,Rented dwellings,Income before taxes
RNTDWELL,LB04,2020,4408,Rented dwellings,Age of reference person
RNTDWELL,LB05,2020,4408,Rented dwellings,Size of consumer unit
RNTDWELL,LB06,2020,4408,Rented dwellings,Composition of consumer unit
RNTDWELL,LB07,2020,4408,Rented dwellings,Number of earners
RNTDWELL,LB09,2020,4408,Rented dwellings,Race of reference person
RNTDWELL,LB10,2020,4408,Rented dwellings,Hispanic or Latino origin of reference person
RNTDWELL,LB11,2020,4408,Rented dwellings,Region of residence
RNTDWELL,LB12,2020,4408,Rented dwellings,Occupation of reference person
RNTDWELL,LB14,2020,4408,Rented dwellings,Highest education level of any member
RNTDWELL,LB15,2020,4408,Rented dwellings,Deciles of income before taxes
RNTDWELL,LB16,2020,4408,Rented dwellings,Generation of reference person
RNTDWELL,LB17,2020,4408,Rented dwellings,Housing tenure
RNTDWELL,LB18,2020,4408,Rented dwellings,Type of area
SHELTER,LB01,2020,12604,Shelter,Quintiles of income before taxes
SHELTER,LB02,2020,12604,Shelter,Income before taxes
SHELTER,LB04,2020,12604,Shelter,Age of reference person
SHELTER,LB05,2020,12604,Shelter,Size of consumer unit
SHELTER,LB06,2020,12604,Shelter,Composition of consumer unit
SHELTER,LB07,2020,12604,Shelter,Number of earners
SHELTER,LB09,2020,12604,Shelter,Race of reference person
OWNEXPEN,LB17,2020,2158,"Maintenance, rep., ins., oth. exp., owned dwelling",Housing tenure
OWNEXPEN,LB16,2020,2158,"Maintenance, rep., ins., oth. exp., owned dwelling",Generation of reference person
OWNEXPEN,LB15,2020,2158,"Maintenance, rep., ins., oth. exp., owned dwelling",Deciles of income before taxes
MISCHHEQ,LB01,2020,1178,Miscellaneous household equipment,Quintiles of income before taxes
MISCHHEQ,LB04,2020,1178,Miscellaneous household equipment,Age of reference person
MISCHHEQ,LB05,2020,1178,Miscellaneous household equipment,Size of consumer unit
MISCHHEQ,LB06,2020,1178,Miscellaneous household equipment,Composition of consumer unit
MISCHHEQ,LB07,2020,1178,Miscellaneous household equipment,Number of earners
MISCHHEQ,LB09,2020,1178,Miscellaneous household equipment,Race of reference person
MISCHHEQ,LB10,2020,1178,Miscellaneous household equipment,Hispanic or Latino origin of reference person
MISCHHEQ,LB11,2020,1178,Miscellaneous household equipment,Region of residence
MISCHHEQ,LB12,2020,1178,Miscellaneous household equipment,Occupation of reference person
MISCHHEQ,LB14,2020,1178,Miscellaneous household equipment,Highest education level of any member
MISCHHEQ,LB15,2020,1178,Miscellaneous household equipment,Deciles of income before taxes
MISCHHEQ,LB16,2020,1178,Miscellaneous household equipment,Generation of reference person
MISCHHEQ,LB17,2020,1178,Miscellaneous household equipment,Housing tenure
MISCHHEQ,LB18,2020,1178,Miscellaneous household equipment,Type of area
NATRLGAS,LB01,2020,414,Natural gas,Quintiles of income before taxes
NATRLGAS,LB02,2020,414,Natural gas,Income before taxes
NATRLGAS,LB04,2020,414,Natural gas,Age of reference person
NATRLGAS,LB05,2020,414,Natural gas,Size of consumer unit
NATRLGAS,LB06,2020,414,Natural gas,Composition of consumer unit
NATRLGAS,LB07,2020,414,Natural gas,Number of earners
NATRLGAS,LB09,2020,414,Natural gas,Race of reference person
NATRLGAS,LB10,2020,414,Natural gas,Hispanic or Latino origin of reference person
NATRLGAS,LB11,2020,414,Natural gas,Region of residence
NATRLGAS,LB12,2020,414,Natural gas,Occupation of reference person
NATRLGAS,LB14,2020,414,Natural gas,Highest education level of any member
NATRLGAS,LB15,2020,414,Natural gas,Deciles of income before taxes
MISCHHEQ,LB02,2020,1178,Miscellaneous household equipment,Income before taxes
MAJAPPL,LB18,2020,354,Major appliances,Type of area
OWNEXPEN,LB14,2020,2158,"Maintenance, rep., ins., oth. exp., owned dwelling",Highest education level of any member
MAJAPPL,LB17,2020,354,Major appliances,Housing tenure
LAUNDRY,LB05,2020,170,Laundry and cleaning supplies,Size of consumer unit
LAUNDRY,LB06,2020,170,Laundry and cleaning supplies,Composition of consumer unit
LAUNDRY,LB07,2020,170,Laundry and cleaning supplies,Number of earners
LAUNDRY,LB09,2020,170,Laundry and cleaning supplies,Race of reference person
LAUNDRY,LB10,2020,170,Laundry and cleaning supplies,Hispanic or Latino origin of reference person
LAUNDRY,LB11,2020,170,Laundry and cleaning supplies,Region of residence
LAUNDRY,LB12,2020,170,Laundry and cleaning supplies,Occupation of reference person
LAUNDRY,LB14,2020,170,Laundry and cleaning supplies,Highest education level of any member
LAUNDRY,LB15,2020,170,Laundry and cleaning supplies,Deciles of income before taxes
LAUNDRY,LB16,2020,170,Laundry and cleaning supplies,Generation of reference person
LAUNDRY,LB17,2020,170,Laundry and cleaning supplies,Housing tenure
LAUNDRY,LB18,2020,170,Laundry and cleaning supplies,Type of area
MAJAPPL,LB01,2020,354,Major appliances,Quintiles of income before taxes
MAJAPPL,LB02,2020,354,Major appliances,Income before taxes
MAJAPPL,LB04,2020,354,Major appliances,Age of reference person
MAJAPPL,LB05,2020,354,Major appliances,Size of consumer unit
MAJAPPL,LB06,2020,354,Major appliances,Composition of consumer unit
MAJAPPL,LB07,2020,354,Major appliances,Number of earners
MAJAPPL,LB09,2020,354,Major appliances,Race of reference person
MAJAPPL,LB10,2020,354,Major appliances,Hispanic or Latino origin of reference person
MAJAPPL,LB11,2020,354,Major appliances,Region of residence
MAJAPPL,LB12,2020,354,Major appliances,Occupation of reference person
MAJAPPL,LB14,2020,354,Major appliances,Highest education level of any member
MAJAPPL,LB15,2020,354,Major appliances,Deciles of income before taxes
MAJAPPL,LB16,2020,354,Major appliances,Generation of reference person
NATRLGAS,LB16,2020,414,Natural gas,Generation of reference person
NATRLGAS,LB17,2020,414,Natural gas,Housing tenure
NATRLGAS,LB18,2020,414,Natural gas,Type of area
OTHLODGE,LB01,2020,722,Other lodging,Quintiles of income before taxes
OWNDWELL,LB01,2020,7473,Owned dwellings,Quintiles of income before taxes
OWNDWELL,LB02,2020,7473,Owned dwellings,Income before taxes
OWNDWELL,LB04,2020,7473,Owned dwellings,Age of reference person
OWNDWELL,LB05,2020,7473,Owned dwellings,Size of consumer unit
OWNDWELL,LB06,2020,7473,Owned dwellings,Composition of consumer unit
OWNDWELL,LB07,2020,7473,Owned dwellings,Number of earners
OWNDWELL,LB09,2020,7473,Owned dwellings,Race of reference person
