payment_month,physician_type,state_code,total_amount
2015-02-01,Doctor of Dentistry,DE,1211.57
2015-02-01,Doctor of Dentistry,FL,532684.8200000001
2015-02-01,Doctor of Dentistry,GA,232137.13
2015-02-01,Doctor of Dentistry,HI,4382.18
2015-02-01,Doctor of Dentistry,IA,36852.48
2015-02-01,Doctor of Dentistry,ID,45267.89
2015-02-01,Doctor of Dentistry,IL,160455.2
2015-02-01,Doctor of Dentistry,IN,28254.11
2015-02-01,Doctor of Dentistry,KS,36050.68
2015-02-01,Doctor of Dentistry,KY,59608.68
2015-02-01,Doctor of Dentistry,LA,44691.29
2015-02-01,Doctor of Dentistry,MA,150326.71
2015-02-01,Doctor of Dentistry,MD,42982.11
2015-02-01,Doctor of Dentistry,ME,2499.48
2015-02-01,Doctor of Dentistry,MI,160231.85
2015-02-01,Doctor of Dentistry,MN,102123.2
2015-02-01,Doctor of Dentistry,MO,55701.91
2015-02-01,Doctor of Dentistry,MS,17751.71
2015-02-01,Doctor of Dentistry,MT,5168.57
2015-02-01,Doctor of Dentistry,NC,118638.68
2015-02-01,Doctor of Dentistry,ND,11580.13
2015-02-01,Doctor of Dentistry,NE,26502.94
2015-02-01,Doctor of Dentistry,NH,8398.5
2015-02-01,Doctor of Dentistry,NJ,105551.18000000001
2015-02-01,Doctor of Dentistry,NM,67342.25
2015-02-01,Doctor of Dentistry,NV,32041.94
2015-02-01,Doctor of Dentistry,NY,377046.19
2015-02-01,Doctor of Dentistry,OH,94042.08
2015-02-01,Doctor of Dentistry,OK,21314.29
2015-02-01,Doctor of Dentistry,OR,108037.12
2015-02-01,Doctor of Dentistry,PA,110596.5
2015-02-01,Doctor of Dentistry,PR,4073.62
2015-02-01,Doctor of Dentistry,RI,10182.99
2015-02-01,Doctor of Dentistry,SC,91119.2
2015-02-01,Doctor of Dentistry,SD,6585.0199999999995
2015-02-01,Doctor of Dentistry,TN,94502.51
2015-02-01,Doctor of Dentistry,TX,297295.61
2015-02-01,Doctor of Dentistry,US,7869769.18
2015-02-01,Doctor of Dentistry,UT,92234.0
2015-02-01,Doctor of Dentistry,VA,346683.72
2015-02-01,Doctor of Dentistry,VT,2941.42
2015-02-01,Doctor of Dentistry,WA,1181777.95
2015-02-01,Doctor of Dentistry,WI,124878.06
2015-02-01,Doctor of Dentistry,WV,23886.9
2015-02-01,Doctor of Dentistry,WY,4818.4800000000005
2015-03-01,Doctor of Dentistry,AA,18.21
2015-03-01,Doctor of Dentistry,AE,133.92000000000002
2015-03-01,Doctor of Dentistry,AK,4387.39
2015-03-01,Doctor of Dentistry,AL,59472.78
2015-03-01,Doctor of Dentistry,AR,22171.2
2015-03-01,Doctor of Dentistry,AZ,194849.22
2015-03-01,Doctor of Dentistry,CA,854215.75
2015-03-01,Doctor of Dentistry,CO,146014.46
2015-03-01,Doctor of Dentistry,CT,138712.7
2015-03-01,Doctor of Dentistry,DC,7984.39
2015-03-01,Doctor of Dentistry,DE,3835.67
2015-03-01,Doctor of Dentistry,FL,452736.58
2015-03-01,Doctor of Dentistry,GA,234906.18
2015-03-01,Doctor of Dentistry,HI,9008.24
2015-03-01,Doctor of Dentistry,IA,28729.51
2015-03-01,Doctor of Dentistry,ID,36589.45
2015-03-01,Doctor of Dentistry,IL,301472.58
2015-03-01,Doctor of Dentistry,IN,71930.54
2015-03-01,Doctor of Dentistry,KS,41632.98
2015-03-01,Doctor of Dentistry,KY,49131.16
2015-03-01,Doctor of Dentistry,LA,136873.07
2015-03-01,Doctor of Dentistry,MA,158039.66
2015-03-01,Doctor of Dentistry,MD,84104.25
2015-03-01,Doctor of Dentistry,ME,9025.21
2015-03-01,Doctor of Dentistry,MI,427156.04
2015-03-01,Doctor of Dentistry,MN,124738.75
2015-03-01,Doctor of Dentistry,MO,96279.46
2015-03-01,Doctor of Dentistry,MS,18746.05
2015-03-01,Doctor of Dentistry,MT,4328.79
2015-03-01,Doctor of Dentistry,NC,180442.13
2015-03-01,Doctor of Dentistry,ND,8859.73
2015-03-01,Doctor of Dentistry,NE,26246.239999999998
2015-03-01,Doctor of Dentistry,NH,14007.38
2015-03-01,Doctor of Dentistry,NJ,171319.87
2015-03-01,Doctor of Dentistry,NM,11465.699999999999
2015-03-01,Doctor of Dentistry,NV,30178.0
2015-03-01,Doctor of Dentistry,NY,542262.32
2015-03-01,Doctor of Dentistry,OH,126469.52
2015-03-01,Doctor of Dentistry,OK,26818.12
2015-03-01,Doctor of Dentistry,OR,40565.19
2015-03-01,Doctor of Dentistry,PA,192248.24
2015-03-01,Doctor of Dentistry,PR,3992.57
2015-03-01,Doctor of Dentistry,RI,3166.5
2015-03-01,Doctor of Dentistry,SC,79673.48
2015-03-01,Doctor of Dentistry,SD,9585.34
2015-03-01,Doctor of Dentistry,TN,75364.16
2015-03-01,Doctor of Dentistry,TX,355022.74
2015-03-01,Doctor of Dentistry,US,6020913.99
2015-03-01,Doctor of Dentistry,UT,59691.96
2015-03-01,Doctor of Dentistry,VA,83308.9
2015-03-01,Doctor of Dentistry,VT,5377.95
2015-03-01,Doctor of Dentistry,WA,147938.56
2015-03-01,Doctor of Dentistry,WI,89783.49
2015-03-01,Doctor of Dentistry,WV,15723.34
2015-03-01,Doctor of Dentistry,WY,4178.37
2015-04-01,Doctor of Dentistry,AE,40.68
2015-04-01,Doctor of Dentistry,AK,6274.57
2015-04-01,Doctor of Dentistry,AL,124586.25
2015-04-01,Doctor of Dentistry,AP,1012.08
2015-04-01,Doctor of Dentistry,AR,37659.52
2015-04-01,Doctor of Dentistry,AZ,176885.92
2015-04-01,Doctor of Dentistry,CA,1204530.95
2015-04-01,Doctor of Dentistry,CO,119981.31
2015-04-01,Doctor of Dentistry,CT,137114.28
2015-04-01,Doctor of Dentistry,DC,99721.87
2015-04-01,Doctor of Dentistry,DE,5225.05
2015-04-01,Doctor of Dentistry,FL,413677.31
2015-04-01,Doctor of Dentistry,GA,262182.74
2015-04-01,Doctor of Dentistry,HI,34351.89
2015-04-01,Doctor of Dentistry,IA,34161.45
2015-04-01,Doctor of Dentistry,ID,11554.62
2015-04-01,Doctor of Dentistry,IL,264237.53
2015-04-01,Doctor of Dentistry,IN,39599.39
2015-04-01,Doctor of Dentistry,KS,40591.54
2015-04-01,Doctor of Dentistry,KY,43925.46
2015-04-01,Doctor of Dentistry,LA,93609.4
2015-04-01,Doctor of Dentistry,MA,170590.67
2015-04-01,Doctor of Dentistry,MD,70244.7
2015-04-01,Doctor of Dentistry,ME,4093.23
2015-04-01,Doctor of Dentistry,MI,187487.75
2015-04-01,Doctor of Dentistry,MN,68110.24
2015-04-01,Doctor of Dentistry,MO,63402.08
2015-04-01,Doctor of Dentistry,MS,6044.54
2015-04-01,Doctor of Dentistry,MT,3574.6
2015-04-01,Doctor of Dentistry,NC,229584.91
2015-04-01,Doctor of Dentistry,ND,988.35
2015-04-01,Doctor of Dentistry,NE,6321.29
2015-04-01,Doctor of Dentistry,NH,16645.44
2015-04-01,Doctor of Dentistry,NJ,158205.0
2015-04-01,Doctor of Dentistry,NM,10311.31
2015-04-01,Doctor of Dentistry,NV,36940.81
2015-04-01,Doctor of Dentistry,NY,460400.53
2015-04-01,Doctor of Dentistry,OH,220940.61
2015-04-01,Doctor of Dentistry,OK,23274.47
2015-04-01,Doctor of Dentistry,OR,151719.37
2015-04-01,Doctor of Dentistry,PA,204076.85
2015-04-01,Doctor of Dentistry,PR,1841.01
2015-04-01,Doctor of Dentistry,PW,300.0
2015-04-01,Doctor of Dentistry,RI,10974.03
2015-04-01,Doctor of Dentistry,SC,103495.75
2015-04-01,Doctor of Dentistry,SD,2179.43
2015-04-01,Doctor of Dentistry,TN,78487.23
2015-04-01,Doctor of Dentistry,TX,414268.71
2015-04-01,Doctor of Dentistry,US,6280900.35
2015-04-01,Doctor of Dentistry,UT,129736.73
2015-04-01,Doctor of Dentistry,VA,71319.96
2015-04-01,Doctor of Dentistry,VT,220.37
2015-04-01,Doctor of Dentistry,WA,130152.81999999999
2015-04-01,Doctor of Dentistry,WI,63329.63
2015-04-01,Doctor of Dentistry,WV,26622.59
2015-04-01,Doctor of Dentistry,WY,4091.5299999999997
2015-05-01,Doctor of Dentistry,AE,30.0
2015-05-01,Doctor of Dentistry,AK,2979.62
2015-05-01,Doctor of Dentistry,AL,44327.01
2015-05-01,Doctor of Dentistry,AP,10.8
2015-05-01,Doctor of Dentistry,AR,29589.52
2015-05-01,Doctor of Dentistry,AZ,184797.55
2015-05-01,Doctor of Dentistry,CA,2119388.39
2015-05-01,Doctor of Dentistry,CO,81930.32
2015-05-01,Doctor of Dentistry,CT,59218.44
2015-05-01,Doctor of Dentistry,DC,14535.76
2015-05-01,Doctor of Dentistry,DE,2303.63
2015-05-01,Doctor of Dentistry,FL,542338.59
2015-05-01,Doctor of Dentistry,GA,248010.5
2015-05-01,Doctor of Dentistry,GU,47.44
2015-05-01,Doctor of Dentistry,HI,7478.4
2015-05-01,Doctor of Dentistry,IA,44804.4
2015-05-01,Doctor of Dentistry,ID,12226.23
2015-05-01,Doctor of Dentistry,IL,213896.99
2015-05-01,Doctor of Dentistry,IN,35819.95
2015-05-01,Doctor of Dentistry,KS,26556.4
2015-05-01,Doctor of Dentistry,KY,44341.78
2015-05-01,Doctor of Dentistry,LA,34821.09
2015-05-01,Doctor of Dentistry,MA,197236.54
2015-05-01,Doctor of Dentistry,MD,50567.26
2015-05-01,Doctor of Dentistry,ME,5387.81
2015-05-01,Doctor of Dentistry,MI,219437.65
2015-05-01,Doctor of Dentistry,MN,74145.63
2015-05-01,Doctor of Dentistry,MO,75647.36
2015-05-01,Doctor of Dentistry,MS,5134.31
2015-05-01,Doctor of Dentistry,MT,7088.09
2015-05-01,Doctor of Dentistry,NC,201721.53
2015-05-01,Doctor of Dentistry,ND,4697.1
2015-05-01,Doctor of Dentistry,NE,20282.66
2015-05-01,Doctor of Dentistry,NH,8768.32
2015-05-01,Doctor of Dentistry,NJ,228462.28
2015-05-01,Doctor of Dentistry,NM,5760.5599999999995
2015-05-01,Doctor of Dentistry,NV,40434.41
2015-05-01,Doctor of Dentistry,NY,625688.35
2015-05-01,Doctor of Dentistry,OH,100847.55
2015-05-01,Doctor of Dentistry,OK,18813.15
2015-05-01,Doctor of Dentistry,OR,54493.33
2015-05-01,Doctor of Dentistry,PA,168543.98
2015-05-01,Doctor of Dentistry,PR,4783.43
2015-05-01,Doctor of Dentistry,RI,4156.89
2015-05-01,Doctor of Dentistry,SC,87142.49
2015-05-01,Doctor of Dentistry,SD,2892.29
2015-05-01,Doctor of Dentistry,TN,72716.84
2015-05-01,Doctor of Dentistry,TX,286511.32
2015-05-01,Doctor of Dentistry,US,7401055.970000001
2015-05-01,Doctor of Dentistry,UT,73861.36
2015-05-01,Doctor of Dentistry,VA,99594.04000000001
2015-05-01,Doctor of Dentistry,VT,109.15
2015-05-01,Doctor of Dentistry,WA,828223.24
2015-05-01,Doctor of Dentistry,WI,49553.12
2015-05-01,Doctor of Dentistry,WV,28365.29
2015-05-01,Doctor of Dentistry,WY,535.8299999999999
2015-06-01,Doctor of Dentistry,AK,3721.76
2015-06-01,Doctor of Dentistry,AL,27497.34
2015-06-01,Doctor of Dentistry,AR,16944.13
2015-06-01,Doctor of Dentistry,AZ,155432.01
2015-06-01,Doctor of Dentistry,CA,713042.08
2015-06-01,Doctor of Dentistry,CO,90571.9
2015-06-01,Doctor of Dentistry,CT,85788.01
2015-06-01,Doctor of Dentistry,DC,4089.06
2015-06-01,Doctor of Dentistry,DE,2104.55
2015-06-01,Doctor of Dentistry,FL,257519.32
2015-06-01,Doctor of Dentistry,GA,120033.2
2015-06-01,Doctor of Dentistry,HI,16575.48
2015-06-01,Doctor of Dentistry,IA,19718.43
2015-06-01,Doctor of Dentistry,ID,18768.35
2015-06-01,Doctor of Dentistry,IL,168744.74
2015-06-01,Doctor of Dentistry,IN,31590.23
2015-06-01,Doctor of Dentistry,KS,19051.079999999998
2015-06-01,Doctor of Dentistry,KY,36748.35
2015-06-01,Doctor of Dentistry,LA,58732.79
2015-06-01,Doctor of Dentistry,MA,165759.18
2015-06-01,Doctor of Dentistry,MD,65572.97
2015-06-01,Doctor of Dentistry,ME,6777.22
2015-06-01,Doctor of Dentistry,MI,165880.98
2015-06-01,Doctor of Dentistry,MN,49257.659999999996
2015-06-01,Doctor of Dentistry,MO,99151.81
2015-06-01,Doctor of Dentistry,MS,15953.42
2015-06-01,Doctor of Dentistry,MT,2193.14
2015-06-01,Doctor of Dentistry,NC,174419.49
2015-06-01,Doctor of Dentistry,ND,8677.68
2015-06-01,Doctor of Dentistry,NE,23914.3
2015-06-01,Doctor of Dentistry,NH,11175.09
2015-06-01,Doctor of Dentistry,NJ,124732.14
2015-06-01,Doctor of Dentistry,NM,3697.34
2015-06-01,Doctor of Dentistry,NV,14941.710000000001
2015-06-01,Doctor of Dentistry,NY,598838.83
2015-06-01,Doctor of Dentistry,OH,85119.77
2015-06-01,Doctor of Dentistry,OK,14998.31
2015-06-01,Doctor of Dentistry,OR,42678.13
2015-06-01,Doctor of Dentistry,PA,162242.01
2015-06-01,Doctor of Dentistry,PR,3051.47
2015-06-01,Doctor of Dentistry,RI,17580.329999999998
2015-06-01,Doctor of Dentistry,SC,110411.08
2015-06-01,Doctor of Dentistry,SD,1512.04
2015-06-01,Doctor of Dentistry,TN,45271.18
2015-06-01,Doctor of Dentistry,TX,358038.8
2015-06-01,Doctor of Dentistry,US,4483394.89
2015-06-01,Doctor of Dentistry,UT,35962.06
2015-06-01,Doctor of Dentistry,VA,64415.0
2015-06-01,Doctor of Dentistry,VT,3252.5099999999998
2015-06-01,Doctor of Dentistry,WA,106848.86
2015-06-01,Doctor of Dentistry,WI,40089.3
2015-06-01,Doctor of Dentistry,WV,13905.27
2015-06-01,Doctor of Dentistry,WY,403.0
2015-07-01,Doctor of Dentistry,AE,115.05
2015-07-01,Doctor of Dentistry,AK,875.14
2015-07-01,Doctor of Dentistry,AL,25418.96
2015-07-01,Doctor of Dentistry,AP,10.0
2015-07-01,Doctor of Dentistry,AR,12895.27
2015-07-01,Doctor of Dentistry,AZ,98335.08
2015-07-01,Doctor of Dentistry,CA,833367.12
2015-07-01,Doctor of Dentistry,CO,71160.68
2015-07-01,Doctor of Dentistry,CT,81401.26
2015-07-01,Doctor of Dentistry,DC,15865.3
2015-07-01,Doctor of Dentistry,DE,3348.08
2015-07-01,Doctor of Dentistry,FL,384492.63
2015-07-01,Doctor of Dentistry,GA,152202.3
2015-07-01,Doctor of Dentistry,GU,30.0
2015-07-01,Doctor of Dentistry,HI,10917.5
2015-07-01,Doctor of Dentistry,IA,69503.1
2015-07-01,Doctor of Dentistry,ID,8302.119999999999
2015-07-01,Doctor of Dentistry,IL,131046.62
2015-07-01,Doctor of Dentistry,IN,23125.05
2015-07-01,Doctor of Dentistry,KS,16927.42
2015-07-01,Doctor of Dentistry,KY,25660.95
2015-07-01,Doctor of Dentistry,LA,78695.05
2015-07-01,Doctor of Dentistry,MA,125508.06
2015-07-01,Doctor of Dentistry,MD,97341.8
2015-07-01,Doctor of Dentistry,ME,2185.27
2015-07-01,Doctor of Dentistry,MI,177809.77
2015-07-01,Doctor of Dentistry,MN,35910.66
2015-07-01,Doctor of Dentistry,MO,65412.94
2015-07-01,Doctor of Dentistry,MS,23299.01
2015-07-01,Doctor of Dentistry,MT,3876.96
2015-07-01,Doctor of Dentistry,NC,175323.32
2015-07-01,Doctor of Dentistry,ND,3437.66
2015-07-01,Doctor of Dentistry,NE,31115.01
2015-07-01,Doctor of Dentistry,NH,8360.05
2015-07-01,Doctor of Dentistry,NJ,92164.11
2015-07-01,Doctor of Dentistry,NM,3705.79
2015-07-01,Doctor of Dentistry,NV,10457.43
2015-07-01,Doctor of Dentistry,NY,477495.96
2015-07-01,Doctor of Dentistry,OH,94095.05
2015-07-01,Doctor of Dentistry,OK,21717.61
2015-07-01,Doctor of Dentistry,OR,126170.81999999999
2015-07-01,Doctor of Dentistry,PA,138825.63999999998
2015-07-01,Doctor of Dentistry,PR,908.46
2015-07-01,Doctor of Dentistry,RI,1619.81
2015-07-01,Doctor of Dentistry,SC,49149.91
2015-07-01,Doctor of Dentistry,SD,1651.04
2015-07-01,Doctor of Dentistry,TN,41838.98
2015-07-01,Doctor of Dentistry,TX,255215.24
2015-07-01,Doctor of Dentistry,US,4389878.01
2015-07-01,Doctor of Dentistry,UT,30702.74
2015-07-01,Doctor of Dentistry,VA,49550.96
2015-07-01,Doctor of Dentistry,VT,1405.75
2015-07-01,Doctor of Dentistry,WA,98924.46
2015-07-01,Doctor of Dentistry,WI,63134.15
2015-07-01,Doctor of Dentistry,WV,37480.83
2015-07-01,Doctor of Dentistry,WY,388.08
2015-08-01,Doctor of Dentistry,AE,25.86
2015-08-01,Doctor of Dentistry,AK,1769.8600000000001
2015-08-01,Doctor of Dentistry,AL,26040.03
2015-08-01,Doctor of Dentistry,AP,213.55
2015-08-01,Doctor of Dentistry,AR,21349.83
2015-08-01,Doctor of Dentistry,AZ,134482.6
2015-08-01,Doctor of Dentistry,CA,2009993.75
2015-08-01,Doctor of Dentistry,CO,88114.2
2015-08-01,Doctor of Dentistry,CT,70197.19
2015-08-01,Doctor of Dentistry,DC,10415.65
2015-08-01,Doctor of Dentistry,DE,2852.25
2015-08-01,Doctor of Dentistry,FL,601928.77
2015-08-01,Doctor of Dentistry,GA,89612.95
2015-08-01,Doctor of Dentistry,HI,8377.07
2015-08-01,Doctor of Dentistry,IA,27118.56
2015-08-01,Doctor of Dentistry,ID,14505.75
2015-08-01,Doctor of Dentistry,IL,202866.33
2015-08-01,Doctor of Dentistry,IN,24358.09
2015-08-01,Doctor of Dentistry,KS,33766.86
2015-08-01,Doctor of Dentistry,KY,40037.91
2015-08-01,Doctor of Dentistry,LA,33844.23
2015-08-01,Doctor of Dentistry,MA,148156.88999999998
2015-08-01,Doctor of Dentistry,MD,48815.87
2015-08-01,Doctor of Dentistry,ME,3665.44
2015-08-01,Doctor of Dentistry,MI,318597.83
2015-08-01,Doctor of Dentistry,MN,61181.950000000004
2015-08-01,Doctor of Dentistry,MO,55015.729999999996
2015-08-01,Doctor of Dentistry,MS,24117.72
2015-08-01,Doctor of Dentistry,MT,2794.0
2015-08-01,Doctor of Dentistry,NC,196955.14
2015-08-01,Doctor of Dentistry,ND,1411.27
2015-08-01,Doctor of Dentistry,NE,156491.12
2015-08-01,Doctor of Dentistry,NH,7451.55
2015-08-01,Doctor of Dentistry,NJ,193686.61
2015-08-01,Doctor of Dentistry,NM,16682.52
2015-08-01,Doctor of Dentistry,NV,17878.87
2015-08-01,Doctor of Dentistry,NY,318044.54
2015-08-01,Doctor of Dentistry,OH,79419.05
2015-08-01,Doctor of Dentistry,OK,20380.86
2015-08-01,Doctor of Dentistry,OR,36277.47
2015-08-01,Doctor of Dentistry,PA,198916.08
2015-08-01,Doctor of Dentistry,PR,1963.1000000000001
2015-08-01,Doctor of Dentistry,RI,3558.82
2015-08-01,Doctor of Dentistry,SC,130375.58
2015-08-01,Doctor of Dentistry,SD,710.22
2015-08-01,Doctor of Dentistry,TN,68454.05
2015-08-01,Doctor of Dentistry,TX,289473.81
2015-08-01,Doctor of Dentistry,US,7594064.67
2015-08-01,Doctor of Dentistry,UT,623282.08
2015-08-01,Doctor of Dentistry,VA,171686.46000000002
2015-08-01,Doctor of Dentistry,VT,504.73
2015-08-01,Doctor of Dentistry,WA,858967.6000000001
2015-08-01,Doctor of Dentistry,WI,86465.84
2015-08-01,Doctor of Dentistry,WV,9616.38
2015-08-01,Doctor of Dentistry,WY,1194.2
2015-09-01,Doctor of Dentistry,AA,22.06
2015-09-01,Doctor of Dentistry,AE,139.18
2015-09-01,Doctor of Dentistry,AK,1979.21
2015-09-01,Doctor of Dentistry,AL,21372.989999999998
2015-09-01,Doctor of Dentistry,AP,372.95
2015-09-01,Doctor of Dentistry,AR,34569.52
2015-09-01,Doctor of Dentistry,AZ,82011.48
2015-09-01,Doctor of Dentistry,CA,809902.2
2015-09-01,Doctor of Dentistry,CO,65325.15
2015-09-01,Doctor of Dentistry,CT,50913.41
2015-09-01,Doctor of Dentistry,DC,25939.95
2015-09-01,Doctor of Dentistry,DE,4089.43
2015-09-01,Doctor of Dentistry,FL,222694.25
2015-09-01,Doctor of Dentistry,GA,90309.46
2015-09-01,Doctor of Dentistry,HI,14619.109999999999
2015-09-01,Doctor of Dentistry,IA,25766.670000000002
2015-09-01,Doctor of Dentistry,ID,8623.2
2015-09-01,Doctor of Dentistry,IL,143153.23
2015-09-01,Doctor of Dentistry,IN,26711.149999999998
2015-09-01,Doctor of Dentistry,KS,22219.54
2015-09-01,Doctor of Dentistry,KY,29970.45
2015-09-01,Doctor of Dentistry,LA,37069.8
2015-09-01,Doctor of Dentistry,MA,109552.98
2015-09-01,Doctor of Dentistry,MD,60563.43
2015-09-01,Doctor of Dentistry,ME,5962.13
2015-09-01,Doctor of Dentistry,MI,168089.09
2015-09-01,Doctor of Dentistry,MN,31481.77
2015-09-01,Doctor of Dentistry,MO,51164.25
2015-09-01,Doctor of Dentistry,MS,35689.76
2015-09-01,Doctor of Dentistry,MT,5583.01
2015-09-01,Doctor of Dentistry,NC,152779.68
2015-09-01,Doctor of Dentistry,ND,655.08
2015-09-01,Doctor of Dentistry,NE,15117.06
2015-09-01,Doctor of Dentistry,NH,13124.88
2015-09-01,Doctor of Dentistry,NJ,126776.43
2015-09-01,Doctor of Dentistry,NM,9652.87
2015-09-01,Doctor of Dentistry,NV,22815.05
2015-09-01,Doctor of Dentistry,NY,515849.87
2015-09-01,Doctor of Dentistry,OH,135391.7
2015-09-01,Doctor of Dentistry,OK,16610.72
2015-09-01,Doctor of Dentistry,OR,147624.53
2015-09-01,Doctor of Dentistry,PA,168637.24
2015-09-01,Doctor of Dentistry,PR,4035.4500000000003
2015-09-01,Doctor of Dentistry,RI,4453.15
2015-09-01,Doctor of Dentistry,SC,80498.31
2015-09-01,Doctor of Dentistry,SD,3077.87
2015-09-01,Doctor of Dentistry,TN,42434.96
2015-09-01,Doctor of Dentistry,TX,282369.71
2015-09-01,Doctor of Dentistry,US,4276417.84
2015-09-01,Doctor of Dentistry,UT,30904.54
2015-09-01,Doctor of Dentistry,VA,108094.36
2015-09-01,Doctor of Dentistry,VT,1174.05
2015-09-01,Doctor of Dentistry,WA,126660.89
2015-09-01,Doctor of Dentistry,WI,66198.8
2015-09-01,Doctor of Dentistry,WV,14106.21
2015-09-01,Doctor of Dentistry,WY,1513.62
2015-10-01,Doctor of Dentistry,AA,23.09
2015-10-01,Doctor of Dentistry,AE,72.31
2015-10-01,Doctor of Dentistry,AK,5651.29
2015-10-01,Doctor of Dentistry,AL,45382.8
2015-10-01,Doctor of Dentistry,AP,71.89
2015-10-01,Doctor of Dentistry,AR,14704.38
2015-10-01,Doctor of Dentistry,AZ,175657.86
2015-10-01,Doctor of Dentistry,CA,911816.9
2015-10-01,Doctor of Dentistry,CO,150274.58
2015-10-01,Doctor of Dentistry,CT,84330.5
2015-10-01,Doctor of Dentistry,DC,6170.75
2015-10-01,Doctor of Dentistry,DE,3256.7400000000002
2015-10-01,Doctor of Dentistry,FL,445944.25
2015-10-01,Doctor of Dentistry,GA,255756.5
2015-10-01,Doctor of Dentistry,GU,47.06
2015-10-01,Doctor of Dentistry,HI,20433.95
2015-10-01,Doctor of Dentistry,IA,31909.72
2015-10-01,Doctor of Dentistry,ID,21829.69
2015-10-01,Doctor of Dentistry,IL,253858.99
2015-10-01,Doctor of Dentistry,IN,51375.44
2015-10-01,Doctor of Dentistry,KS,14301.78
2015-10-01,Doctor of Dentistry,KY,46970.08
2015-10-01,Doctor of Dentistry,LA,99960.01
2015-10-01,Doctor of Dentistry,MA,139993.05000000002
2015-10-01,Doctor of Dentistry,MD,137869.89
2015-10-01,Doctor of Dentistry,ME,5804.88
2015-10-01,Doctor of Dentistry,MI,275243.87
2015-10-01,Doctor of Dentistry,MN,112595.78
