"9","        Support activities for mining",65.2,56.3,49.7,43.1,35.4,30.5,30.4,32.0,36.7,42.5,45.7,48.4,51.8,56.9,56.9,57.4,58.9,57.6,51.9,46.7,43.8,25.4,21.0,20.5,21.5,23.3,24.3,26.4
"10","    Utilities",299.8,297.1,303.0,297.0,295.2,298.2,307.4,307.1,305.5,314.2,310.7,316.0,318.3,321.0,314.4,322.5,323.9,330.1,337.7,341.4,328.2,337.3,353.4,348.0,374.6,366.4,379.9,401.6
"11","    Construction",673.7,690.0,703.4,714.2,730.9,739.1,750.0,770.7,787.6,792.1,804.1,818.7,832.5,843.2,850.5,862.3,887.1,901.1,911.4,914.8,914.3,851.6,898.2,919.3,941.2,951.0,951.1,991.9
"12","    Manufacturing",2118.7,2134.2,2154.3,2116.8,2097.6,2103.6,2103.5,2106.6,2144.6,2172.0,2210.2,2270.2,2293.4,2330.1,2341.0,2372.0,2342.2,2373.6,2378.5,2389.5,2358.8,2051.5,2332.7,2344.8,2443.5,2524.7,2570.8,2714.2
"13","        Durable goods",1177.7,1182.2,1191.6,1186.1,1185.4,1183.8,1187.9,1194.1,1208.0,1222.9,1242.1,1268.7,1280.0,1295.1,1304.8,1315.6,1325.8,1330.9,1325.8,1329.1,1308.0,1134.5,1314.0,1318.9,1346.9,1375.2,1380.7,1440.0
"14","            Wood products",31.6,31.7,32.9,33.8,34.6,35.0,35.7,36.1,37.4,37.6,38.0,38.7,38.9,39.5,39.5,39.0,39.2,39.7,40.1,40.8,40.7,36.6,45.1,46.5,53.8,59.7,61.0,58.1
"15","            Nonmetallic mineral products",53.1,53.6,55.6,56.5,56.9,57.4,57.5,58.3,60.1,61.5,62.2,63.3,62.3,63.1,62.7,63.0,63.5,64.8,66.2,65.9,65.5,64.0,68.4,69.1,69.6,69.9,70.2,74.1
"16","            Primary metals",63.1,60.9,59.5,56.9,56.0,56.6,56.9,57.9,58.7,58.5,58.6,60.5,63.6,67.0,68.6,69.2,67.9,66.8,66.1,64.2,63.2,53.6,57.6,58.8,63.6,78.9,90.0,97.0
"17","            Fabricated metal products",148.1,148.0,147.3,146.2,146.4,145.5,145.5,146.7,147.4,149.5,150.7,152.1,153.3,154.7,155.7,158.2,162.0,163.2,164.0,162.6,158.0,133.9,144.5,146.9,150.6,148.2,150.9,172.1
"18","            Machinery",158.4,152.8,151.1,147.9,145.3,143.6,142.9,143.3,147.6,151.7,156.8,158.6,161.6,161.0,162.1,163.0,166.6,167.8,168.1,167.4,163.7,146.5,158.9,161.2,164.2,167.5,159.3,177.3
"19","            Computer and electronic products",265.2,268.1,267.3,269.2,267.3,266.5,267.6,270.8,272.3,273.9,280.9,292.5,296.6,306.3,306.9,308.9,308.3,308.7,302.6,311.1,315.1,303.2,323.1,328.1,335.1,340.3,348.1,338.3
"20","            Electrical equipment, appliances, and components",61.7,64.3,65.0,63.8,60.1,58.8,58.0,57.0,58.9,60.6,60.9,62.7,64.3,65.1,65.4,65.4,64.8,64.9,65.2,65.2,66.2,60.6,63.1,64.5,67.3,68.9,69.7,71.8
"21","            Motor vehicles, bodies and trailers, and parts",139.7,146.2,150.5,148.9,154.0,154.5,156.0,157.4,157.5,159.1,157.8,159.4,157.3,156.6,159.1,158.0,157.8,159.0,159.2,158.9,151.8,93.6,189.5,183.6,180.1,172.5,158.8,166.1
"22","            Other transportation equipment",148.4,148.2,151.4,148.7,149.2,148.0,149.1,147.5,148.5,150.7,155.3,157.0,156.8,155.7,158.3,164.2,167.7,166.4,164.9,163.8,156.9,117.7,126.3,121.0,124.5,137.4,139.5,141.2
"23","            Furniture and related products",28.0,28.8,29.8,30.0,30.4,30.3,30.2,30.3,30.0,29.6,29.9,30.3,30.7,31.0,31.2,31.5,31.9,32.3,32.4,32.5,32.6,29.7,31.8,32.0,29.1,29.1,30.2,30.8
"24","            Miscellaneous manufacturing",80.4,79.6,81.2,84.0,85.1,87.6,88.4,89.0,89.6,90.1,91.3,93.6,94.7,95.0,95.3,95.4,96.2,97.5,97.1,96.8,94.3,95.0,105.7,107.3,109.0,102.9,103.1,113.1
"25","        Nondurable goods",940.9,952.0,962.7,930.8,912.2,919.9,915.7,912.5,936.6,949.1,968.1,1001.5,1013.4,1035.0,1036.3,1056.4,1016.4,1042.6,1052.7,1060.5,1050.8,917.0,1018.8,1025.9,1096.7,1149.5,1190.2,1274.2
"26","            Food and beverage and tobacco products",257.9,259.5,265.1,265.1,262.4,264.7,266.5,265.0,263.7,269.3,269.9,266.9,265.6,266.2,264.1,264.9,267.4,275.5,283.9,284.2,283.5,282.8,296.6,296.2,304.6,301.0,312.3,324.2
"27","            Textile mills and textile product mills",17.9,17.7,17.9,18.3,18.6,18.7,18.6,18.4,18.3,17.8,17.5,17.2,16.8,16.7,16.7,16.7,16.9,16.8,16.7,16.6,16.6,13.3,15.4,15.9,16.3,16.6,16.5,17.0
"28","            Apparel and leather and allied products",9.7,9.6,9.8,9.7,9.7,9.7,9.5,9.6,9.5,9.4,9.4,9.4,9.4,9.3,9.3,9.2,9.3,9.4,9.4,9.2,9.5,8.6,10.3,10.8,11.0,11.7,11.6,12.0
"29","            Paper products",58.9,59.3,60.0,60.5,60.2,59.4,57.5,56.5,55.2,54.8,55.3,56.4,57.7,59.5,59.6,60.0,59.3,59.8,60.1,59.7,59.7,58.2,60.2,60.8,59.8,59.3,62.3,62.8
"30","            Printing and related support activities",39.7,39.9,40.4,40.9,41.4,41.3,41.1,41.0,40.8,40.2,40.6,40.8,41.4,41.4,41.2,41.4,41.1,41.3,41.5,41.2,41.2,35.5,40.6,41.1,41.3,40.8,40.4,42.1
"31","            Petroleum and coal products",150.8,159.6,152.6,119.2,87.4,85.6,82.3,87.4,110.7,120.2,134.3,162.9,171.3,183.9,188.2,200.0,158.4,167.8,160.2,167.9,161.3,57.6,116.0,119.8,178.5,202.1,214.1,240.2
"32","            Chemical products",331.3,328.6,336.5,336.6,352.1,360.3,360.7,355.1,359.9,359.9,363.1,368.9,370.2,376.3,375.0,381.5,381.0,388.3,397.0,397.6,395.8,386.3,397.7,398.6,401.8,434.6,443.1,476.0
"33","            Plastics and rubber products",74.7,77.7,80.3,80.4,80.4,80.3,79.4,79.3,78.6,77.7,77.9,79.0,81.0,81.7,82.2,82.7,83.0,83.8,83.9,84.0,83.0,74.8,81.9,82.9,83.4,83.4,89.9,99.8
"34","    Wholesale trade",1135.1,1151.5,1145.4,1142.3,1137.1,1133.2,1135.1,1138.0,1145.6,1159.1,1169.4,1188.6,1194.2,1213.1,1220.4,1242.1,1262.8,1268.0,1283.1,1286.1,1280.9,1136.5,1275.8,1279.9,1319.4,1377.3,1390.6,1444.6
"35","    Retail trade",1001.5,1012.4,1031.1,1036.3,1045.4,1048.5,1055.4,1062.6,1070.2,1075.2,1085.4,1095.8,1107.9,1121.0,1124.2,1125.6,1142.2,1160.7,1179.8,1183.9,1185.6,1101.6,1262.0,1259.6,1331.5,1397.5,1379.1,1434.1
"36","        Motor vehicle and parts dealers",187.9,191.1,194.7,196.5,199.9,200.0,202.5,204.5,205.5,206.5,208.2,210.3,211.0,213.1,214.3,215.8,220.8,225.6,228.8,228.0,220.6,200.7,246.6,248.8,269.3,296.8,286.2,310.9
"37","        Food and beverage stores",143.8,144.3,147.1,146.7,147.4,148.7,148.3,149.1,150.9,152.7,153.6,153.9,154.7,154.7,154.9,155.0,155.8,157.1,159.6,160.8,169.5,171.8,175.2,172.3,178.1,182.4,184.0,194.2
"38","        General merchandise stores",140.1,141.9,143.7,144.9,143.0,141.3,144.9,146.4,146.2,145.8,147.0,147.7,149.7,151.3,150.6,150.7,150.7,152.5,154.3,156.9,157.7,150.2,164.7,157.3,165.4,169.8,172.6,172.1
"39","        Other retail",529.7,535.2,545.7,548.3,555.1,558.5,559.7,562.7,567.5,570.2,576.6,583.9,592.5,601.9,604.4,604.1,614.9,625.6,637.2,638.2,637.8,578.8,675.5,681.3,718.6,748.5,736.3,756.9
"40","    Transportation and warehousing",553.6,561.7,573.3,575.8,575.1,582.0,581.0,591.5,597.9,607.2,612.2,620.2,633.3,643.0,650.0,666.2,676.4,684.5,692.0,689.9,660.5,499.2,555.0,573.4,594.2,619.8,658.3,698.0
"41","        Air transportation",111.8,115.5,120.5,123.2,123.6,130.6,129.4,133.1,134.0,136.6,134.9,133.7,135.4,134.4,134.6,140.0,142.8,147.1,148.8,146.5,124.4,26.7,39.8,40.7,46.4,57.5,79.2,83.9
"42","        Rail transportation",45.2,45.0,44.6,42.5,40.5,39.2,40.0,40.6,41.4,41.5,40.8,41.6,42.5,44.1,44.0,44.0,43.1,43.1,42.5,40.9,40.4,35.0,37.1,37.7,37.7,38.3,37.5,39.0
"43","        Water transportation",16.3,16.0,15.7,15.2,14.4,13.8,13.0,12.7,12.7,12.8,13.2,13.4,13.7,14.3,14.3,14.4,14.7,14.6,14.4,14.0,13.6,8.1,8.0,8.7,8.9,10.1,10.9,14.1
"44","        Truck transportation",147.8,148.6,150.5,149.5,150.0,148.2,148.0,149.3,152.2,156.0,157.3,159.8,163.8,167.3,168.1,171.5,171.0,173.1,174.3,173.7,172.1,150.7,166.7,169.4,173.2,179.2,183.2,199.2
"45","        Transit and ground passenger transportation",42.1,42.0,42.0,42.7,42.2,42.7,42.7,43.2,44.0,44.8,46.5,46.4,45.8,46.7,48.2,49.6,55.1,52.8,54.0,53.7,50.1,28.9,33.8,36.8,36.6,41.2,45.1,47.0
"46","        Pipeline transportation",34.6,36.3,38.0,38.4,38.7,40.2,38.1,39.8,40.1,39.6,41.1,43.1,44.1,44.0,45.3,44.7,43.5,43.1,43.3,43.2,43.2,39.5,41.8,40.3,45.3,40.9,41.5,42.8
"47","        Other transportation and support activities",106.0,107.2,109.1,110.1,109.2,110.1,111.1,113.0,113.3,114.2,115.5,117.3,120.6,123.3,124.8,129.2,133.4,135.0,138.2,138.7,138.1,135.7,147.3,154.1,159.2,162.7,170.7,179.1
"48","        Warehousing and storage",49.7,51.1,52.9,54.1,56.4,57.2,58.6,59.9,60.1,61.7,62.8,65.0,67.2,69.0,70.6,72.9,72.7,75.6,76.7,79.2,78.6,74.6,80.6,85.6,86.9,90.0,90.1,92.9
"49","    Information",878.8,897.6,918.2,936.6,959.9,964.1,976.7,980.4,985.4,995.9,1010.2,1027.3,1030.2,1069.0,1078.3,1080.9,1098.4,1133.8,1146.6,1159.2,1158.9,1120.6,1186.6,1205.5,1240.0,1296.6,1305.5,1360.6
"50","        Publishing industries, except internet (includes software)",221.6,223.4,224.3,225.7,231.9,232.2,235.1,238.9,243.9,248.8,254.6,262.4,263.2,275.7,281.1,276.7,285.9,290.9,294.0,301.4,309.2,311.4,324.9,334.4,345.0,357.4,357.9,366.4
"51","        Motion picture and sound recording industries",85.7,87.4,88.3,89.1,95.2,92.0,94.2,93.9,96.3,94.4,93.9,92.6,89.1,89.1,85.8,84.8,84.6,88.0,87.5,87.7,84.2,56.6,66.7,73.1,74.9,84.6,93.6,109.6
"52","        Broadcasting and telecommunications",412.2,420.5,433.1,440.6,445.1,444.6,449.3,447.7,442.3,443.6,447.4,448.1,452.0,462.7,463.8,462.4,463.9,468.7,473.0,471.3,464.4,452.8,462.9,457.8,463.4,469.8,465.3,481.6
"53","        Data processing, internet publishing, and other information services",159.2,166.3,172.5,181.2,187.7,195.2,198.1,199.9,202.9,209.1,214.3,224.1,225.9,241.5,247.6,257.0,264.0,286.2,292.1,298.8,301.1,299.9,332.1,340.2,356.7,384.9,388.7,403.1
"54","    Finance, insurance, real estate, rental, and leasing",3677.0,3734.4,3713.8,3729.9,3769.6,3858.8,3925.9,3978.6,3969.5,3974.5,4036.8,4100.2,4173.0,4252.5,4309.7,4295.8,4356.3,4431.7,4474.8,4543.3,4542.9,4491.7,4627.2,4706.8,4749.9,4844.8,4920.7,5024.7
"55","        Finance and insurance",1372.4,1417.6,1373.4,1374.5,1390.4,1454.6,1511.8,1543.2,1504.0,1478.8,1517.1,1548.4,1587.9,1632.8,1666.2,1620.0,1644.6,1676.1,1680.0,1730.8,1715.1,1751.1,1802.9,1881.9,1892.6,1936.3,1965.7,2003.6
"56","            Federal Reserve banks, credit intermediation, and related activities",582.4,600.6,573.1,570.1,574.1,604.7,634.5,655.6,648.5,625.9,642.9,648.9,673.9,696.1,710.3,694.1,703.8,714.6,724.4,750.3,743.2,765.6,791.6,823.5,827.5,858.2,865.1,866.0
"57","            Securities, commodity contracts, and investments",225.7,229.0,231.1,238.0,249.9,263.8,275.5,280.5,279.9,287.0,301.1,320.4,304.7,315.4,324.5,312.0,331.5,333.3,323.9,330.4,332.6,334.4,335.1,363.4,369.8,386.6,405.6,415.9
"58","            Insurance carriers and related activities",545.1,569.6,553.0,550.5,550.0,568.0,582.2,586.1,554.9,545.3,548.9,553.9,581.3,591.9,602.0,587.5,584.0,602.5,606.5,625.0,615.5,627.0,650.2,668.6,669.5,664.2,668.6,694.4
"59","            Funds, trusts, and other financial vehicles",19.3,18.4,16.1,15.8,16.3,18.1,19.6,20.9,20.7,20.6,24.3,25.1,28.1,29.4,29.5,26.4,25.2,25.7,25.2,25.2,23.9,24.1,26.0,26.5,25.8,27.3,26.4,27.3
"60","        Real estate and rental and leasing",2304.5,2316.8,2340.4,2355.4,2379.2,2404.2,2414.2,2435.5,2465.5,2495.7,2519.7,2551.8,2585.1,2619.7,2643.5,2675.8,2711.7,2755.6,2794.9,2812.5,2827.7,2740.6,2824.3,2824.8,2857.3,2908.6,2955.0,3021.1
"61","            Real estate",2102.8,2113.2,2132.2,2144.4,2161.3,2182.0,2192.6,2214.6,2242.8,2268.4,2289.2,2317.6,2345.8,2377.1,2398.1,2425.6,2457.3,2488.9,2517.7,2537.9,2559.4,2537.8,2578.8,2576.3,2599.2,2623.9,2659.3,2716.9
"62","                Housing",1663.8,1677.5,1694.9,1710.7,1723.9,1739.0,1752.0,1768.6,1789.6,1806.2,1822.4,1842.1,1862.4,1884.7,1907.0,1930.1,1950.9,1970.6,1989.1,2009.9,2033.4,2048.4,2058.6,2062.2,2075.7,2100.0,2127.7,2162.9
"63","                Other real estate",439.0,435.7,437.3,433.7,437.4,442.9,440.5,446.0,453.3,462.3,466.7,475.5,483.4,492.4,491.1,495.5,506.4,518.3,528.5,528.0,526.0,489.4,520.2,514.1,523.5,523.9,531.6,554.0
"64","            Rental and leasing services and lessors of intangible assets",201.7,203.6,208.2,211.0,217.9,222.2,221.6,220.9,222.6,227.3,230.5,234.2,239.2,242.6,245.4,250.2,254.4,266.7,277.2,274.5,268.3,202.8,245.5,248.5,258.1,284.7,295.7,304.2
"65","    Professional and business services",2206.0,2227.8,2252.6,2264.6,2283.3,2294.5,2305.6,2341.2,2374.4,2413.4,2451.2,2498.0,2531.5,2577.7,2606.9,2631.6,2684.8,2717.3,2751.1,2772.0,2758.1,2536.2,2692.0,2772.8,2854.4,2925.1,3005.1,3109.1
"66","        Professional, scientific, and technical services",1325.5,1342.6,1361.1,1367.8,1384.8,1390.6,1394.3,1412.3,1426.1,1447.3,1468.4,1492.3,1524.3,1560.1,1571.3,1581.9,1614.4,1633.6,1659.4,1672.6,1669.3,1548.3,1632.1,1661.3,1702.9,1754.4,1798.7,1863.4
"67","            Legal services",234.3,237.1,242.2,241.5,249.4,251.2,251.9,256.0,255.7,258.4,258.8,262.1,262.7,269.9,270.6,271.4,275.8,279.5,287.6,288.5,286.7,271.6,279.2,289.4,299.3,296.3,303.3,307.5
"68","            Computer systems design and related services",276.3,282.9,287.3,292.9,299.4,303.8,304.7,311.6,314.1,320.6,325.2,331.1,341.0,352.0,359.9,360.9,370.5,371.9,369.6,370.0,372.5,358.4,364.4,371.1,379.2,389.0,396.8,405.8
"69","            Miscellaneous professional, scientific, and technical services",814.9,822.6,831.7,833.4,836.0,835.6,837.7,844.7,856.2,868.3,884.4,899.2,920.6,938.2,940.8,949.6,968.0,982.3,1002.2,1014.1,1010.2,918.2,988.4,1000.8,1024.4,1069.1,1098.6,1150.1
"70","        Management of companies and enterprises",346.7,348.2,347.7,348.9,347.8,349.4,351.3,355.3,361.6,367.5,374.0,387.7,385.9,387.2,398.0,398.6,409.7,412.9,411.2,413.5,412.0,399.1,403.7,427.0,431.1,431.7,438.3,435.7
"71","        Administrative and waste management services",533.8,537.0,543.7,547.8,550.8,554.5,560.1,573.5,586.7,598.6,608.8,617.9,621.3,630.4,637.6,651.2,660.7,670.7,680.5,685.9,676.7,588.9,656.2,684.5,720.3,739.0,768.1,810.0
"72","            Administrative and support services",486.1,488.7,495.7,500.1,503.3,507.1,512.1,524.1,535.2,545.7,554.0,562.2,564.4,573.1,580.2,593.0,602.3,611.4,620.5,625.5,615.8,533.9,594.9,622.4,657.3,675.1,703.9,743.5
"73","            Waste management and remediation services",47.7,48.3,48.0,47.7,47.4,47.4,48.0,49.4,51.5,53.0,54.9,55.8,56.9,57.3,57.4,58.2,58.4,59.3,60.0,60.3,61.0,55.0,61.3,62.1,63.1,63.8,64.2,66.5
"74","    Educational services, health care, and social assistance",1542.4,1560.0,1583.0,1599.5,1625.7,1647.7,1655.8,1681.3,1692.1,1703.4,1715.9,1731.5,1756.8,1776.1,1788.9,1814.8,1840.3,1863.5,1882.9,1899.0,1870.8,1611.7,1842.6,1869.3,1884.2,1911.0,1942.2,1994.2
"75","        Educational services",230.3,231.5,233.9,238.2,242.7,246.1,246.5,249.6,248.6,247.8,249.3,251.1,255.4,259.1,262.4,267.7,271.6,275.7,277.1,275.8,271.9,240.1,250.7,242.5,247.7,254.3,261.4,266.8
"76","        Health care and social assistance",1312.1,1328.6,1349.2,1361.3,1383.0,1401.7,1409.4,1431.7,1443.5,1455.6,1466.5,1480.4,1501.4,1517.0,1526.6,1547.1,1568.7,1587.8,1605.8,1623.2,1598.9,1371.6,1591.9,1626.8,1636.5,1656.7,1680.7,1727.4
"77","            Ambulatory health care services",632.2,639.7,651.0,654.6,669.2,682.1,683.1,697.4,703.5,710.0,715.5,720.7,731.5,738.0,742.9,754.2,768.7,778.1,785.8,790.7,771.7,613.4,773.5,795.5,799.9,810.6,814.2,837.9
"78","            Hospitals",434.8,440.7,446.8,452.5,456.0,458.5,461.6,467.9,471.9,475.0,478.1,483.4,489.4,494.5,495.6,501.3,504.4,510.3,516.0,523.5,515.6,478.4,526.1,532.0,533.8,537.5,552.9,566.0
"79","            Nursing and residential care facilities",135.5,136.8,138.7,139.4,141.0,142.5,143.9,144.3,144.8,145.6,146.0,147.9,150.1,152.1,153.4,154.1,155.1,156.3,157.7,159.9,162.1,154.0,150.3,153.7,155.1,156.3,158.5,161.4
"80","            Social assistance",109.5,111.3,112.6,114.8,116.8,118.5,120.8,122.0,123.4,125.1,126.9,128.3,130.3,132.5,134.7,137.5,140.5,143.2,146.3,149.1,149.5,125.8,142.0,145.7,147.7,152.2,155.3,162.0
"81","    Arts, entertainment, recreation, accommodation, and food services",728.4,741.6,753.7,764.3,775.8,783.7,797.2,805.3,813.3,823.7,836.1,839.6,849.6,869.1,874.4,885.1,891.7,906.1,924.8,934.2,849.2,473.7,677.3,688.1,716.1,820.5,887.1,934.7
"82","        Arts, entertainment, and recreation",190.9,192.4,194.1,196.9,201.5,204.3,210.4,212.6,211.6,214.1,221.5,220.1,221.9,232.6,232.8,232.7,232.9,236.5,243.3,251.2,228.9,107.8,150.8,166.0,172.9,185.4,204.0,220.9
"83","            Performing arts, spectator sports, museums, and related activities",111.6,112.9,112.8,114.5,117.4,119.7,125.3,126.5,126.3,127.3,133.7,132.3,132.3,142.3,141.5,139.8,139.5,141.6,147.3,153.0,135.5,63.2,76.3,90.1,93.3,96.1,112.1,125.3
"84","            Amusements, gambling, and recreation industries",79.2,79.5,81.3,82.4,84.1,84.6,85.2,86.1,85.3,86.8,87.8,87.8,89.6,90.3,91.3,93.0,93.4,94.9,96.0,98.1,93.3,44.6,74.5,75.9,79.6,89.3,91.9,95.6
"85","        Accommodation and food services",537.6,549.2,559.6,567.4,574.3,579.3,586.7,592.6,601.7,609.6,614.6,619.5,627.8,636.5,641.6,652.4,658.8,669.6,681.4,683.1,620.3,365.9,526.5,522.2,543.2,635.1,683.0,713.9
"86","            Accommodation",153.9,156.9,159.6,159.9,159.1,159.2,160.5,162.0,165.2,167.7,168.9,170.2,173.3,176.5,174.9,180.3,181.6,184.0,187.2,187.3,167.9,72.3,111.6,111.2,117.5,153.2,180.2,190.9
"87","            Food services and drinking places",383.7,392.4,400.0,407.5,415.1,420.1,426.3,430.6,436.5,441.9,445.7,449.3,454.5,460.0,466.7,472.1,477.2,485.6,494.3,495.8,452.4,293.5,414.9,410.9,425.7,481.9,502.8,522.9
"88","    Other services, except government",388.3,392.0,392.3,394.0,397.5,399.2,401.7,403.4,406.1,409.8,416.4,421.7,427.9,435.5,439.0,443.7,445.5,450.1,457.1,464.9,455.5,368.1,423.3,429.0,425.8,443.2,454.9,467.9
"89","Government",2318.0,2334.4,2348.2,2357.2,2365.0,2376.8,2391.8,2403.2,2418.6,2433.4,2455.4,2481.0,2509.0,2535.8,2562.4,2577.9,2588.2,2604.2,2633.7,2661.1,2697.2,2630.9,2668.9,2685.4,2705.4,2742.7,2806.0,2836.2
"90","    Federal",726.7,729.4,733.2,735.8,737.4,740.4,745.0,749.2,754.0,757.9,763.8,771.1,779.1,786.8,793.5,798.3,803.4,807.0,814.3,821.0,831.1,843.1,858.5,860.7,866.5,875.1,886.4,897.8
"91","        General government",671.4,672.1,674.6,676.5,677.8,682.3,686.1,689.3,692.9,695.7,700.9,707.6,715.1,722.9,730.2,735.8,741.7,745.7,752.5,757.8,765.6,776.7,792.2,795.5,803.0,812.9,822.4,833.4
"92","            National defense",398.8,397.7,398.5,398.5,397.5,398.8,399.7,400.4,401.3,402.1,404.5,407.8,411.8,416.3,420.5,423.2,426.4,428.8,432.4,436.2,439.5,446.0,450.2,454.8,461.1,466.2,470.7,476.1
"93","            Nondefense",272.6,274.4,276.2,278.1,280.3,283.5,286.3,288.9,291.6,293.7,296.4,299.8,303.3,306.6,309.6,312.6,315.3,316.9,320.2,321.7,326.1,330.8,341.9,340.7,341.9,346.7,351.7,357.3
"94","        Government enterprises",55.3,57.3,58.6,59.3,59.6,58.1,58.9,60.0,61.1,62.2,63.0,63.6,64.0,63.9,63.3,62.5,61.7,61.3,61.8,63.2,65.5,66.4,66.3,65.2,63.5,62.2,64.1,64.5
"95","    State and local",1591.3,1605.0,1614.9,1621.4,1627.6,1636.4,1646.8,1654.0,1664.6,1675.4,1691.5,1709.8,1729.9,1749.0,1768.9,1779.6,1784.7,1797.2,1819.4,1840.0,1866.1,1787.8,1810.4,1824.7,1838.9,1867.6,1919.5,1938.4
"96","        General government",1452.1,1464.4,1473.4,1479.5,1485.4,1494.0,1504.1,1511.1,1521.7,1532.1,1547.1,1563.7,1581.6,1598.9,1617.1,1626.7,1631.4,1643.2,1664.8,1684.8,1713.1,1666.2,1689.6,1688.7,1696.4,1721.2,1768.2,1785.3
"97","        Government enterprises",139.2,140.7,141.6,141.9,142.2,142.4,142.7,142.8,142.9,143.3,144.4,146.1,148.4,150.1,151.8,152.9,153.3,154.0,154.6,155.2,153.0,121.7,120.8,136.0,142.6,146.5,151.3,153.1
"","    Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98","            Private goods-producing industries1",3262.5,3283.2,3292.4,3234.6,3195.7,3225.0,3241.8,3275.4,3375.4,3413.2,3459.1,3563.2,3612.1,3678.6,3690.5,3727.0,3691.2,3739.1,3741.4,3759.6,3693.6,3169.9,3574.5,3659.8,3842.8,3995.9,4073.1,4297.1
"99","            Private services-producing industries2",12410.9,12576.1,12666.4,12740.3,12864.6,13009.8,13141.9,13289.4,13359.9,13476.4,13644.3,13838.8,14022.6,14278.1,14406.2,14508.5,14722.2,14946.0,15130.0,15273.8,15090.6,13676.6,14895.2,15132.4,15490.0,16002.4,16323.3,16869.5
"100","            Information-communications-technology-producing industries3","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
"Note. Detail may not add to total due to rounding."
