naics_code,year,month,value,industry_name
32561-,2022,03,163.273,Soap and Cleaning Compound Manufacturing
32541-,2022,03,225.697,Pharmaceutical and Medicine Manufacturing
32531-,2022,03,329.524,Fertilizer and Compost Manufacturing
32518-,2022,03,364.768,Other Basic Inorganic Chemical Manufacturing
31699-,2022,03,147.005,Other Leather and Allied Product Manufacturing
31621-,2022,03,145.330,Footwear Manufacturing
31611-,2022,03,207.638,Leather and Hide Tanning and Finishing
31599-,2022,03,146.879,Apparel Accessories and Other Apparel Manufacturing
31524-,2022,03,110.748,Women's Girls' and Infants' Cut and Sew Apparel Manufacturin
31522-,2022,03,129.978,Men's and Boys' Cut and Sew Apparel Manufacturing - DO NOT U
31411-,2022,03,180.374,Carpet and Rug Mills
31331-,2022,03,192.485,Textile and Fabric Finishing Mills
31223-,2022,03,1025.112,Tobacco Manufacturing
31214-,2022,03,103.460,Distilleries
31213-,2022,03,134.158,Wineries
31212-,2022,03,146.651,Breweries
31211-,2022,03,160.204,Soft Drink and Ice Manufacturing
31199-,2022,03,150.870,All Other Food Manufacturing
31194-,2022,03,176.340,Seasoning and Dressing Manufacturing
31191-,2022,03,158.539,Snack Food Manufacturing
31181-,2022,03,176.815,Bread and Bakery Product Manufacturing
3118--,2022,03,166.119,Cookie Cracker and Pasta Manufacturing
31171-,2022,03,190.777,Seafood Product Preparation and Packaging
31161-,2022,03,229.235,Animal Slaughtering and Processing
31151-,2022,03,173.289,Dairy Product (except Frozen) Manufacturing
31142-,2022,03,162.719,Fruit and Vegetable Canning Pickling and Drying
31141-,2022,03,151.601,Frozen Food Manufacturing
31135-,2022,03,115.089,Chocolate and Confectionery Manufacturing
31134-,2022,03,167.535,Nonchocolate Confectionery Manufacturing
31123-,2022,03,147.020,Breakfast Cereal Manufacturing
23811X,2022,03,166.437,Flooring Contractors
23811X,2022,03,166.437,All Other Specialty Trade Contractors
23811X,2022,03,166.437,Other Foundation Structure and Building Exterior Contractors
23811X,2022,03,166.437,Masonry Contractors
236221,2022,03,209.407,Commercial and Institutional Building Construction
236211,2022,03,166.682,Other Heavy and Civil Engineering Construction
236211,2022,03,166.682,Highway Street and Bridge Construction
236211,2022,03,166.682,Oil and Gas Pipeline and Related Structures Construction
1133--,2022,03,217.950,Logging
924126,2022,02,157.235,National Security
8113--,2022,02,163.186,Commercial machinery repair and maintenance
721---,2022,02,177.220,Accommodation
71394-,2022,02,109.743,Fitness and Recreational Sports Centers
71391-,2022,02,146.202,All Other Amusement and Recreation Industries
62311-,2022,02,164.068,Nursing Care Facilities (Skilled Nursing Facilities)
62231-,2022,02,164.760,Specialty (except Psychiatric and Substance Abuse) Hospitals
62211-,2022,02,160.509,General Medical and Surgical Hospitals
62199-,2022,02,123.628,All Other Ambulatory Health Care Services
62151-,2022,02,103.735,Medical and Diagnostic Laboratories
62121-,2022,02,126.881,Offices of Dentists
62111-,2022,02,143.239,Offices of Physicians
6211--,2022,02,143.239,Offices of physicians
5621--,2022,02,159.505,All Other Waste Management Services
56172-,2022,02,133.089,Landscaping Services
561612,2022,02,142.237,Security Systems Services
56151-,2022,02,97.884,Tour Operators
5613--,2022,02,156.249,Employment services
54181-,2022,02,122.061,Other Services Related to Advertising
54161-,2022,02,129.930,Management Consulting Services
5413--,2022,02,180.738,Testing Laboratories and Services
5411--,2022,02,254.003,Legal services
53131-,2022,02,125.389,Other Activities Related to Real Estate
53131-,2022,02,125.389,Real Estate Property Managers
53121-,2022,02,179.712,Offices of Real Estate Agents and Brokers
53112-,2022,02,132.458,Lessors of Nonresidential Buildings (except Miniwarehouses)
53112-,2022,02,132.458,Lessors of Other Real Estate Property
53112-,2022,02,132.458,Lessors of Residential Buildings and Dwellings
53112-,2022,02,132.458,Lessors of Nonfinancial Intangible Assets (except Copyrighte
52421-,2022,02,113.206,Other Insurance Related Activities
52411-,2022,02,150.958,Direct Life Health and Medical Insurance Carriers
5221--,2022,02,101.126,Trusts Estates and Agency Accounts
51121-,2022,02,90.305,Software Publishers - DO NOT USE
511---,2022,02,118.191,Record Production and Distribution
48851-,2022,02,154.778,Freight Transportation Arrangement
45431-,2022,02,222.417,Other Direct Selling Establishments - DO NOT USE
45431-,2022,02,222.417,Fuel Dealers - DO NOT USE
454110,2022,02,126.913,Electronic Shopping and Mail-Order Houses - DO NOT USE
45112-,2022,02,82.625,Hobby Toy and Game Stores - DO NOT USE
45111-,2022,02,163.310,Sporting Goods Stores - DO NOT USE
44831-,2022,02,181.818,Jewelry Stores - DO NOT USE
4481--,2022,02,135.347,Clothing stores
4471--,2022,02,148.542,Gasoline Stations with Convenience Stores - DO NOT USE
44611-,2022,02,178.484,Pharmacies and Drug Stores - DO NOT USE
4461--,2022,02,150.805,Cosmetics Beauty Supplies and Perfume Stores - DO NOT USE
4452--,2022,02,203.762,Other Specialty Food Retailers
44511-,2022,02,192.471,Supermarkets and Other Grocery Retailers (except Convenience
4441--,2022,02,234.748,Other Building Material Dealers - DO NOT USE
4431--,2022,02,85.286,Electronics and Appliance Stores - DO NOT USE
44221-,2022,02,192.690,Floor Covering Stores - DO NOT USE
44211-,2022,02,203.020,Furniture Stores - DO NOT USE
44131-,2022,02,220.824,Automotive Parts and Accessories Stores - DO NOT USE
4249--,2022,02,116.651,Miscellaneous nondurable goods merchant wholesalers
4248--,2022,02,109.366,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
4247--,2022,02,111.381,Petroleum and Petroleum Products Merchant Wholesalers (excep
4244--,2022,02,109.681,Grocery and related product merchant wholesalers
4243--,2022,02,90.065,Apparel and piece goods merchant wholesalers
4242--,2022,02,101.575,Drugs and Druggists' Sundries Merchant Wholesalers
4239--,2022,02,129.974,Miscellaneous durable goods merchant wholesalers (except materials recyclers)
4238--,2022,02,116.105,"Machinery, equipment, and supplies merchant wholesalers"
4236--,2022,02,140.160,Household appliances and electrical and electronic goods merchant wholesalers
4234--,2022,02,111.382,Professional and commercial equipment and supplies merchant wholesalers
4233--,2022,02,155.294,Lumber and other construction materials merchant wholesalers
4232--,2022,02,133.798,Furniture and home furnishing merchant wholesalers
4231--,2022,02,134.862,Motor Vehicle Supplies and New Parts Merchant Wholesalers
33999-,2022,02,149.060,All Other Miscellaneous Manufacturing
33995-,2022,02,141.377,Sign Manufacturing
33992-,2022,02,137.602,Sporting and Athletic Goods Manufacturing
33991-,2022,02,239.474,Jewelry and Silverware Manufacturing
33911-,2022,02,125.966,Medical Equipment and Supplies Manufacturing
33791-,2022,02,171.022,Mattress Manufacturing
33712-,2022,02,169.497,Household and Institutional Furniture Manufacturing
33599-,2022,02,154.740,All Other Electrical Equipment and Component Manufacturing
33591-,2022,02,181.483,Battery Manufacturing
33512-,2022,02,153.689,Lighting Fixture Manufacturing - DO NOT USE
33511-,2022,02,79.987,Electric Lamp Bulb and Part Manufacturing - DO NOT USE
33451-,2022,02,135.370,Navigational Measuring Electromedical and Control Instrument
33221-,2022,02,150.480,Cutlery and Handtool Manufacturing
33211-,2022,02,186.265,Forging and Stamping
32619-,2022,02,173.319,Other Plastics Product Manufacturing
32616-,2022,02,144.269,Plastics Bottle Manufacturing
32599-,2022,02,165.221,All Other Chemical Product and Preparation Manufacturing
32562-,2022,02,123.519,Toilet Preparation Manufacturing
32561-,2022,02,163.115,Soap and Cleaning Compound Manufacturing
32541-,2022,02,225.121,Pharmaceutical and Medicine Manufacturing
32531-,2022,02,317.711,Fertilizer and Compost Manufacturing
32518-,2022,02,361.683,Other Basic Inorganic Chemical Manufacturing
31699-,2022,02,147.008,Other Leather and Allied Product Manufacturing
31621-,2022,02,144.306,Footwear Manufacturing
31611-,2022,02,196.365,Leather and Hide Tanning and Finishing
31599-,2022,02,146.880,Apparel Accessories and Other Apparel Manufacturing
31524-,2022,02,110.835,Women's Girls' and Infants' Cut and Sew Apparel Manufacturin
31522-,2022,02,129.831,Men's and Boys' Cut and Sew Apparel Manufacturing - DO NOT U
31411-,2022,02,178.883,Carpet and Rug Mills
31331-,2022,02,189.214,Textile and Fabric Finishing Mills
31223-,2022,02,1021.572,Tobacco Manufacturing
31214-,2022,02,103.216,Distilleries
31213-,2022,02,134.343,Wineries
31212-,2022,02,145.425,Breweries
31211-,2022,02,160.140,Soft Drink and Ice Manufacturing
31199-,2022,02,149.031,All Other Food Manufacturing
31194-,2022,02,174.840,Seasoning and Dressing Manufacturing
31191-,2022,02,159.591,Snack Food Manufacturing
31181-,2022,02,174.760,Bread and Bakery Product Manufacturing
3118--,2022,02,164.818,Cookie Cracker and Pasta Manufacturing
31171-,2022,02,189.848,Seafood Product Preparation and Packaging
31161-,2022,02,226.496,Animal Slaughtering and Processing
31151-,2022,02,169.373,Dairy Product (except Frozen) Manufacturing
31142-,2022,02,162.396,Fruit and Vegetable Canning Pickling and Drying
31141-,2022,02,150.691,Frozen Food Manufacturing
31135-,2022,02,112.952,Chocolate and Confectionery Manufacturing
31134-,2022,02,165.637,Nonchocolate Confectionery Manufacturing
31123-,2022,02,142.977,Breakfast Cereal Manufacturing
23811X,2022,02,165.118,Flooring Contractors
23811X,2022,02,165.118,All Other Specialty Trade Contractors
23811X,2022,02,165.118,Other Foundation Structure and Building Exterior Contractors
23811X,2022,02,165.118,Masonry Contractors
236221,2022,02,208.371,Commercial and Institutional Building Construction
236211,2022,02,166.135,Other Heavy and Civil Engineering Construction
236211,2022,02,166.135,Highway Street and Bridge Construction
236211,2022,02,166.135,Oil and Gas Pipeline and Related Structures Construction
1133--,2022,02,216.517,Logging
924126,2022,01,156.575,National Security
8113--,2022,01,159.704,Commercial machinery repair and maintenance
721---,2022,01,175.177,Accommodation
71394-,2022,01,109.217,Fitness and Recreational Sports Centers
71391-,2022,01,146.100,All Other Amusement and Recreation Industries
62311-,2022,01,164.085,Nursing Care Facilities (Skilled Nursing Facilities)
62231-,2022,01,167.050,Specialty (except Psychiatric and Substance Abuse) Hospitals
62211-,2022,01,160.429,General Medical and Surgical Hospitals
62199-,2022,01,122.710,All Other Ambulatory Health Care Services
62151-,2022,01,103.763,Medical and Diagnostic Laboratories
62121-,2022,01,125.832,Offices of Dentists
62111-,2022,01,143.127,Offices of Physicians
6211--,2022,01,143.127,Offices of physicians
5621--,2022,01,157.196,All Other Waste Management Services
56172-,2022,01,131.487,Landscaping Services
561612,2022,01,142.086,Security Systems Services
56151-,2022,01,97.920,Tour Operators
5613--,2022,01,155.811,Employment services
54181-,2022,01,120.451,Other Services Related to Advertising
54161-,2022,01,130.200,Management Consulting Services
5413--,2022,01,180.564,Testing Laboratories and Services
5411--,2022,01,251.189,Legal services
53131-,2022,01,123.627,Other Activities Related to Real Estate
53131-,2022,01,123.627,Real Estate Property Managers
53121-,2022,01,178.594,Offices of Real Estate Agents and Brokers
53112-,2022,01,135.502,Lessors of Nonresidential Buildings (except Miniwarehouses)
53112-,2022,01,135.502,Lessors of Other Real Estate Property
53112-,2022,01,135.502,Lessors of Residential Buildings and Dwellings
53112-,2022,01,135.502,Lessors of Nonfinancial Intangible Assets (except Copyrighte
52421-,2022,01,113.206,Other Insurance Related Activities
52411-,2022,01,150.924,Direct Life Health and Medical Insurance Carriers
5221--,2022,01,102.879,Trusts Estates and Agency Accounts
51121-,2022,01,93.261,Software Publishers - DO NOT USE
511---,2022,01,120.621,Record Production and Distribution
48851-,2022,01,152.922,Freight Transportation Arrangement
45431-,2022,01,237.944,Other Direct Selling Establishments - DO NOT USE
45431-,2022,01,237.944,Fuel Dealers - DO NOT USE
454110,2022,01,121.682,Electronic Shopping and Mail-Order Houses - DO NOT USE
45112-,2022,01,82.617,Hobby Toy and Game Stores - DO NOT USE
45111-,2022,01,168.048,Sporting Goods Stores - DO NOT USE
44831-,2022,01,177.810,Jewelry Stores - DO NOT USE
4481--,2022,01,130.309,Clothing stores
4471--,2022,01,146.220,Gasoline Stations with Convenience Stores - DO NOT USE
44611-,2022,01,176.227,Pharmacies and Drug Stores - DO NOT USE
4461--,2022,01,149.046,Cosmetics Beauty Supplies and Perfume Stores - DO NOT USE
4452--,2022,01,205.466,Other Specialty Food Retailers
44511-,2022,01,193.244,Supermarkets and Other Grocery Retailers (except Convenience
4441--,2022,01,216.784,Other Building Material Dealers - DO NOT USE
4431--,2022,01,86.234,Electronics and Appliance Stores - DO NOT USE
44221-,2022,01,194.341,Floor Covering Stores - DO NOT USE
44211-,2022,01,200.051,Furniture Stores - DO NOT USE
44131-,2022,01,219.758,Automotive Parts and Accessories Stores - DO NOT USE
4249--,2022,01,112.034,Miscellaneous nondurable goods merchant wholesalers
4248--,2022,01,107.588,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
4247--,2022,01,111.974,Petroleum and Petroleum Products Merchant Wholesalers (excep
4244--,2022,01,107.222,Grocery and related product merchant wholesalers
4243--,2022,01,89.454,Apparel and piece goods merchant wholesalers
4242--,2022,01,99.458,Drugs and Druggists' Sundries Merchant Wholesalers
4239--,2022,01,129.826,Miscellaneous durable goods merchant wholesalers (except materials recyclers)
4238--,2022,01,113.169,"Machinery, equipment, and supplies merchant wholesalers"
4236--,2022,01,142.391,Household appliances and electrical and electronic goods merchant wholesalers
4234--,2022,01,112.042,Professional and commercial equipment and supplies merchant wholesalers
4233--,2022,01,149.066,Lumber and other construction materials merchant wholesalers
4232--,2022,01,133.345,Furniture and home furnishing merchant wholesalers
4231--,2022,01,133.439,Motor Vehicle Supplies and New Parts Merchant Wholesalers
33999-,2022,01,147.777,All Other Miscellaneous Manufacturing
33995-,2022,01,141.347,Sign Manufacturing
33992-,2022,01,133.025,Sporting and Athletic Goods Manufacturing
33991-,2022,01,236.317,Jewelry and Silverware Manufacturing
33911-,2022,01,125.400,Medical Equipment and Supplies Manufacturing
33791-,2022,01,170.453,Mattress Manufacturing
33712-,2022,01,164.817,Household and Institutional Furniture Manufacturing
33599-,2022,01,154.827,All Other Electrical Equipment and Component Manufacturing
33591-,2022,01,181.212,Battery Manufacturing
33512-,2022,01,152.904,Lighting Fixture Manufacturing - DO NOT USE
33511-,2022,01,79.987,Electric Lamp Bulb and Part Manufacturing - DO NOT USE
33451-,2022,01,134.073,Navigational Measuring Electromedical and Control Instrument
33221-,2022,01,148.680,Cutlery and Handtool Manufacturing
33211-,2022,01,185.906,Forging and Stamping
32619-,2022,01,170.990,Other Plastics Product Manufacturing
32616-,2022,01,144.242,Plastics Bottle Manufacturing
32599-,2022,01,163.373,All Other Chemical Product and Preparation Manufacturing
32562-,2022,01,120.945,Toilet Preparation Manufacturing
32561-,2022,01,162.283,Soap and Cleaning Compound Manufacturing
32541-,2022,01,224.381,Pharmaceutical and Medicine Manufacturing
32531-,2022,01,310.530,Fertilizer and Compost Manufacturing
32518-,2022,01,339.877,Other Basic Inorganic Chemical Manufacturing
31699-,2022,01,145.153,Other Leather and Allied Product Manufacturing
31621-,2022,01,144.191,Footwear Manufacturing
31611-,2022,01,196.037,Leather and Hide Tanning and Finishing
31599-,2022,01,144.655,Apparel Accessories and Other Apparel Manufacturing
31524-,2022,01,110.835,Women's Girls' and Infants' Cut and Sew Apparel Manufacturin
31522-,2022,01,130.939,Men's and Boys' Cut and Sew Apparel Manufacturing - DO NOT U
31411-,2022,01,178.748,Carpet and Rug Mills
31331-,2022,01,183.974,Textile and Fabric Finishing Mills
31223-,2022,01,1017.860,Tobacco Manufacturing
31214-,2022,01,102.458,Distilleries
31213-,2022,01,134.284,Wineries
31212-,2022,01,144.022,Breweries
31211-,2022,01,158.856,Soft Drink and Ice Manufacturing
31199-,2022,01,147.039,All Other Food Manufacturing
31194-,2022,01,173.790,Seasoning and Dressing Manufacturing
31191-,2022,01,157.757,Snack Food Manufacturing
31181-,2022,01,169.362,Bread and Bakery Product Manufacturing
3118--,2022,01,161.022,Cookie Cracker and Pasta Manufacturing
31171-,2022,01,186.309,Seafood Product Preparation and Packaging
31161-,2022,01,223.515,Animal Slaughtering and Processing
31151-,2022,01,163.681,Dairy Product (except Frozen) Manufacturing
31142-,2022,01,161.143,Fruit and Vegetable Canning Pickling and Drying
31141-,2022,01,144.784,Frozen Food Manufacturing
31135-,2022,01,112.420,Chocolate and Confectionery Manufacturing
31134-,2022,01,164.583,Nonchocolate Confectionery Manufacturing
31123-,2022,01,141.852,Breakfast Cereal Manufacturing
23811X,2022,01,164.556,Flooring Contractors
23811X,2022,01,164.556,All Other Specialty Trade Contractors
23811X,2022,01,164.556,Other Foundation Structure and Building Exterior Contractors
23811X,2022,01,164.556,Masonry Contractors
236221,2022,01,207.766,Commercial and Institutional Building Construction
236211,2022,01,164.996,Other Heavy and Civil Engineering Construction
236211,2022,01,164.996,Highway Street and Bridge Construction
236211,2022,01,164.996,Oil and Gas Pipeline and Related Structures Construction
1133--,2022,01,216.523,Logging
924126,2021,12,156.453,National Security
8113--,2021,12,152.992,Commercial machinery repair and maintenance
721---,2021,12,176.576,Accommodation
71394-,2021,12,110.671,Fitness and Recreational Sports Centers
71391-,2021,12,141.294,All Other Amusement and Recreation Industries
62311-,2021,12,163.618,Nursing Care Facilities (Skilled Nursing Facilities)
62231-,2021,12,166.850,Specialty (except Psychiatric and Substance Abuse) Hospitals
62211-,2021,12,158.218,General Medical and Surgical Hospitals
62199-,2021,12,122.439,All Other Ambulatory Health Care Services
62151-,2021,12,103.759,Medical and Diagnostic Laboratories
62121-,2021,12,123.275,Offices of Dentists
62111-,2021,12,143.497,Offices of Physicians
6211--,2021,12,143.497,Offices of physicians
5621--,2021,12,156.432,All Other Waste Management Services
56172-,2021,12,129.466,Landscaping Services
561612,2021,12,140.505,Security Systems Services
56151-,2021,12,97.213,Tour Operators
5613--,2021,12,154.524,Employment services
54181-,2021,12,117.987,Other Services Related to Advertising
54161-,2021,12,127.111,Management Consulting Services
5413--,2021,12,175.848,Testing Laboratories and Services
5411--,2021,12,245.283,Legal services
53131-,2021,12,123.162,Other Activities Related to Real Estate
53131-,2021,12,123.162,Real Estate Property Managers
53121-,2021,12,173.544,Offices of Real Estate Agents and Brokers
53112-,2021,12,133.526,Lessors of Nonresidential Buildings (except Miniwarehouses)
53112-,2021,12,133.526,Lessors of Other Real Estate Property
53112-,2021,12,133.526,Lessors of Residential Buildings and Dwellings
53112-,2021,12,133.526,Lessors of Nonfinancial Intangible Assets (except Copyrighte
52421-,2021,12,113.176,Other Insurance Related Activities
52411-,2021,12,149.613,Direct Life Health and Medical Insurance Carriers
5221--,2021,12,100.944,Trusts Estates and Agency Accounts
51121-,2021,12,92.018,Software Publishers - DO NOT USE
511---,2021,12,118.862,Record Production and Distribution
48851-,2021,12,155.608,Freight Transportation Arrangement
45431-,2021,12,247.983,Other Direct Selling Establishments - DO NOT USE
45431-,2021,12,247.983,Fuel Dealers - DO NOT USE
454110,2021,12,117.668,Electronic Shopping and Mail-Order Houses - DO NOT USE
45112-,2021,12,82.601,Hobby Toy and Game Stores - DO NOT USE
45111-,2021,12,165.422,Sporting Goods Stores - DO NOT USE
44831-,2021,12,173.245,Jewelry Stores - DO NOT USE
4481--,2021,12,142.797,Clothing stores
4471--,2021,12,159.802,Gasoline Stations with Convenience Stores - DO NOT USE
44611-,2021,12,176.265,Pharmacies and Drug Stores - DO NOT USE
4461--,2021,12,149.489,Cosmetics Beauty Supplies and Perfume Stores - DO NOT USE
4452--,2021,12,202.444,Other Specialty Food Retailers
44511-,2021,12,186.468,Supermarkets and Other Grocery Retailers (except Convenience
4441--,2021,12,198.764,Other Building Material Dealers - DO NOT USE
4431--,2021,12,80.708,Electronics and Appliance Stores - DO NOT USE
44221-,2021,12,188.128,Floor Covering Stores - DO NOT USE
44211-,2021,12,195.440,Furniture Stores - DO NOT USE
44131-,2021,12,220.592,Automotive Parts and Accessories Stores - DO NOT USE
4249--,2021,12,108.573,Miscellaneous nondurable goods merchant wholesalers
4248--,2021,12,106.440,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
4247--,2021,12,111.196,Petroleum and Petroleum Products Merchant Wholesalers (excep
4244--,2021,12,105.357,Grocery and related product merchant wholesalers
4243--,2021,12,93.251,Apparel and piece goods merchant wholesalers
4242--,2021,12,106.857,Drugs and Druggists' Sundries Merchant Wholesalers
4239--,2021,12,127.345,Miscellaneous durable goods merchant wholesalers (except materials recyclers)
4238--,2021,12,112.420,"Machinery, equipment, and supplies merchant wholesalers"
4236--,2021,12,133.022,Household appliances and electrical and electronic goods merchant wholesalers
4234--,2021,12,109.545,Professional and commercial equipment and supplies merchant wholesalers
4233--,2021,12,146.784,Lumber and other construction materials merchant wholesalers
4232--,2021,12,128.702,Furniture and home furnishing merchant wholesalers
4231--,2021,12,128.619,Motor Vehicle Supplies and New Parts Merchant Wholesalers
33999-,2021,12,144.492,All Other Miscellaneous Manufacturing
33995-,2021,12,136.272,Sign Manufacturing
33992-,2021,12,129.733,Sporting and Athletic Goods Manufacturing
33991-,2021,12,235.258,Jewelry and Silverware Manufacturing
33911-,2021,12,123.189,Medical Equipment and Supplies Manufacturing
33791-,2021,12,170.026,Mattress Manufacturing
33712-,2021,12,162.523,Household and Institutional Furniture Manufacturing
33599-,2021,12,152.602,All Other Electrical Equipment and Component Manufacturing
33591-,2021,12,177.194,Battery Manufacturing
33512-,2021,12,151.756,Lighting Fixture Manufacturing - DO NOT USE
33511-,2021,12,79.678,Electric Lamp Bulb and Part Manufacturing - DO NOT USE
33451-,2021,12,132.081,Navigational Measuring Electromedical and Control Instrument
33221-,2021,12,145.675,Cutlery and Handtool Manufacturing
33211-,2021,12,184.697,Forging and Stamping
32619-,2021,12,170.441,Other Plastics Product Manufacturing
32616-,2021,12,139.988,Plastics Bottle Manufacturing
32599-,2021,12,162.004,All Other Chemical Product and Preparation Manufacturing
32562-,2021,12,117.186,Toilet Preparation Manufacturing
32561-,2021,12,160.072,Soap and Cleaning Compound Manufacturing
32541-,2021,12,221.373,Pharmaceutical and Medicine Manufacturing
32531-,2021,12,302.597,Fertilizer and Compost Manufacturing
32518-,2021,12,333.141,Other Basic Inorganic Chemical Manufacturing
31699-,2021,12,141.199,Other Leather and Allied Product Manufacturing
31621-,2021,12,144.270,Footwear Manufacturing
31611-,2021,12,199.413,Leather and Hide Tanning and Finishing
31599-,2021,12,143.577,Apparel Accessories and Other Apparel Manufacturing
31524-,2021,12,108.986,Women's Girls' and Infants' Cut and Sew Apparel Manufacturin
31522-,2021,12,128.492,Men's and Boys' Cut and Sew Apparel Manufacturing - DO NOT U
31411-,2021,12,187.305,Carpet and Rug Mills
31331-,2021,12,180.890,Textile and Fabric Finishing Mills
31223-,2021,12,1010.759,Tobacco Manufacturing
31214-,2021,12,102.492,Distilleries
31213-,2021,12,131.949,Wineries
31212-,2021,12,142.926,Breweries
31211-,2021,12,154.202,Soft Drink and Ice Manufacturing
31199-,2021,12,143.933,All Other Food Manufacturing
31194-,2021,12,171.795,Seasoning and Dressing Manufacturing
31191-,2021,12,156.983,Snack Food Manufacturing
