naics_2_digits,naics_sector,naics_3_digits,naics_subsector,naics_4_digits,naics_industry_group,naics_5_digits,naics_industry
31,Manufacturing,315,Apparel Manufacturing,3151,Apparel Knitting Mills,31511,Hosiery and Sock Mills
32,Manufacturing,321,Wood Product Manufacturing,3219,Other Wood Product Manufacturing,32199,All Other Wood Product Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3251,Basic Chemical Manufacturing,32519,Other Basic Organic Chemical Manufacturing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3279,Other Nonmetallic Mineral Product Manufacturing,32799,All Other Nonmetallic Mineral Product Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3329,Other Fabricated Metal Product Manufacturing,33299,All Other Fabricated Metal Product Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,33399,All Other General Purpose Machinery Manufacturing
33,Manufacturing,337,Furniture and Related Product Manufacturing,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,33712,Household and Institutional Furniture Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4239,Miscellaneous Durable Goods Merchant Wholesalers,42391,Sporting and Recreational Goods and Supplies Merchant Wholesalers
44,Retail Trade,442,Furniture and Home Furnishings Stores,4422,Home Furnishings Stores,44229,Other Home Furnishings Stores
45,Retail Trade,454,Nonstore Retailers,4543,Direct Selling Establishments,45431,Fuel Dealers
51,Information,517,Telecommunications,5175,Cable and Other Program Distribution,51751,Cable and Other Program Distribution
53,Real Estate and Rental and Leasing,532,Rental and Leasing Services,5322,Consumer Goods Rental,53228,Other Consumer Goods Rental
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5614,Business Support Services,56144,Collection Agencies
71,"Arts, Entertainment, and Recreation",711,"Performing Arts, Spectator Sports, and Related Industries",7115,"Independent Artists, Writers, and Performers",71151,"Independent Artists, Writers, and Performers"
81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8139,"Business, Professional, Labor, Political, and Similar Organizations",81393,Labor Unions and Similar Labor Organizations
99,Unclassified,999,Unclassified,9999,Unclassified,99999,Unclassified
92,Public Administration,924,Administration of Environmental Quality Programs,9241,Administration of Environmental Quality Programs,92411,Administration of Air and Water Resource and Solid Waste Management Programs
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1129,Other Animal Production,11299,All Other Animal Production
23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",23811,Poured Concrete Foundation and Structure Contractors
31,Manufacturing,311,Food Manufacturing,3115,Dairy Product Manufacturing,31151,Dairy Product (except Frozen) Manufacturing
31,Manufacturing,313,Textile Mills,3133,Textile and Fabric Finishing and Fabric Coating Mills,31331,Textile and Fabric Finishing Mills
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31523,Womens and Girls Cut and Sew Apparel Manufacturing
32,Manufacturing,323,Printing and Related Support Activities,3231,Printing and Related Support Activities,32311,Printing
32,Manufacturing,325,Chemical Manufacturing,3254,Pharmaceutical and Medicine Manufacturing,32541,Pharmaceutical and Medicine Manufacturing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3274,Lime and Gypsum Product Manufacturing,32741,Lime Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3321,Forging and Stamping,33211,Forging and Stamping
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3328,"Coating, Engraving, Heat Treating, and Allied Activities",33281,"Coating, Engraving, Heat Treating, and Allied Activities"
33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,33392,Material Handling Equipment Manufacturing
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3352,Household Appliance Manufacturing,33521,Small Electrical Appliance Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3364,Aerospace Product and Parts Manufacturing,33641,Aerospace Product and Parts Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33993,"Doll, Toy, and Game Manufacturing"
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4245,Farm Product Raw Material Merchant Wholesalers,42459,Other Farm Product Raw Material Merchant Wholesalers
44,Retail Trade,447,Gasoline Stations,4471,Gasoline Stations,44719,Other Gasoline Stations
48,Transportation and Warehousing,484,Truck Transportation,4841,General Freight Trucking,48412,"General Freight Trucking, Long-Distance"
51,Information,518,"Data Processing, Hosting, and Related Services",5181,Internet Service Providers and Web Search Portals,51811,Internet Service Providers and Web Search Portals
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5417,Scientific Research and Development Services,54172,Research and Development in the Social Sciences and Humanities
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6219,Other Ambulatory Health Care Services,62199,All Other Ambulatory Health Care Services
81,Other Services (except Public Administration),811,Repair and Maintenance,8113,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,81131,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11133,Noncitrus Fruit and Tree Nut Farming
11,"Agriculture, Forestry, Fishing and Hunting",115,Support Activities for Agriculture and Forestry,1151,Support Activities for Crop Production,11511,Support Activities for Crop Production
22,Utilities,221,Utilities,2213,"Water, Sewage and Other Systems",22133,Steam and Air-Conditioning Supply
31,Manufacturing,311,Food Manufacturing,3113,Sugar and Confectionery Product Manufacturing,31133,Confectionery Manufacturing from Purchased Chocolate
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31529,Other Cut and Sew Apparel Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",32561,Soap and Cleaning Compound Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3314,Nonferrous Metal (except Aluminum) Production and Processing,33142,"Copper Rolling, Drawing, Extruding, and Alloying"
33,Manufacturing,333,Machinery Manufacturing,3332,Industrial Machinery Manufacturing,33329,Other Industrial Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3344,Semiconductor and Other Electronic Component Manufacturing,33441,Semiconductor and Other Electronic Component Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3362,Motor Vehicle Body and Trailer Manufacturing,33621,Motor Vehicle Body and Trailer Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33991,Jewelry and Silverware Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",42381,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
44,Retail Trade,444,Building Material and Garden Equipment and Supplies Dealers,4441,Building Material and Supplies Dealers,44411,Home Centers
45,Retail Trade,454,Nonstore Retailers,4541,Electronic Shopping and Mail-Order Houses,45411,Electronic Shopping and Mail-Order Houses
51,Information,512,Motion Picture and Sound Recording Industries,5122,Sound Recording Industries,51221,Record Production
52,Finance and Insurance,522,Credit Intermediation and Related Activities,5222,Nondepository Credit Intermediation,52229,Other Nondepository Credit Intermediation
53,Real Estate and Rental and Leasing,532,Rental and Leasing Services,5322,Consumer Goods Rental,53228,Other Consumer Goods Rental
61,Educational Services,611,Educational Services,6116,Other Schools and Instruction,61169,All Other Schools and Instruction
71,"Arts, Entertainment, and Recreation",713,"Amusement, Gambling, and Recreation Industries",7132,Gambling Industries,71329,Other Gambling Industries
81,Other Services (except Public Administration),812,Personal and Laundry Services,8123,Drycleaning and Laundry Services,81231,Coin-Operated Laundries and Drycleaners
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1114,"Greenhouse, Nursery, and Floriculture Production",11141,Food Crops Grown Under Cover
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2121,Coal Mining,21211,Coal Mining
22,Utilities,221,Utilities,2212,Natural Gas Distribution,22121,Natural Gas Distribution
31,Manufacturing,311,Food Manufacturing,3119,Other Food Manufacturing,31192,Coffee and Tea Manufacturing
31,Manufacturing,313,Textile Mills,3132,Fabric Mills,31324,Knit Fabric Mills
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32222,Paper Bag and Coated and Treated Paper Manufacturing
32,Manufacturing,326,Plastics and Rubber Products Manufacturing,3261,Plastics Product Manufacturing,32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3272,Glass and Glass Product Manufacturing,32721,Glass and Glass Product Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3329,Other Fabricated Metal Product Manufacturing,33299,All Other Fabricated Metal Product Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,33391,Pump and Compressor Manufacturing
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3359,Other Electrical Equipment and Component Manufacturing,33591,Battery Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33991,Jewelry and Silverware Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,42349,Other Professional Equipment and Supplies Merchant Wholesalers
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4249,Miscellaneous Nondurable Goods Merchant Wholesalers,42494,Tobacco and Tobacco Product Merchant Wholesalers
44,Retail Trade,445,Food and Beverage Stores,4453,"Beer, Wine, and Liquor Stores",44531,"Beer, Wine, and Liquor Stores"
45,Retail Trade,454,Nonstore Retailers,4543,Direct Selling Establishments,45431,Fuel Dealers
48,Transportation and Warehousing,486,Pipeline Transportation,4869,Other Pipeline Transportation,48699,All Other Pipeline Transportation
53,Real Estate and Rental and Leasing,532,Rental and Leasing Services,5321,Automotive Equipment Rental and Leasing,53211,Passenger Car Rental and Leasing
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",54121,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services"
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5615,Travel Arrangement and Reservation Services,56159,Other Travel Arrangement and Reservation Services
71,"Arts, Entertainment, and Recreation",713,"Amusement, Gambling, and Recreation Industries",7139,Other Amusement and Recreation Industries,71393,Marinas
92,Public Administration,922,"Justice, Public Order, and Safety Activities",9221,"Justice, Public Order, and Safety Activities",92211,Courts
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1125,Aquaculture,11251,Aquaculture
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2122,Metal Ore Mining,21223,"Copper, Nickel, Lead, and Zinc Mining"
23,Construction,237,Heavy and Civil Engineering Construction,2371,Utility System Construction,23713,Power and Communication Line and Related Structures Construction
31,Manufacturing,311,Food Manufacturing,3118,Bakeries and Tortilla Manufacturing,31182,"Cookie, Cracker, and Pasta Manufacturing"
31,Manufacturing,316,Leather and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,31699,Other Leather and Allied Product Manufacturing
32,Manufacturing,324,Petroleum and Coal Products Manufacturing,3241,Petroleum and Coal Products Manufacturing,32419,Other Petroleum and Coal Products Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3312,Steel Product Manufacturing from Purchased Steel,33122,Rolling and Drawing of Purchased Steel
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3329,Other Fabricated Metal Product Manufacturing,33299,All Other Fabricated Metal Product Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3346,Manufacturing and Reproducing Magnetic and Optical Media,33461,Manufacturing and Reproducing Magnetic and Optical Media
33,Manufacturing,337,Furniture and Related Product Manufacturing,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,33712,Household and Institutional Furniture Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",42482,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
44,Retail Trade,445,Food and Beverage Stores,4452,Specialty Food Stores,44521,Meat Markets
51,Information,511,Publishing Industries (except Internet),5111,"Newspaper, Periodical, Book, and Directory Publishers",51111,Newspaper Publishers
52,Finance and Insurance,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",5232,Securities and Commodity Exchanges,52321,Securities and Commodity Exchanges
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5417,Scientific Research and Development Services,54171,"Research and Development in the Physical, Engineering, and Life Sciences"
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5419,"Other Professional, Scientific, and Technical Services",54192,Photographic Services
56,Administrative and Support and Waste Management and Remediation Services,562,Waste Management and Remediation Services,5622,Waste Treatment and Disposal,56221,Waste Treatment and Disposal
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6213,Offices of Other Health Practitioners,62133,Offices of Mental Health Practitioners (except Physicians)
71,"Arts, Entertainment, and Recreation",711,"Performing Arts, Spectator Sports, and Related Industries",7112,Spectator Sports,71121,Spectator Sports
72,Accommodation and Food Services,722,Food Services and Drinking Places,7225,Restaurants and Other Eating Places,72251,Restaurants and Other Eating Places
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,11199,All Other Crop Farming
23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",23819,"Other Foundation, Structure, and Building Exterior Contractors"
31,Manufacturing,313,Textile Mills,3132,Fabric Mills,31322,Narrow Fabric Mills and Schiffli Machine Embroidery
31,Manufacturing,315,Apparel Manufacturing,3159,Apparel Accessories and Other Apparel Manufacturing,31599,Apparel Accessories and Other Apparel Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",32521,Resin and Synthetic Rubber Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3312,Steel Product Manufacturing from Purchased Steel,33122,Rolling and Drawing of Purchased Steel
33,Manufacturing,333,Machinery Manufacturing,3332,Industrial Machinery Manufacturing,33324,Industrial Machinery Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3363,Motor Vehicle Parts Manufacturing,33635,Motor Vehicle Transmission and Power Train Parts Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,42342,Office Equipment Merchant Wholesalers
44,Retail Trade,441,Motor Vehicle and Parts Dealers,4413,"Automotive Parts, Accessories, and Tire Stores",44132,Tire Dealers
48,Transportation and Warehousing,484,Truck Transportation,4841,General Freight Trucking,48411,"General Freight Trucking, Local"
51,Information,515,Broadcasting (except Internet),5151,Radio and Television Broadcasting,51511,Radio Broadcasting
52,Finance and Insurance,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",5231,Securities and Commodity Contracts Intermediation and Brokerage,52312,Securities Brokerage
53,Real Estate and Rental and Leasing,532,Rental and Leasing Services,5324,Commercial and Industrial Machinery and Equipment Rental and Leasing,53242,Office Machinery and Equipment Rental and Leasing
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5418,"Advertising, Public Relations, and Related Services",54182,Public Relations Agencies
56,Administrative and Support and Waste Management and Remediation Services,562,Waste Management and Remediation Services,5629,Remediation and Other Waste Management Services,56291,Remediation Services
62,Health Care and Social Assistance,624,Social Assistance,6241,Individual and Family Services,62412,Services for the Elderly and Persons with Disabilities
71,"Arts, Entertainment, and Recreation",713,"Amusement, Gambling, and Recreation Industries",7139,Other Amusement and Recreation Industries,71395,Bowling Centers
81,Other Services (except Public Administration),811,Repair and Maintenance,8114,Personal and Household Goods Repair and Maintenance,81143,Footwear and Leather Goods Repair
92,Public Administration,925,"Administration of Housing Programs, Urban Planning, and Community Developmen",9251,"Administration of Housing Programs, Urban Planning, and Community Developmen",92512,Administration of Urban Planning and Community and Rural Developmen
11,"Agriculture, Forestry, Fishing and Hunting",113,Forestry and Logging,1131,Timber Tract Operations,11311,Timber Tract Operations
23,Construction,237,Heavy and Civil Engineering Construction,2372,Land Subdivision,23721,Land Subdivision
31,Manufacturing,312,Beverage and Tobacco Product Manufacturing,3122,Tobacco Manufacturing,31222,Tobacco Product Manufacturing
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31521,Cut and Sew Apparel Contractors
32,Manufacturing,321,Wood Product Manufacturing,3219,Other Wood Product Manufacturing,32192,Wood Container and Pallet Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3255,"Paint, Coating, and Adhesive Manufacturing",32552,Adhesive Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3313,Alumina and Aluminum Production and Processing,33131,Alumina and Aluminum Production and Processing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",33272,"Turned Product and Screw, Nut, and Bolt Manufacturing"
33,Manufacturing,333,Machinery Manufacturing,3335,Metalworking Machinery Manufacturing,33351,Metalworking Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3344,Semiconductor and Other Electronic Component Manufacturing,33441,Semiconductor and Other Electronic Component Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3363,Motor Vehicle Parts Manufacturing,33636,Motor Vehicle Seating and Interior Trim Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4233,Lumber and Other Construction Materials Merchant Wholesalers,42333,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4239,Miscellaneous Durable Goods Merchant Wholesalers,42394,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
45,Retail Trade,452,General Merchandise Stores,4523,"General Merchandise Stores, including Warehouse Clubs and Supercenters",45231,"General Merchandise Stores, including Warehouse Clubs and Supercenters"
48,Transportation and Warehousing,488,Support Activities for Transportation,4889,Other Support Activities for Transportation,48899,Other Support Activities for Transportation
51,Information,517,Telecommunications,5173,Wired and Wireless Telecommunications Carriers,51731,Wired and Wireless Telecommunications Carriers
53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53112,Lessors of Nonresidential Buildings (except Miniwarehouses)
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5419,"Other Professional, Scientific, and Technical Services",54193,Translation and Interpretation Services
61,Educational Services,611,Educational Services,6115,Technical and Trade Schools,61151,Technical and Trade Schools
72,Accommodation and Food Services,722,Food Services and Drinking Places,7222,Limited-Service Eating Places,72221,Limited-Service Eating Places
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,11199,All Other Crop Farming
23,Construction,236,Construction of Buildings,2362,Nonresidential Building Construction,23622,Commercial and Institutional Building Construction
31,Manufacturing,311,Food Manufacturing,3118,Bakeries and Tortilla Manufacturing,31182,"Cookie, Cracker, and Pasta Manufacturing"
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31523,Womens and Girls Cut and Sew Apparel Manufacturing
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32222,Paper Bag and Coated and Treated Paper Manufacturing
